	0.0000-0.0000	0.0000-0.0020	0.0020-0.0084	0.0084-0.0086	0.0086-0.0086	0.0086-0.0088	0.0089-0.0254	0.0257-0.0257	0.0257-0.0261	0.0263-0.0268	0.0268-0.0419	0.0419-0.0420	0.0420-0.0484	0.0484-0.0489	0.0489-0.0559	0.0743-0.0753	0.0753-0.0892	0.0892-0.0899	0.0899-0.1056	0.1369-0.1453	0.1453-0.1454	0.1458-0.1460	0.1460-10.0400	10.0400-10.0401	10.0401-20.0000	Source	Target
Enterococcus_faecalis_KB1##N-Acetyl-D-glucosamine-e0##Microbe	-1.0000000000000007	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	Enterococcus_faecalis_KB1	N-Acetyl-D-glucosamine-e0
Enterococcus_faecalis_KB1##Cl--e0##Microbe	-0.7060625360171188	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360195245	-0.7060625360195245	-0.7060625360195245	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	-0.7060625360031166	Enterococcus_faecalis_KB1	Cl--e0
Flavonifractor_plautii_YL31##fe3-e0##Microbe	-0.9241112603170738	-0.9241112603170738	-0.9241112603211115	-0.9241112603214567	-0.9241112603214827	-0.9241112603214292	-0.9241112603212985	-0.9241112603217921	-0.9241112603218967	-0.924111260322093	-0.9241112603214068	-0.9241112603206997	-0.9241112603206997	-0.9241112603162408	-0.9241112603195195	-0.9241112603088063	-0.9241112603085359	-0.9241112603162258	-0.9241112603162337	-0.9241112603167636	-0.9241112603323289	-0.9241112603051663	-0.924111260256147	-0.924111260327792	-0.9241112603201406	Flavonifractor_plautii_YL31	fe3-e0
Flavonifractor_plautii_YL31##Mn2+-e0##Microbe	-0.9241112603168776	-0.9241112603168776	-0.9241112603206038	-0.9241112603209115	-0.924111260320945	-0.9241112603208796	-0.9241112603207152	-0.9241112603212184	-0.9241112603213187	-0.9241112603215297	-0.9241112603207923	-0.9241112603204078	-0.9241112603204078	-0.9241112603156849	-0.9241112603191886	-0.9241112603075806	-0.9241112603073166	-0.9241112603155268	-0.9241112603150666	-0.9241112603158234	-0.9241112603323195	-0.924111260302483	-0.9241112602417721	-0.9241112603293753	-0.9241112603213202	Flavonifractor_plautii_YL31	Mn2+-e0
Flavonifractor_plautii_YL31##L-Methionine-e0##Microbe	-18.48243529504143	-18.48243529504143	-18.482435295150925	-18.48243529516162	-18.48243529516263	-18.482435295161356	-18.4824352951576	-18.48243529516651	-18.48243529516902	-18.482435295172355	-18.482435295158005	-18.48243529514245	-18.48243529514245	-18.48243529504958	-18.482435295113177	-18.482435294898295	-18.48243529489155	-18.48243529505155	-18.482435295053897	-18.482435295063485	-18.482435295415506	-18.482435294777655	-18.482435293695456	-15.558028603456991	-18.482435295104985	Flavonifractor_plautii_YL31	L-Methionine-e0
Flavonifractor_plautii_YL31##L-Threonine-e0##Microbe	-37.099336467433936	-37.099336467433936	-37.09933646765108	-37.09933646767219	-37.0993364676826	-37.09933646768054	-36.09933646767486	-36.09933646769105	-36.09933646769525	-36.09933646770339	-36.09933646767517	-36.099336467644186	-36.099336467644186	-36.099336467478096	-1009.3732732073752	-1.0000000000000004	-1.0000000000000004	-1.0000000000000009	-1.0000000000000004	-1.0000000000000018	-0.9999999999999999	-1.0	-1.0000000000000016	-1.0	-0.9999999999999998	Flavonifractor_plautii_YL31	L-Threonine-e0
Flavonifractor_plautii_YL31##Sulfate-e0##Microbe	-0.9241112603193941	-0.9241112603193941	-0.9241112603206952	-0.9241112603206915	-0.9241112603207147	-0.9241112603206636	-0.9241112603204997	-0.9241112603209944	-0.9241112603210955	-0.9241112603213515	-0.9241112603204942	-0.9241112603202575	-0.9241112603202575	-0.92411126031631	-0.9241112603183128	-0.9241112603070275	-0.9241112603067585	-0.9241112603158176	-0.9241112603159463	-0.9241112603158828	-0.9241112603333077	-0.9241112602998717	-0.9241112602374398	-0.9241112603308144	-0.9241112603190588	Flavonifractor_plautii_YL31	Sulfate-e0
Enterococcus_faecalis_KB1##D-Glucose-e0##Microbe	-31.32176771158102	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.32176771171574	-31.32176771171574	-31.32176771171574	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	-31.321767710855948	Enterococcus_faecalis_KB1	D-Glucose-e0
Flavonifractor_plautii_YL31##Cl--e0##Microbe	-0.9241112603155716	-0.9241112603155716	-0.924111260320324	-0.9241112603207635	-0.9241112603207897	-0.924111260320736	-0.9241112603206094	-0.9241112603211331	-0.9241112603212448	-0.9241112603214245	-0.9241112603207804	-0.9241112603201213	-0.9241112603201213	-0.9241112603156592	-0.9241112603193543	-0.9241112603086675	-0.9241112603083982	-0.9241112603154217	-0.9241112603155994	-0.9241112603163167	-0.9241112603319235	-0.9241112603051177	-0.9241112602628959	-0.924111260323948	-0.9241112603179596	Flavonifractor_plautii_YL31	Cl--e0
Enterococcus_faecalis_KB1##L-Isoleucine-e0##Microbe	-38.57060811488612	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811461231	-38.57060811501753	-38.57060811501753	-38.57060811501753	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	-38.57060811412095	Enterococcus_faecalis_KB1	L-Isoleucine-e0
