	0.0000-0.0006	0.0006-0.0057	0.0057-0.0080	0.0080-0.0084	0.0096-0.0110	0.0110-0.0115	0.0115-0.0118	0.0118-0.0118	0.0118-0.0119	0.0119-0.0119	0.0119-0.0120	0.0120-0.0121	0.0121-0.0124	0.0125-0.0125	0.0125-0.0128	0.0128-0.0128	0.0128-0.0129	0.0129-0.0139	0.0139-0.0378	0.0378-0.0686	0.0686-0.0690	0.0690-0.0692	0.0692-0.0786	0.0786-0.0791	0.0791-0.0795	0.0795-0.2285	0.2285-0.3362	0.4374-0.4374	0.4374-0.5750	0.5750-5.2337	5.2337-20.0000	Source	Target
Limosilactobacillus_reuteri_I49##L-Phenylalanine-e0##Microbe	-19.790702065752868	-19.790702065740557	-19.7907020658097	-19.79070206568863	-83.15106737121957	-83.15106737389564	-83.15106737527363	-83.1510673740651	-83.15106737383245	-83.151067376165	-83.15106737583943	-83.15106737470356	-83.15106737582354	-0.9821716039503512	-0.31952838148623175	-19.790702065641025	-19.790702065717937	-19.790702065656415	-19.79070206602256	-19.790702065934354	-19.790702066521522	-19.79070206580796	-0.613533652200023	-0.11241583318965172	-0.11241583318969475	-0.11241583318968076	-0.11241583318985662	-0.11241583318955983	-0.11241583318957299	-0.11241583318998649	-0.11241583318998649	Limosilactobacillus_reuteri_I49	L-Phenylalanine-e0
Limosilactobacillus_reuteri_I49##Cytosine##Microbe	-12.165428977257744	-12.165428977246346	-12.165428977302692	-12.165428977242914	-51.11331579491221	-51.11331579652496	-51.11331579739637	-51.11331579661564	-51.11331579646848	-51.1133157979325	-51.11331579775299	-51.11331579703603	-51.113315797726074	-21.894258738876182	-0.10624166349000272	-6.5803140844068135	-640.8321430622243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Limosilactobacillus_reuteri_I49	Cytosine
Riboflavin##Bifidobacterium_animalis_YL2##Metabolite	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724023	96.79614651724869	Riboflavin	Bifidobacterium_animalis_YL2
Bifidobacterium_animalis_YL2##Zn2+-e0##Microbe	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359787005	-0.7060625359782198	Bifidobacterium_animalis_YL2	Zn2+-e0
Limosilactobacillus_reuteri_I49##L-Aspartate-e0##Microbe	-2597.597575519379	-2597.5975755177165	-190.73175292049947	-190.73175291928587	-6318.19870034467	-1111.0202565328145	-4720.475745130458	-2917.748000798622	-2917.748000790375	-4534.467345994887	-2935.5472239423607	-2935.547223902562	-1842.2941913424525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.59163149192965	-0.9999999999999986	-0.9999999999999987	-1.0	-1.0	Limosilactobacillus_reuteri_I49	L-Aspartate-e0
Limosilactobacillus_reuteri_I49##Phosphate-e0##Microbe	-129.8641856201292	-129.8641856200536	-129.8641856199787	-129.86418561905603	-545.6272148252119	-545.6272148423493	-545.6272148512685	-545.6272148433347	-545.6272148418063	-545.6272148570329	-545.6272148549398	-545.6272148476728	-545.6272148549099	-6.444890891783456	-2.096706468825862	-129.86418561910315	-129.8641856194502	-129.8641856190338	-129.86418562135637	-129.86418562038338	-129.86418562412302	-129.8641856204096	-4.025933381659546	-0.7376590572407499	-0.7376590572408259	-0.7376590572387582	-0.7376590572428049	-0.7376590572410378	-0.737659057241096	-0.7376590572432017	-0.7376590572432017	Limosilactobacillus_reuteri_I49	Phosphate-e0
Bifidobacterium_animalis_YL2##Sucrose-e0##Microbe	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-0.9999999999999991	Bifidobacterium_animalis_YL2	Sucrose-e0
Limosilactobacillus_reuteri_I49##L-Proline-e0##Microbe	-18.087781190329718	-18.087781190318264	-18.08778119038546	-18.087781190278825	-75.99620808583279	-75.9962080882751	-75.99620808953819	-75.99620808843306	-75.9962080882205	-75.9962080903535	-75.99620809005344	-75.99620808901508	-75.99620809004037	-0.8976591636107029	-0.29203407889320165	-18.08778119023281	-18.08778119030305	-18.0877811902479	-18.08778119058366	-18.08778119050282	-18.08778119104887	-18.087781190375345	-0.5607412216619772	-0.10274284289196302	-0.10274284289202068	-0.10274284289202797	-0.10274284289216655	-0.10274284289185173	-0.10274284289186618	-0.10274284289230384	-0.10274284289230384	Limosilactobacillus_reuteri_I49	L-Proline-e0
Limosilactobacillus_reuteri_I49##Urea-e0##Microbe	-1.0000000000000002	-0.9999999999999998	-1.0000000000000009	-1.0000000000000004	-0.9999999999999998	-0.9999999999999984	-0.9999999999999996	-0.9999999999999993	-1.0	-1.0000000000000016	-1.0000000000000002	-1.0000000000000004	-0.9999999999999996	-1.0000000000000013	-0.9999999999999997	-1.0000000000000016	-0.9999999999999998	-0.9999999999999988	-1.000000000000001	-1.000000000000001	-1.0000000000000002	-0.9999999999999982	-0.9999999999999986	-1.0000000000000009	-1.0	-1.0000000000000002	-0.9999999999999993	-1.0000000000000013	-0.9999999999999993	-1.0000000000000002	-1.0000000000000002	Limosilactobacillus_reuteri_I49	Urea-e0
Bifidobacterium_animalis_YL2##Spermidine-e0##Microbe	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999992	Bifidobacterium_animalis_YL2	Spermidine-e0
