	Acutalibacter_muris_KB1	Blautia_coccoides_YL58	In	InAmount	Out	OutAmount	All	AllAmount
Folate-e0	0.0	5.126103275188143e-07	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Blautia_coccoides_YL58	2
Galactose-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
H2-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
H2O-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
H2S-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Heme-e0	0.0	5.4246917957634366e-08	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	3
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
K+-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Alanine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Arginine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Aspartate-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Cysteine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Glutamate-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Glutamine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Histidine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Isoleucine	0.0	0.0		0		0		0
L-Lactate-e0	3.193972863968497e-14	-9.115988121961502e-08	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	3
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Methionine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Phenylalanine	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Proline-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Serine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Threonine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Tryptophan	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Tyrosine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
L-Valine-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Mn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	-4.836665249384475e-08	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
NH3-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Na+-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Niacin	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	96.7960128786886	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	1.1430092983211182e-13	-3.5166730617819386e-08	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	193.59229303371148	0.0	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	2
Riboflavin	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Selenium	0.0	0.0		0		0		0
Spermidine-e0	1.3292145162324687e-13	-9.384413351964938e-08	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Acutalibacter_muris_KB1.Blautia_coccoides_YL58	3
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Sucrose	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Thiamin-e0	0.0	6.144343475678049e-07	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Blautia_coccoides_YL58	2
Thiamine	-2.6645352591003757e-14	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Uracil-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
Urea-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
XAN-e0-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Zn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2		0	Acutalibacter_muris_KB1.Blautia_coccoides_YL58	2
