	0.0000-0.0000	0.0000-0.0020	0.0020-0.0084	0.0084-0.0085	0.0250-0.0330	0.0330-0.0331	0.0331-0.0333	0.0334-0.0336	0.0336-0.0339	0.0339-0.0462	0.0462-0.0463	0.0463-0.0484	0.0486-0.0486	0.0486-0.0487	0.0487-0.0488	0.0489-0.0493	0.0493-0.0494	0.0494-0.0496	0.0496-0.0496	0.0496-0.0748	0.0748-0.0751	0.0751-0.0752	0.1457-0.1475	0.1475-0.1476	0.1476-0.1477	0.1477-0.1479	0.1479-0.1540	0.1540-0.1540	0.1540-0.1687	0.1687-0.1691	0.1693-0.1693	0.1693-0.1794	0.1935-0.2068	0.2068-0.2074	0.2074-0.2835	0.3107-0.3217	0.3217-0.3448	0.3923-0.4390	0.4390-0.4390	0.4390-0.4965	0.4965-0.5260	0.5260-0.5585	0.5585-0.5585	0.5585-0.5665	0.5665-0.5665	0.5665-1.0530	1.0530-1.1083	1.1083-5.2447	5.2447-6.1540	6.1540-7.8481	7.8481-8.7234	8.7234-15.9502	15.9502-20.0000	Source	Target
Riboflavin##Flavonifractor_plautii_YL31##Metabolite##None	126.6890741173045	126.6890741173045	126.68907411797926	126.68907411802203	126.6890741184713	126.68907411756886	126.68907411752538	126.6890741170122	126.68907411745352	126.68907411749784	126.68907411734301	126.68907411734301	126.68907411831607	126.68907411837553	126.68907411843095	126.68907411824381	126.68907411792793	126.6890741180031	126.68907411821394	126.68907411806097	126.68907411766916	126.68907411795955	126.68907411937086	126.68907412128767	126.68907411904055	126.68907412124562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.68907411768627	126.68907411768674	Riboflavin	Flavonifractor_plautii_YL31
Flavonifractor_plautii_YL31##Phosphate-e0##Microbe##Riboflavin	-127.45775495899707	-127.45775495899707	-127.45775495960105	-127.45775495963751	-127.45775496010945	-127.45775495916668	-127.45775495911383	-127.45775495853943	-127.45775495903477	-127.45775495908131	-127.45775495889451	-127.45775495889451	-127.4577549599181	-127.45775496000135	-127.45775496005741	-127.45775495981907	-127.45775495952513	-127.45775495960565	-127.45775495979399	-127.45775495966566	-127.45775495928083	-127.45775495955878	-127.45775496107797	-127.45775496307895	-127.45775496072264	-127.4577549630339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-73.27557622905195	-73.27557622898507	Flavonifractor_plautii_YL31	Phosphate-e0
Flavonifractor_plautii_YL31##L-Glutamate-e0##Microbe##Riboflavin	-68.22864673318725	-68.22864673318725	-68.22864673391817	-244.80497259635172	-151.5100520714885	-326.496811861511	-402.66458601843544	-962.3920822071319	-493.4825034493067	-395.1584568656987	-395.15845686519185	-395.15845686519185	757.8048905068249	757.8048905073512	757.804890507684	757.8048905065906	-75.04418554128162	-75.04418554132289	649.7917565164272	-73.54418554132214	-73.54418554111079	311.9915598409474	-28.385326543874495	2333.658395303325	0.0	2284.9995363035882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	L-Glutamate-e0
Flavonifractor_plautii_YL31##D-Glucose-e0##Microbe##Riboflavin	-8.74087128262537	-8.74087128262537	-8.740871282643688	-8.740871282643914	-8.740871282671655	-8.74087128261098	-8.740871282611367	-8.740871282581152	-8.740871282607523	-8.74087128261151	-8.740871282607719	-8.740871282607719	-8.740871282662214	-8.740871282692003	-8.740871282698826	-8.74087128265687	-8.740871282642475	-8.740871282639173	-8.740871282657093	-8.740871282644461	-8.74087128261772	-8.740871282643665	-8.74087128271412	-8.740871282833362	-2342.399266544985	-57.39973028184959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	D-Glucose-e0
Flavonifractor_plautii_YL31##Mn2+-e0##Microbe##Riboflavin	-0.9241112603169802	-0.9241112603169802	-0.9241112603206235	-0.9241112603207798	-0.924111260324273	-0.9241112603172638	-0.9241112603168266	-0.9241112603126889	-0.9241112603162412	-0.9241112603166022	-0.9241112603159515	-0.9241112603159515	-0.9241112603232718	-0.924111260324165	-0.9241112603245314	-0.9241112603230578	-0.9241112603209303	-0.9241112603212679	-0.9241112603227221	-0.9241112603217638	-0.9241112603185673	-0.9241112603206365	-0.924111260329996	-0.9241112603444301	-0.9241112603264903	-0.9241112603439726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603186801	-0.9241112603186444	Flavonifractor_plautii_YL31	Mn2+-e0
Flavonifractor_plautii_YL31##Zn2+-e0##Microbe##Riboflavin	-0.9241112603181817	-0.9241112603181817	-0.9241112603208714	-0.9241112603209418	-0.924111260324317	-0.9241112603174312	-0.9241112603172326	-0.9241112603131779	-0.9241112603166143	-0.9241112603172027	-0.924111260316982	-0.924111260316982	-0.9241112603254845	-0.9241112603257026	-0.9241112603259457	-0.9241112603223266	-0.9241112603203567	-0.9241112603215792	-0.924111260322263	-0.9241112603214734	-0.9241112603181765	-0.9241112603202902	-0.9241112603307831	-0.924111260345396	-0.9241112603273163	-0.9241112603452193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603171457	-0.9241112603170994	Flavonifractor_plautii_YL31	Zn2+-e0
Flavonifractor_plautii_YL31##L-Lysine-e0##Microbe##Riboflavin	-41.26899935741657	-41.26899935741657	-41.268999357646024	-41.26899935766068	-41.268999357805704	-41.268999357515064	-41.26899935750047	312.6063858396883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-413.99236523239955	-41.268999357642834	-41.26899935811248	-41.26899935874454	-41.268999358008855	-41.26899935873209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.26899935755501	-41.26899935787694	Flavonifractor_plautii_YL31	L-Lysine-e0
Flavonifractor_plautii_YL31##L-Aspartate-e0##Microbe##Riboflavin	-57.8288367899413	-57.8288367899413	-57.828836790062105	-57.828836790063036	-57.82883679026993	-57.82883678985243	-57.82883678983194	0.0	0.0	0.0	0.0	0.0	0.0	-3186.4385849600444	-3186.4385849614405	-128.08740931641617	-128.08740931611584	-128.08740931618846	-128.08740931638923	-128.08740931624712	285.9049559165376	-86.81840995850509	-1937.922190036367	-1937.922190065533	-1937.922190031482	-1937.9221900649313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	L-Aspartate-e0
Flavonifractor_plautii_YL31##Sulfate-e0##Microbe##Riboflavin	-0.9241112603194807	-0.9241112603194807	-0.9241112603207136	-0.9241112603205878	-0.924111260324003	-0.9241112603172755	-0.9241112603166456	-0.9241112603128686	-0.9241112603161181	-0.924111260316539	-0.9241112603162254	-0.9241112603162254	-0.9241112603245435	-0.9241112603251913	-0.924111260325595	-0.9241112603256316	-0.9241112603207985	-0.9241112603209886	-0.9241112603250538	-0.9241112603215476	-0.9241112603181464	-0.9241112603211973	-0.9241112603300873	-0.9241112603478076	-0.9241112603315114	-0.9241112603475043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603178637	-0.9241112603178665	Flavonifractor_plautii_YL31	Sulfate-e0
Flavonifractor_plautii_YL31##L-Arginine-e0##Microbe##Putrescine-e0	0.9999999999999831	0.9999999999999831	0.9999999999999745	0.9999999999999752	0.9999999999997515	1.0000000000000075	1.0000000000000249	1.0000000000002163	1.0000000000000182	0.9999999999999625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Flavonifractor_plautii_YL31	L-Arginine-e0
