	0.0000-0.0000	0.0000-7.5087	7.5087-7.5089	7.5089-7.5090	7.5090-10.1299	10.1299-10.8394	10.8394-12.3440	12.3440-12.6989	12.6989-13.4896	13.4896-15.8940	16.1627-16.1627	16.1627-16.1826	16.1826-16.3803	16.3803-16.3804	16.3804-16.4159	16.4159-16.4159	16.4185-16.4185	16.4185-16.6485	16.6485-20.0000	Source	Target
Enterococcus_faecalis_KB1##N-Acetyl-D-glucosamine-e0##Microbe	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000004	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	-20.14850554391482	Enterococcus_faecalis_KB1	N-Acetyl-D-glucosamine-e0
Enterococcus_faecalis_KB1##Cl--e0##Microbe	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625360121109	-0.7060625359717131	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	-0.7060625359717122	Enterococcus_faecalis_KB1	Cl--e0
Blautia_coccoides_YL58##Inosine-e0##Microbe	-32.6738189864789	-32.67381898586514	2.4777457080861662	2.3937448584465093	-32.6738189840703	-32.6738189840703	-32.6738189840703	-32.67381898406273	-32.673818984038604	-32.67381898408222	-31.992016188394004	-34.67381898412388	-34.673818983881596	-43.24380841352056	-34.67381898414497	-74.89595799677151	-47.00429613380224	-34.67381898407866	-34.673818984107186	Blautia_coccoides_YL58	Inosine-e0
Blautia_coccoides_YL58##Phosphate-e0##Microbe	-129.8641856267842	-129.86418562467162	-9.270231942591293	-9.213601699416195	-129.86418561846745	-129.86418561846745	-129.86418561846745	-129.86418561844306	-129.86418561836115	-129.8641856185281	-103.49349608025189	-129.86418561863945	-129.8641856176668	-144.9722604188811	-129.86418561874436	-165.97852580204182	-150.80563650576295	-129.86418561853148	-129.86418561853665	Blautia_coccoides_YL58	Phosphate-e0
Blautia_coccoides_YL58##Succinate-e0##Microbe	2029.8196407579392	2031.413165905021	132.88043063819302	130.84855977288743	2027.4735357072116	2026.1515932611665	2026.1515932611665	2024.2268722417762	2054.126380951213	2152.893126056	2134.43820695659	2704.436061338622	2704.436061316337	2182.6692875219283	2423.7378113618715	1941.1460198911002	2194.154069742329	2124.4319799329664	2124.43197993304	Blautia_coccoides_YL58	Succinate-e0
Blautia_coccoides_YL58##L-Proline-e0##Microbe	-18.087781191288204	-18.08778119099473	-1.1922214574590493	-1.1726377559241732	-18.087781190125007	-18.087781190125007	-18.087781190125007	-18.08778119012075	-18.087781190109045	-18.08778119012969	-49.860838510044516	-18.087781190166762	-18.087781190012738	-7.643596643104982	-18.087781190179243	-7.467132043638483	-34.66644093057733	-18.08778119014658	-18.087781190147233	Blautia_coccoides_YL58	L-Proline-e0
Blautia_coccoides_YL58##Urea-e0##Microbe	6.846867517396049e-11	5.101097322324222e-11	-1.0515926771776953	-0.9851732915573695	-1.2747580768746047e-12	0.9999999999987189	0.9999999999987189	0.9999999999992989	0.9999999999994614	1.0000000000001028	-16.680154244698087	0.9999999999930677	0.9999999999543377	-12.54171351195074	0.9999999999955128	2.207297253470592	26.421749949554822	-8.40283398417796e-12	-8.328782108435462e-12	Blautia_coccoides_YL58	Urea-e0
Blautia_coccoides_YL58##L-Asparagine-e0##Microbe	-16.661009646937465	-16.661009646663803	-1.1255274015817038	-1.0385205087007279	-16.66100964586033	-16.66100964586033	-16.66100964586033	-16.661009645858517	-16.661009645846814	-16.661009645864706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Blautia_coccoides_YL58	L-Asparagine-e0
Blautia_coccoides_YL58##L-Tyrosine-e0##Microbe	-11.972744790964956	-11.972744790754298	0.07198447719904483	0.07936318724364522	-11.972744790135275	-11.972744790135275	-11.972744790135275	-11.972744790133149	-11.972744790123652	-11.972744790138638	-17.935769615950168	-12.972744790157696	-12.972744790060132	-10.552498997149186	-12.972744790162727	-3.8131791423898482	-27.343202464697022	-12.972744790142706	-12.972744790142775	Blautia_coccoides_YL58	L-Tyrosine-e0
Enterococcus_faecalis_KB1##D-Glucose-e0##Microbe	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767711331606	-31.321767708044522	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	-31.32176770776821	Enterococcus_faecalis_KB1	D-Glucose-e0
