	0.0000-0.7949	0.7949-0.7949	0.7949-0.7960	0.7960-0.7960	0.7960-1.5440	1.5440-2.0000	Source	Target
bc1002##bc1001##O2	-0.15236136794857927	-0.15236136794857927	-0.269915768783753	-0.269915768783753	0.0	0.0	bc1002	bc1001
bc1003##bc1001##O2	-0.15236136794857968	-0.15236136794857968	-0.15236136794857968	-0.27747530369501183	0.0	0.0	bc1003	bc1001
bc1011##bc1001##O2	-0.1523613679485784	-0.2694062244660836	-0.2694062244660836	-0.2694062244660836	0.0	0.0	bc1011	bc1001
bc1001##bc1002##O2	-0.15290050085943938	-0.15290050085943938	0.0	0.0	0.0	0.0	bc1001	bc1002
bc1003##bc1002##O2	-0.1529005008594402	-0.1529005008594402	0.0	0.0	0.0	0.0	bc1003	bc1002
bc1011##bc1002##O2	-0.15290050085943893	-0.27035952229975335	0.0	0.0	0.0	0.0	bc1011	bc1002
bc1001##bc1003##O2	-0.15297633046741727	-0.15297633046741727	-0.15297633046741727	0.0	0.0	0.0	bc1001	bc1003
bc1002##bc1003##O2	-0.15297633046741768	-0.15297633046741768	-0.2710052055831226	0.0	0.0	0.0	bc1002	bc1003
bc1011##bc1003##O2	-0.15297633046741682	-0.2704936046374425	-0.2704936046374425	0.0	0.0	0.0	bc1011	bc1003
bc1001##bc1011##O2	-0.152785579135602	0.0	0.0	0.0	0.0	0.0	bc1001	bc1011
bc1002##bc1011##O2	-0.15278557913560242	0.0	0.0	0.0	0.0	0.0	bc1002	bc1011
bc1003##bc1011##O2	-0.15278557913560284	0.0	0.0	0.0	0.0	0.0	bc1003	bc1011
bc1001##bc1011##D-Glucose	0.0	-0.1482312194865131	-0.1482312194865131	-0.1482312194865131	-0.2701563170637748	-0.2701563170637748	bc1001	bc1011
bc1002##bc1011##D-Glucose	0.0	-0.1524971520310249	-0.2701563170637764	-0.2701563170637764	-0.2701563170637764	-0.2701563170637764	bc1002	bc1011
bc1003##bc1011##D-Glucose	0.0	-0.14834252086459365	-0.14834252086459365	-0.27015631706377596	-0.27015631706377596	-0.27015631706377596	bc1003	bc1011
bc1001##bc1002##D-Glucose	0.0	0.0	-0.14862328509507122	-0.14862328509507122	-0.27087086964738266	-0.27087086964738266	bc1001	bc1002
bc1003##bc1002##D-Glucose	0.0	0.0	-0.14873488086081643	-0.2708708696473838	-0.2708708696473838	-0.2708708696473838	bc1003	bc1002
bc1011##bc1002##D-Glucose	0.0	0.0	-0.27087086964738244	-0.27087086964738244	-0.27087086964738244	-0.27087086964738244	bc1011	bc1002
bc1001##bc1003##D-Glucose	0.0	0.0	0.0	-0.1528615523424695	-0.27859525236686317	-0.27859525236686317	bc1001	bc1003
bc1002##bc1003##D-Glucose	0.0	0.0	0.0	-0.27859525236686483	-0.27859525236686483	-0.27859525236686483	bc1002	bc1003
bc1011##bc1003##D-Glucose	0.0	0.0	0.0	-0.27859525236686294	-0.27859525236686294	-0.27859525236686294	bc1011	bc1003
bc1002##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.27768364970870507	-0.27768364970870507	bc1002	bc1001
bc1003##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.27768364970870457	-0.27768364970870457	bc1003	bc1001
bc1011##bc1001##D-Glucose	0.0	0.0	0.0	0.0	-0.2776836497087032	-0.2776836497087032	bc1011	bc1001
