	Limosilactobacillus_reuteri_I49	Bifidobacterium_animalis_YL2	In	InAmount	Out	OutAmount	All	AllAmount
K+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Alanine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Arginine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.29113894039802873	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	3
L-Aspartate-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Cysteine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Glutamine-e0	0.2911389403980933	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
L-Histidine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Isoleucine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Lysine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Methionine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Phenylalanine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Proline-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Serine-e0	0.0	0.0	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
L-Threonine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Tryptophan-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Tyrosine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
L-Valine-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Linolenic	0.0	0.0		0		0		0
Melitose-e0	0.8734168211937338	-4.68142885567957e-13	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	3
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Mn2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Na+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Niacin	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Nickel	0.0	0.0		0		0		0
O2-e0	-2.62025046358173	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Phosphoethanolamine	0.0	0.0		0		0		0
Putrescine-e0	7.494005416219807e-15	-1.2796578033325012e-13	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	0.14556947019898359	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Riboflavin	1.6012641721881045	96.79614651724023	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	4
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Spermidine-e0	0.5822778807955263	-4.0659836608725186e-13	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	3
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sucrose	0.5822778807958375	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Sucrose-e0	0.0	-4.601904794732103e-13	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Sulfate-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Thiamin-e0	0.0	-1.933397886233479e-12	Bifidobacterium_animalis_YL2	1		0	Bifidobacterium_animalis_YL2	1
Thiamine	2.0379725827846307	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Uracil-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
Urea-e0	-0.2911389403979481	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2		0	Bifidobacterium_animalis_YL2.Limosilactobacillus_reuteri_I49	2
fucose	0.0	0.0		0		0		0
