	bc1001	bc1002	bc1010	In	InAmount	Out	OutAmount	All	AllAmount
L-Valine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Methanol	0.0	0.0	0.0		0		0		0
Mg	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Mn2+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Myristic acid	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
N-Acetyl-D-glucosamine	0.0	0.0	0.0	bc1001	1		0	bc1001	1
NADP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
NH3	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Na+	0.0	0.0	0.0		0		0		0
Niacin	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Nicotinamide ribonucleotide	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Nitrate	0.0	0.0	0.0		0		0		0
Nitrite	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
O2	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Oxidized glutathione	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
PAN	0.0	0.0	0.0		0		0		0
PPi	0.0	0.0	0.0	bc1002	1		0	bc1002	1
Putrescine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Pyridoxal	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Riboflavin	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
S-Adenosyl-L-methionine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Spermidine	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Succinate	0.0	0.0	0.0	bc1010	1		0	bc1010	1
Sulfate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
TRHL	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
TTP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Thiamin	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
UMP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
Zn2+	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
chromate	0.0	0.0	0.0		0		0		0
dATP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
dGTP	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
ddca	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
fe3	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
gamma-butyrobetaine	0.0	0.0	0.0		0		0		0
meso-2,6-Diaminopimelate	0.0	0.0	0.0	bc1001.bc1002.bc1010	3		0	bc1001.bc1002.bc1010	3
