	0.0000-0.0000	0.0000-0.0005	0.0005-0.0006	0.0006-0.0007	0.0007-0.0009	0.0009-0.0009	0.0009-0.0010	0.0010-0.0012	0.0014-0.0015	0.0015-0.0020	0.0020-0.0022	0.0022-0.0029	0.0029-0.0032	0.0032-0.0032	0.0033-0.0035	0.0035-0.0040	0.0040-0.0050	0.0050-0.0053	0.0053-0.0057	0.0058-0.0066	0.0069-0.0082	0.0083-0.0084	0.0084-0.0085	0.0085-0.0091	0.0091-0.0097	0.0097-0.0105	0.0105-0.0112	0.0117-0.0120	0.0120-0.0120	0.0120-0.0121	0.0121-0.0121	0.0121-0.0128	0.0128-0.0128	0.0131-0.0253	0.0253-20.0000	Source	Target
Acutalibacter_muris_KB1##Clostridium_innocuum_I46##PAN	-253.37814823379168	-253.37814823379168	-253.37814823379168	-253.37814823379168	-253.37814823379168	-253.37814823379168	-253.37814823896812	-253.37814823896812	-253.37814823479013	-253.37814823479013	-253.37814823479013	-253.37814823479013	-253.3781482453265	-253.37814822444278	-253.37814823477174	-253.37814823477174	-253.37814825006132	-253.37814824746505	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.3781482469856	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823583696	-253.37814823584156	Acutalibacter_muris_KB1	Clostridium_innocuum_I46
Akkermansia_muciniphilaYL44##Clostridium_innocuum_I46##PAN	-126.68907411557466	-126.68907411557466	-126.68907411557466	-126.68907411557466	-126.68907411557466	-126.68907411557466	-126.68907411816288	-126.68907411816288	-126.68907411607388	-126.68907411607388	-126.68907411607388	-126.68907411607388	-126.68907412134207	-126.68907411090021	-126.68907411606469	-126.68907411606469	-126.68907412370947	-126.68907412241134	-126.68907412217162	-126.68907412217162	-126.68907411669532	-126.68907411813758	-126.68907411813758	-126.68907411813758	-126.68907412492243	-126.68907412492243	-126.6890741193481	-126.6890741193481	-126.6890741193481	-126.6890741193481	-126.6890741193481	-126.6890741193481	-126.6890741193481	-126.6890741186079	-126.68907411861021	Akkermansia_muciniphilaYL44	Clostridium_innocuum_I46
Bacteroides_caecimuris_I48##Clostridium_innocuum_I46##PAN	-126.68907411690292	-126.68907411690292	-126.68907411690292	-126.68907411690292	-126.68907411690292	-126.68907411690292	-126.68907411949114	-126.68907411949114	-126.68907411737881	-126.68907411737881	-126.68907411737881	-126.68907411737881	-126.689074122647	-126.68907411220513	-126.68907411736961	-126.68907411736961	-126.6890741250144	-126.68907412371627	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907412347654	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790222	-126.68907411790452	Bacteroides_caecimuris_I48	Clostridium_innocuum_I46
Bifidobacterium_animalis_YL2##Clostridium_innocuum_I46##PAN	-126.6890741171918	-126.6890741171918	-126.6890741171918	-126.6890741171918	-126.6890741171918	-126.6890741171918	-126.68907411978002	-126.68907411978002	-126.68907411769102	-126.68907411769102	-126.68907411769102	-126.68907411769102	-126.68907412295921	-126.68907411251735	-126.68907411768183	-126.68907411768183	-126.68907412532661	-126.68907412402848	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907412378876	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821444	-126.68907411821674	Bifidobacterium_animalis_YL2	Clostridium_innocuum_I46
Blautia_coccoides_YL58##Clostridium_innocuum_I46##PAN	-126.689074116863	-126.6890741168637	-126.6890741168637	-126.6890741168637	-126.6890741168637	-126.6890741168637	-126.68907411945192	-126.68907411945192	-126.68907411736292	-126.68907411736292	-126.68907411736292	-126.68907411736292	-126.68907412263111	-126.68907411218925	-126.68907411735373	-126.68907411735373	-126.68907412499851	-126.68907412370038	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907412346066	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788634	-126.68907411788864	Blautia_coccoides_YL58	Clostridium_innocuum_I46
Enterocloster_clostridioformis_YL32##Clostridium_innocuum_I46##PAN	-126.68907411685035	-126.68907411685035	-126.68907411685035	-126.68907411685035	-126.68907411685035	-126.68907411685035	-126.68907411943857	-126.68907411943857	-126.68907411734958	-126.68907411734958	-126.68907411734958	-126.68907411734958	-126.68907412261777	-126.6890741121759	-126.68907411734038	-126.68907411734038	-126.68907412498517	-126.68907412368704	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907412344731	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.68907411787299	-126.6890741178937	Enterocloster_clostridioformis_YL32	Clostridium_innocuum_I46
Enterococcus_faecalis_KB1##Clostridium_innocuum_I46##PAN	-126.68907412329133	-126.68907412329133	-126.68907412329133	-126.68907412329133	-126.68907415028114	-126.68907406842507	-126.6890740710133	-126.6890740965019	-126.6890740944129	-126.6890740944129	-126.6890740944129	-126.6890740944129	-126.6890740996811	-126.68907408923923	-126.68907409440371	-126.68907407372802	-126.68907408137281	-126.68907408007468	-126.68907407983495	-126.68907407983495	-126.68907344973755	-126.68907344973755	-126.68907344973755	-126.68907344973755	-126.68907344973755	-126.68907344973755	-126.68907344416323	-126.68907344416323	-126.68907344416323	-126.68907344416323	-126.68907344416323	-126.68907344416323	-126.68907344416323	-126.68907344416323	24358.99930977411	Enterococcus_faecalis_KB1	Clostridium_innocuum_I46
Flavonifractor_plautii_YL31##Clostridium_innocuum_I46##PAN	-126.68907411728884	-126.68907411728884	-126.68907411728884	-126.68907411728884	-126.68907411728884	-126.68907411728884	-126.68907411987706	-126.68907411987706	-126.68907411778807	-126.68907411780135	-126.68907411454623	-126.68907411454623	-126.68907411981442	-126.68907410937256	-126.68907411453704	-126.68907411453704	-126.68907412218182	-126.68907412088369	-126.68907412064397	-126.68907412064397	-126.68907412064397	-126.68907412064397	-126.68907412035897	-126.6890741202904	-126.6890741202904	-126.6890741202904	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411471608	-126.68907411475331	Flavonifractor_plautii_YL31	Clostridium_innocuum_I46
Limosilactobacillus_reuteri_I49##Clostridium_innocuum_I46##PAN	-126.68907411685325	-126.68907411685325	-126.68907411685325	-126.68907411683436	-126.68907411683436	-126.68907411683436	-126.68907411942259	-126.68907411942259	-126.68907411733359	-126.68907411733359	-126.68907411733359	-126.68907411730473	-126.68907412257292	-126.68907411213105	-126.68907411729553	-126.68907411729553	-126.68907412494032	-126.68907412364219	-126.68907412340246	-126.68907412352345	-126.68907412352345	-126.68907412352345	-126.68907412352345	-126.68907412352345	-126.68907412341667	-126.68907412344889	-126.68907411787457	-126.68907411791645	-126.68907411785968	-126.6890741178796	-126.68907411790246	-126.68907411791048	-126.68907411790511	-126.68907411789938	-126.68907411790168	Limosilactobacillus_reuteri_I49	Clostridium_innocuum_I46
Muribaculum_intestinale_YL27##Clostridium_innocuum_I46##PAN	-126.68907411687678	-126.6890741168708	-126.68907411681593	-126.68907411681593	-126.68907411681593	-126.68907411681593	-126.68907411940415	-126.68907411940415	-126.68907411731516	-126.68907411731516	-126.68907411731516	-126.68907411731516	-126.68907412258335	-126.68907411214148	-126.68907411730596	-126.68907411730596	-126.68907412495075	-126.68907412365262	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.6890741234129	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411783857	-126.68907411784087	Muribaculum_intestinale_YL27	Clostridium_innocuum_I46
