	Limosilactobacillus_reuteri_I49	Enterocloster_clostridioformis_YL32	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
5-Methylthio-D-ribose-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Acetate-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
CO2-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Ca2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Cl--e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2		0	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	2
Creatine	0.0	0.0		0		0		0
