	0.0000-0.0000	0.0000-0.0012	0.0012-0.0728	0.0728-0.0822	0.0822-0.0987	0.0987-0.0988	0.0988-0.1046	0.1046-0.2040	0.2040-0.2041	0.2041-0.2042	0.2042-0.2043	0.2043-0.2109	0.2118-0.2367	0.2367-0.2420	0.2420-0.2420	0.2420-0.2421	0.2421-6.4287	6.4287-20.0000	Source	Target
Blautia_coccoides_YL58##Inosine-e0##Microbe	-32.67381898594103	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	-32.67381898620979	Blautia_coccoides_YL58	Inosine-e0
Blautia_coccoides_YL58##Phosphate-e0##Microbe	-129.8641856249164	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	-129.86418562585462	Blautia_coccoides_YL58	Phosphate-e0
Blautia_coccoides_YL58##Succinate-e0##Microbe	2029.8196407289001	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	2030.8466191611333	Blautia_coccoides_YL58	Succinate-e0
Blautia_coccoides_YL58##L-Proline-e0##Microbe	-18.087781191029517	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	-18.0877811911589	Blautia_coccoides_YL58	L-Proline-e0
Blautia_coccoides_YL58##Urea-e0##Microbe	5.1451731764018405e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	6.101208427367055e-11	Blautia_coccoides_YL58	Urea-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	-798.8186188976163	-798.8186188976163	-541.8686623914626	-2634.0976864126897	-2634.097686415657	-1.0000000000000002	-1.0000000000000004	-1.0000000000000007	-1.0000000000000013	-0.9999999999999996	-0.9999999999999998	-1.0000000000000002	-0.9999999999999998	-1.0000000000000007	-1.0	-0.9999999999999998	-1.0000000000000004	-0.9999999999999998	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	-256.9499565063422	-256.9499565063422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	-17.08355495650353	-17.08355495650353	-17.08355495651354	-17.083554956347495	-17.083554956348596	-17.08355495664273	-17.083554956458013	-17.083554956498567	-17.08355495653335	-17.08355495656328	-17.08355495654627	-17.083554956451668	-0.13857151212607172	-17.083554956604054	-17.08355495672769	-17.083554956662198	-17.08355495672533	-17.089405887162012	Bacteroides_caecimuris_I48	L-Tyrosine
Blautia_coccoides_YL58##L-Asparagine-e0##Microbe	-16.661009646696	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	-16.661009646817366	Blautia_coccoides_YL58	L-Asparagine-e0
Blautia_coccoides_YL58##L-Tyrosine-e0##Microbe	-11.97274479077962	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	-11.972744790872328	Blautia_coccoides_YL58	L-Tyrosine-e0
Blautia_coccoides_YL58##N-acetylneuraminate (as sialic residue)##Microbe	-1.0000000000000002	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	Blautia_coccoides_YL58	N-acetylneuraminate (as sialic residue)
Blautia_coccoides_YL58##fe3-e0##Microbe	-0.706062536005536	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	-0.7060625360106125	Blautia_coccoides_YL58	fe3-e0
Blautia_coccoides_YL58##Mn2+-e0##Microbe	-0.7060625360038846	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	-0.7060625360089618	Blautia_coccoides_YL58	Mn2+-e0
PAN##Blautia_coccoides_YL58##Metabolite	96.79614652097966	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	96.79614652167574	PAN	Blautia_coccoides_YL58
Blautia_coccoides_YL58##Acetate-e0##Microbe	1081.4238915544934	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	1081.292596598408	Blautia_coccoides_YL58	Acetate-e0
Blautia_coccoides_YL58##Sulfate-e0##Microbe	-0.7060625360048657	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	-0.7060625360105882	Blautia_coccoides_YL58	Sulfate-e0
Blautia_coccoides_YL58##Cl--e0##Microbe	-0.7060625360048239	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	-0.7060625360099	Blautia_coccoides_YL58	Cl--e0
Bacteroides_caecimuris_I48##Inosine-e0##Microbe	-58.08478561389631	-58.08478561389631	-58.08478561392017	-58.084785613102554	-58.08478561319522	-58.08478561445716	-58.08478561352891	-58.08478561369698	-58.08478561382261	-58.08478561411014	-58.084785614023815	-58.08478561350503	1.5126283949987684	-58.084785614127995	-58.08478561445292	-58.08478561429358	-58.08478561431871	-58.09063654476201	Bacteroides_caecimuris_I48	Inosine-e0
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe	-127.457754958994	-127.457754958994	-127.45775495904458	-127.45775495743553	-127.45775495759854	-127.45775496012031	-127.45775495826253	-127.45775495858668	-127.45775495889272	-127.45775495943232	-127.4577549592358	-127.45775495820499	-1.033860568354053	-127.45775495950141	-127.4577549602914	-127.45775495990563	-127.45775496003489	-127.45775496005396	Bacteroides_caecimuris_I48	Phosphate-e0
Blautia_coccoides_YL58##Cu2+-e0##Microbe	-0.7060625360048631	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	-0.7060625360098952	Blautia_coccoides_YL58	Cu2+-e0
Bacteroides_caecimuris_I48##L-Glutamate-e0##Microbe	-66.04418554084184	-66.04418554084184	-66.04418554078836	-66.04418553866813	-66.044185539217	-66.0441855420842	-66.04418553914297	-66.04418553943118	-66.04418553978925	-66.04418554122466	-66.04418554077836	-66.04418553906967	0.45617793291617115	-66.04418554030465	-66.04418554006389	-66.04418554028807	-66.04418553898869	-66.08908773837956	Bacteroides_caecimuris_I48	L-Glutamate-e0
Bacteroides_caecimuris_I48##L-Asparagine-e0##Microbe	-28.989573168201265	-28.989573168201265	-28.989573168143785	-28.989573166713615	-28.98957316713173	-28.98957316897796	-28.989573166918934	-28.989573167088352	-28.98957316734032	-28.989573168427942	-28.98957316807418	-937.0144729205908	-1.0	-1.0	-1.0000000000000002	-0.9999999999999993	-1.0000000000000007	-0.999999999999999	Bacteroides_caecimuris_I48	L-Asparagine-e0
