	0.0000-0.0000	0.0000-0.0007	0.0007-0.0009	0.0009-0.0069	0.0070-0.0111	0.0111-0.0111	0.0111-0.0415	0.0415-0.0416	0.0416-0.0418	0.0419-0.0419	0.0419-0.0420	0.0420-0.2619	0.2619-0.2619	0.2619-0.2633	0.2633-0.2633	0.2633-0.3378	0.3378-0.3378	0.3378-0.3386	0.3386-0.3387	0.3387-0.3729	0.3729-0.3729	0.3729-0.6227	0.8821-1.0531	1.0572-1.3983	1.5051-1.5051	1.5051-1.5060	1.5060-1.5064	1.5064-1.5066	1.5066-1.9756	1.9756-4.9728	4.9728-19.4354	19.4354-20.0000	Source	Target
Enterococcus_faecalis_KB1##N-Acetyl-D-glucosamine-e0##Microbe	-0.9999999999999996	-0.9999999999999999	-1.0	-1.0000000000000002	-0.9999999999999992	-1.0	-1.0000000000000004	-0.9999999999999996	-1.0000000000000007	-1.000000000000001	-1.0	-1.0000000000000007	-0.9999999999999998	-0.9999999999999991	-0.9999999999999991	-0.9999999999999994	-0.9999999999999999	-0.9999999999999992	-0.9999999999999993	-0.9999999999999993	-1.0000000000000018	-0.9999999999999981	-1.0000000000000073	-1.0	-1.000000000000008	-0.7811305666650458	-0.6021869443096612	-0.6542647182156227	-40.29701109233374	-13.432337159641968	-13.432337159641968	-40.29701110178489	Enterococcus_faecalis_KB1	N-Acetyl-D-glucosamine-e0
Enterococcus_faecalis_KB1##Cl--e0##Microbe	-0.7060625360235936	-0.7060625360033397	-0.7060625361689155	-0.7060625358331987	-0.7060625360346985	-0.7060625360349484	-0.7060625360390093	-0.7060625360255274	-0.706062536071875	-0.7060625360896261	-0.7060625360819898	-0.7060625360718439	-0.7060625360008357	-0.7060625360688482	-0.7060625360518847	-0.7060625360660729	-0.7060625360337933	-0.018299583392559243	-0.03504292337855483	-0.03504292337855483	-0.03504292337851166	-0.035042923378449345	-0.035042923378393556	-0.03504292337848172	-0.035042923378608135	-0.027373098596233894	-0.02110239094896351	-0.022927348389668062	-1.4121250720931662	-0.47070836199970956	-0.47070836199970956	-1.4121250719550127	Enterococcus_faecalis_KB1	Cl--e0
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.4121250719505958	-1.412125071950758	-1.412125071950758	Acutalibacter_muris_KB1	Ca2+-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000006146	-2.000000000001628	-2.000000000001628	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178068021	-4.246772178062283	-4.246772178062283	Acutalibacter_muris_KB1	Fe2+-e0
Enterococcus_faecalis_KB1##D-Glucose-e0##Microbe	-31.32176771190678	-31.321767710909228	-31.321767719315496	-31.321767702192023	-31.321767712224556	-31.321767712211326	-31.321767712403833	-31.321767711857625	-31.32176771395993	-31.32176771478452	-31.321767714469633	-31.321767713957893	-31.321767710735095	-31.321767713809415	-31.321767713019383	-31.321767713705622	-31.321767712213166	-0.8117911247232334	-1.5545454545513817	-1.5545454545513817	-1.5545454545502047	-1.5545454545499944	-1.5545454545512478	-1.5545454545513862	-1.5545454545591268	-1.2143029718181324	-0.9361269770653995	-1.0170842437743033	-62.64353542565259	-20.881178682035383	-20.881178682035383	-62.643535415996936	Enterococcus_faecalis_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386922654	-72.71932386913907	-72.71932386913907	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-2.0000000000005236	-1.9999999999976952	-1.9999999999976952	Acutalibacter_muris_KB1	Niacin
Enterococcus_faecalis_KB1##L-Isoleucine-e0##Microbe	-38.57060811523978	-38.57060811413316	-38.57060812322204	-38.57060810478978	-38.57060811565949	-38.57060811566117	-38.57060811588537	-38.570608115192954	-38.570608117695784	-38.570608118698374	-38.57060811827635	-38.57060811769343	-38.57060811396961	-38.57060811752779	-38.57060811660215	-38.570608117401655	-38.57060811550629	-0.9996650773739307	-1.9143160780776773	-1.9143160780776773	-1.9143160780757864	-1.9143160780765354	-1.9143160780763873	-1.9143160780757633	-1.9143160780792805	-1.4953308028460046	-1.1527761495010487	-1.2524694693990097	-77.14121623245333	-25.713738997369116	-25.713738997369116	-77.14121622490887	Enterococcus_faecalis_KB1	L-Isoleucine-e0
Acutalibacter_muris_KB1##Zn2+-e0##Microbe	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719387581	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719180944	-1.4121250719339837	-1.4121250719339837	Acutalibacter_muris_KB1	Zn2+-e0
