	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Tryptophan-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Valine-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Mn2+-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	-1.3713875694765231e-11	5.671845639305904e-26	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Na+-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Niacin	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	-3.8578704640579445e-11	5.394489106822778e-25	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pyridoxal	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Riboflavin-e0	96.79614652268093	4.241866373456442e-20	1.0	0.0	1.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-6.047002898412756e-11	6.391345500519867e-24	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Thiamin-e0	-9.497185260443074e-11	2.7573876897708912e-24	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Uracil-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.8999999999999999	0.09000000000000002	0.0	0.0	0.8999999999999999	0.09000000000000002	Enterococcus_faecalis_KB1.	2		1	Enterococcus_faecalis_KB1.	2
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Acetate-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
CO2-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Ethanol-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Fumarate-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycerol-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
H2-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
O2-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Propanal-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Succinate-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
XAN-e0	0.0	0.0	0.10000000000000003	0.09000000000000002	0.0	0.0	0.10000000000000003	0.09000000000000002	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
