	0.0000-0.0000	0.0000-0.0012	0.0012-0.0728	0.0746-0.0751	0.0751-0.0805	0.0805-0.0835	0.0835-0.0843	0.0843-0.0877	0.0877-0.0883	0.0883-0.0995	0.0995-0.0997	0.0997-0.1039	0.1212-0.1215	0.1888-0.1898	0.1898-0.2206	0.2206-0.2206	0.2272-0.2293	0.4678-0.4680	0.4680-0.4680	0.4680-0.4721	0.4797-0.5282	0.5282-0.5296	0.5296-0.7420	0.9845-0.9845	0.9845-1.0084	1.0102-1.0102	1.0102-1.0103	1.0103-1.0104	1.0104-1.0276	1.0276-1.1022	1.3480-1.3487	1.3487-1.6281	1.6281-3.9999	4.0004-4.0603	4.0603-9.3849	9.3849-18.8345	18.8345-20.0000	Source	Target
PAN##Phosphate-e0##Bacteroides_caecimuris_I48	-127.457754958994	-127.457754958994	-127.45775495904458	-127.45775495767583	-127.45775495752858	-127.45775495752858	-127.45775495737752	-127.45775495737752	-127.45775495754309	-127.45775495747597	-127.45775496013137	-127.45775495845629	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	-127.45775495817237	0.0	PAN	Phosphate-e0
PAN##Mn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603169239	-0.9241112603169239	-0.9241112603172033	-0.9241112603048783	-0.9241112603042145	-0.9241112603042145	-0.9241112603045403	-0.9241112603045403	-0.9241112603046657	-0.9241112603043986	-0.9241112603264123	-0.9241112603119154	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	-0.9241112603084616	0.0	PAN	Mn2+-e0
PAN##Zn2+-e0##Bacteroides_caecimuris_I48	-0.9241112603160194	-0.9241112603160194	-0.924111260316379	-0.9241112603029945	-0.9241112603029121	-0.9241112603029121	-0.9241112603041747	-0.9241112603041747	-0.924111260303644	-0.9241112603034985	-0.924111260326572	-0.9241112603112499	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	-0.9241112603077988	0.0	PAN	Zn2+-e0
PAN##Sulfate-e0##Bacteroides_caecimuris_I48	-0.9241112602928861	-0.9241112602928861	-0.9241112602466104	-0.9241112591853193	-0.9241112594696628	-0.9241112594696628	-0.9241112600375925	-0.9241112600375925	-0.9241112596178425	-0.9241112598275486	-0.9241112601876237	-0.924111259510471	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	-0.9241112589991964	0.0	PAN	Sulfate-e0
PAN##Co2+-e0##Bacteroides_caecimuris_I48	-0.9241112603165806	-0.9241112603165806	-0.9241112603171772	-0.9241112603017829	-0.9241112603017192	-0.9241112603017192	-0.9241112603025629	-0.9241112603025629	-0.9241112603023499	-0.9241112603027322	-0.9241112603256105	-0.9241112603099043	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	-0.92411126030627	0.0	PAN	Co2+-e0
Spermidine-e0##Spermidine-e0##Bacteroides_caecimuris_I48	-1.0000000000000022	-1.0000000000000022	-1.0000000000000002	-0.9999999999999998	-1.0000000000000004	-1.0000000000000004	-0.9999999999999998	-0.9999999999999998	-0.9999999999999991	-1.0000000000000002	-0.999999999999999	-1.0000000000000002	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	-0.9999999999999994	0.0	Spermidine-e0	Spermidine-e0
PAN##fe3-e0##Bacteroides_caecimuris_I48	-0.9241112603157624	-0.9241112603157624	-0.9241112602980421	-0.9241112598696105	-0.9241112599965823	-0.9241112599965823	-0.9241112602066047	-0.9241112602066047	-0.9241112600439514	-0.9241112601308686	-0.9241112602800083	-0.9241112599981773	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	-0.9241112598033544	0.0	PAN	fe3-e0
Spermidine-e0##H+-e0##Bacteroides_caecimuris_I48	4.000000000007177	4.000000000007177	4.000000000002795	5.666666666658186	5.666666666658324	5.666666666658324	5.666666666657471	5.666666666657471	5.666666666658368	5.666666666657193	5.000000000009444	5.999999999978554	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	5.666666666657012	0.0	Spermidine-e0	H+-e0
Folate##H+-e0##Bacteroides_caecimuris_I48	-3.9999999999889977	-3.9999999999889977	-3.999999999985141	-1.6666666666869032	-1.666666666687362	-1.666666666687362	-1.666666666688318	-1.666666666688318	-1.66666666668764	-1.666666666687378	-9.000000000069932	1.9999999999948743	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	-1.666666666676213	0.0	Folate	H+-e0
Riboflavin##H+-e0##Bacteroides_caecimuris_I48	-4.999999999997711	-4.999999999997711	-4.999999999996094	-0.6666666666873908	-0.6666666666902361	-0.6666666666902361	-0.6666666666914574	-0.6666666666914574	-0.6666666666894991	-0.6666666666911092	-7.000000000047015	2.4999999999787135	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	-0.6666666666829197	0.0	Riboflavin	H+-e0
