	Avg_Bacteroides_caecimuris_I48	Var_Bacteroides_caecimuris_I48	Avg_Muribaculum_intestinale_YL27	Var_Muribaculum_intestinale_YL27	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Asparagine	0.0	0.0	2.4080717580647625e-13	8.099491252852394e-27	0.9603466483084245	0.001510037834105252	0.0	0.0	0.9603466483084245	0.001510037834105252	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ca2+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Co2+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
D-Glucose-e0	1.267259220166099e-12	8.990909976316557e-27	4.4640167940517065e-13	2.86778476759804e-26	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
D-Mannose-e0	0.0	0.0	2.4063546088441895e-13	2.868955136922761e-26	0.9603466483084245	0.001510037834105252	0.0	0.0	0.9603466483084245	0.001510037834105252	Muribaculum_intestinale_YL27	1		1	Muribaculum_intestinale_YL27	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Folate	1.8176883515163295e-12	4.0980292831695418e-25	2.086845272082903e-12	7.147275020010625e-25	1.720693296616849	0.36319610662845725	0.0	0.0	1.720693296616849	0.36319610662845725	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27.	2		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27.	2
Galactose-e0	0.0	0.0	2.66057584817491e-13	2.899254091480671e-26	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glutamine	0.0	0.0	4.374248499462229e-13	6.640261098747713e-27	1.9172162308904055	0.009482778478457651	0.0	0.0	1.9172162308904055	0.009482778478457651	Muribaculum_intestinale_YL27.Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		1	Muribaculum_intestinale_YL27.Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Glycine-e0	0.0	0.0	7.861654864971023e-14	4.873933264997171e-28	0.9460308679148357	0.015567730108130243	0.0	0.0	0.9460308679148357	0.015567730108130243	Muribaculum_intestinale_YL27.	2		1	Muribaculum_intestinale_YL27.	2
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
H2O-e0	0.0	0.0	0.0	0.0	0.960404672654939	0.0015682411538962464	0.0	0.0	0.960404672654939	0.0015682411538962464	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27	2		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27.Muribaculum_intestinale_YL27	2
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
K+-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Alanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Alanine-e0	0.0	0.0	2.020340169489532e-13	1.314775498007616e-27	0.9513137043268686	0.010429745669188037	0.0	0.0	0.9513137043268686	0.010429745669188037	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
L-Arginine-e0	0.0	0.0	7.781499317622306e-14	1.534999705914621e-26	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	0.9603466483084245	0.001510037834105252	0.0	0.0	0.9603466483084245	0.001510037834105252	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
L-Aspartate-e0	0.0	0.0	3.8912290400761426e-13	2.5025056318156907e-27	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Cysteine-e0	0.0	0.0	1.2759464824842284e-13	4.397226997234826e-27	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glutamate	0.0	0.0	3.4277898771403556e-13	8.46642609626812e-27	0.9355606808500128	0.02557935397323522	0.0	0.0	0.9355606808500128	0.02557935397323522	.Muribaculum_intestinale_YL27	2		1	.Muribaculum_intestinale_YL27	2
L-Glutamate-e0	0.0	0.0	0.0	0.0	0.004131388739349411	0.0041136435482397645	0.0	0.0	0.004131388739349411	0.0041136435482397645	Bacteroides_caecimuris_I48.	2		1	Bacteroides_caecimuris_I48.	2
L-Glycine	0.0	0.0	0.0	0.0	0.003477065726443684	0.003464496331908253	0.0	0.0	0.003477065726443684	0.003464496331908253	Bacteroides_caecimuris_I48.	2		1	Bacteroides_caecimuris_I48.	2
L-Histidine-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.920693296616849	0.006040151336421008	0.0	0.0	1.920693296616849	0.006040151336421008	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1		1	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	1
