	Avg_Flavonifractor_plautii_YL31	Var_Flavonifractor_plautii_YL31	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Cytosine-e0	0.0	0.0	0.0	0.0	1.0005409592534797	0.003970785361004084	0.0	0.0	1.0005409592534797	0.003970785361004084	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
D-Glucose-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
D-Mannose-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Folate-e0	-2.1526497181838483e-12	3.8441516574339574e-25	2.3313341415919283e-12	2.8587789991927576e-28	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
Galactose-e0	0.0	0.0	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	0.0	0.0	1.0005409592534797	0.003970785361004084	0.0	0.0	1.0005409592534797	0.003970785361004084	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
H2O-e0	0.0	0.0	0.0	0.0	1.0004595685575768	0.003890035342806307	0.0	0.0	1.0004595685575768	0.003890035342806307	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	-7.466139607294345e-13	1.7179905807249982e-24	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
K+-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.001508956275988784	0.0015066715082788975	0.0	0.0	0.001508956275988784	0.0015066715082788975	.Flavonifractor_plautii_YL31	2		1	.Flavonifractor_plautii_YL31	2
L-Arginine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	1.0093517609755067	0.01263361530742459	0.0	0.0	1.0093517609755067	0.01263361530742459	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
L-Aspartate-e0	0.0	0.0	0.0	0.0	1.0010948370271406	0.004519950142665689	0.0	0.0	1.0010948370271406	0.004519950142665689	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31.Enterocloster_clostridioformis_YL32	2
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	0.0	0.0	0.9965661651211897	1.1750732865653008e-05	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	-3.238798665657678e-13	3.200170209259122e-27	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	0.000803617335962179	0.0008029693175661304	0.0	0.0	0.000803617335962179	0.0008029693175661304	Flavonifractor_plautii_YL31.	2		1	Flavonifractor_plautii_YL31.	2
L-Histidine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	1.9931323302423793	4.700293146261203e-05	0.0	0.0	1.9931323302423793	4.700293146261203e-05	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1		1	Enterocloster_clostridioformis_YL32.Flavonifractor_plautii_YL31	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
