	0.0000-0.6589	0.6589-0.6600	0.6600-1.3391	1.3391-2.0000	Source	Target
bc1003##bc1002##O2	-0.1529005008594402	0.0	0.0	0.0	bc1003	bc1002
bc1015##bc1002##O2	-0.15290050085943943	0.0	0.0	0.0	bc1015	bc1002
bc1016##bc1002##O2	-0.003427576412305233	0.0	0.0	0.0	bc1016	bc1002
bc1002##bc1015##O2	-0.1532485362975267	-0.2714874317989313	0.0	0.0	bc1002	bc1015
bc1003##bc1015##O2	-0.1532485362975271	-0.1532485362975271	0.0	0.0	bc1003	bc1015
bc1016##bc1015##O2	-0.003435378336115343	-0.003435378336115343	0.0	0.0	bc1016	bc1015
bc1002##bc1003##O2	-0.15297633046741768	-0.2710052055831226	0.0	0.0	bc1002	bc1003
bc1015##bc1003##O2	-0.15297633046741732	-0.15297633046741732	0.0	0.0	bc1015	bc1003
bc1016##bc1003##O2	-0.0034292762875456568	-0.0034292762875456568	0.0	0.0	bc1016	bc1003
bc1002##bc1016##D-Glucose	-0.032431085991787345	-0.05745328770557904	-0.05745328770557904	-0.05745328770557904	bc1002	bc1016
bc1003##bc1016##D-Glucose	-0.031547533749478725	-0.031547533749478725	-0.05745328770557894	-0.05745328770557894	bc1003	bc1016
bc1015##bc1016##D-Glucose	-0.031589026742308735	-0.031589026742308735	-0.05745328770557913	-0.05745328770557913	bc1015	bc1016
bc1003##bc1002##D-Glucose	0.0	-0.14873488086081643	-0.2708708696473838	-0.2708708696473838	bc1003	bc1002
bc1015##bc1002##D-Glucose	0.0	-0.14893050487992798	-0.2708708696473847	-0.2708708696473847	bc1015	bc1002
bc1016##bc1002##D-Glucose	0.0	-0.27087086964738355	-0.27087086964738355	-0.27087086964738355	bc1016	bc1002
bc1002##bc1015##D-Glucose	0.0	0.0	-0.27872439116866515	-0.27872439116866515	bc1002	bc1015
bc1003##bc1015##D-Glucose	0.0	0.0	-0.27872439116866465	-0.27872439116866465	bc1003	bc1015
bc1016##bc1015##D-Glucose	0.0	0.0	-0.27872439116866443	-0.27872439116866443	bc1016	bc1015
bc1002##bc1003##D-Glucose	0.0	0.0	-0.27859525236686483	-0.27859525236686483	bc1002	bc1003
bc1015##bc1003##D-Glucose	0.0	0.0	-0.2785952523668653	-0.2785952523668653	bc1015	bc1003
bc1016##bc1003##D-Glucose	0.0	0.0	-0.2785952523668641	-0.2785952523668641	bc1016	bc1003
