	0.0000-6.3266	6.3266-7.3514	7.3514-7.9980	7.9980-10.2963	10.2963-13.0269	13.0269-17.2483	17.2483-20.0000	Source	Target
Enterocloster_clostridioformis_YL32##Putrescine-e0##Microbe	-0.9999999999999986	-0.9999999999999986	-0.9999999999999999	-0.9999999999999979	-0.9999999999999979	0.0	0.0	Enterocloster_clostridioformis_YL32	Putrescine-e0
Enterocloster_clostridioformis_YL32##Puryvate##Microbe	-1.0000000000000004	-1.0000000000000004	-1.000000000000001	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	Enterocloster_clostridioformis_YL32	Puryvate
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe	-201.40724161061303	-201.40724161061303	-201.40724161059552	-203.40724161060683	-203.40724161060683	-204.4072416106046	-203.5080491775431	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.412125071952282	-0.7060625359741596	-0.7060625359741596	-0.7060625359741596	-0.7060625359740239	-0.7060625359719402	-0.7060625359719402	Acutalibacter_muris_KB1	Ca2+-e0
Enterocloster_clostridioformis_YL32##Inosine-e0##Microbe	-108.21788777632115	-108.21788777632115	-108.21788777630678	-109.21788777628763	-109.21788777628763	-109.21788777628763	-109.002105438466	Enterocloster_clostridioformis_YL32	Inosine-e0
Enterocloster_clostridioformis_YL32##Phosphate-e0##Microbe	-127.45775496149662	-127.45775496149662	-127.45775496148065	-127.45775496148802	-127.45775496148802	-127.45775496148802	-127.45775496144383	Enterocloster_clostridioformis_YL32	Phosphate-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000076352	-1.0000000000000233	-1.0000000000000233	-1.0000000000000233	-0.9999999999990568	-0.9999999999999675	-0.9999999999999675	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##CO2-e0##Microbe	7119.69337044713	3552.7355741005467	3552.7355741005467	3554.7355741005586	3561.1800185434	1058.059549189547	1058.059549189547	Acutalibacter_muris_KB1	CO2-e0
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178070191	-2.040052755694542	-2.040052755694542	-2.040052755694542	-2.1233860890254683	-2.1233860890235743	-2.1233860890235743	Acutalibacter_muris_KB1	Fe2+-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.7193238692557	-36.359661934506214	-36.359661934506214	-36.359661934506214	-36.35966193449257	-36.3596619343715	-36.3596619343715	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-2.0000000000011053	-0.9999999999970081	-0.9999999999970081	-0.9999999999970081	-0.9999999999966507	-1.0000000000242815	-1.0000000000242815	Acutalibacter_muris_KB1	Niacin
Enterocloster_clostridioformis_YL32##L-Valine-e0##Microbe	-50.88999307370927	-50.88999307370927	-50.88999307370675	-50.889993073708744	-50.889993073708744	-50.889993073708744	-50.37447769930104	Enterocloster_clostridioformis_YL32	L-Valine-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe	-84.65250343231753	-84.65250343231753	-86.65006910770292	-92.7834024409558	-92.7834024409558	-93.11673577428806	-93.74859278943622	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Asparagine-e0##Microbe	-28.98957316884948	-28.98957316884948	-28.989573168850384	-28.989573168854204	-28.989573168854204	-28.989573168854204	-29.146141926153767	Enterocloster_clostridioformis_YL32	L-Asparagine-e0
