	0.0000-6.3266	6.3266-7.3514	7.3514-7.9980	7.9980-10.2963	10.2963-13.0269	13.0269-17.2483	17.2483-20.0000	Source	Target
Pyridoxal##Acutalibacter_muris_KB1##Metabolite##None	193.59229303371148	0.0	0.0	0.0	0.0	0.0	0.0	Pyridoxal	Acutalibacter_muris_KB1
Acutalibacter_muris_KB1##H2O-e0##Microbe##Spermidine-e0	-2.500000000002897	-2.499999999993643	-2.499999999993643	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe##L-Lactate-e0	-0.3333333333340284	-0.3333333333372417	-0.3333333333372417	-0.3333333333372417	-0.33333333333684817	-0.9999999999986144	-0.9999999999986144	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe##Thiamine	-1.9444444444440452	-1.944444444450214	-1.944444444450214	-1.944444444450214	0.0	0.0	0.0	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe##Pyridoxal	-4117.544257978498	0.0	0.0	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##H2O-e0##Microbe##Puryvate	-0.33333333333579734	-0.3333333333392419	-0.3333333333392419	-0.3333333333392419	-0.33333333334039555	-0.9999999999980482	-0.9999999999980482	Acutalibacter_muris_KB1	H2O-e0
Acutalibacter_muris_KB1##Glycine-e0##Microbe##Thiamine	1.3333333333334194	1.3333333333332467	1.3333333333332467	1.3333333333332467	0.0	0.0	0.0	Acutalibacter_muris_KB1	Glycine-e0
Acutalibacter_muris_KB1##Glycine-e0##Microbe##Pyridoxal	-109.2042819332184	0.0	0.0	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	Glycine-e0
Acutalibacter_muris_KB1##Phosphate-e0##Microbe##Pyridoxal	-259.7283712389129	0.0	0.0	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	Phosphate-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe##Spermidine-e0	0.49999999999753886	0.5000000000058924	0.5000000000058924	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe##L-Lactate-e0	0.3333333333327047	0.3333333333297977	0.3333333333297977	0.3333333333297977	0.33333333333013393	0.0	0.0	Acutalibacter_muris_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe##Thiamine	5.277777777778166	5.277777777772578	5.277777777772578	5.277777777772578	0.0	0.0	0.0	Acutalibacter_muris_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe##Pyridoxal	-3719.1345486307355	0.0	0.0	0.0	0.0	0.0	0.0	Acutalibacter_muris_KB1	D-Glucose-e0
Acutalibacter_muris_KB1##D-Glucose-e0##Microbe##Puryvate	0.3333333333311659	0.33333333332805143	0.33333333332805143	0.33333333332805143	0.33333333332699594	0.0	0.0	Acutalibacter_muris_KB1	D-Glucose-e0
