	Muribaculum_intestinale_YL27	Turicimonas_muris_YL45	In	InAmount	Out	OutAmount	All	AllAmount
D-Mannose-e0	-6.611100555886651e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Ethanol-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Fe2+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Folate	-1.481842426542812e-12	2.2287727219350018e-13	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Formate-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Fumarate-e0	-3.549660565482782e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
GABA-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Galactose-e0	-7.659220480071838e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glutamine	-6.930775398039657e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Glycine-e0	-2.0292101332586299e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Glycolaldehyde-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
H2-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
H2O-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
H2S-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
K+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Alanine-e0	-3.548203397762961e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Arginine-e0	-3.1885605267234496e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Aspartate-e0	-3.6887853882561217e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Cysteine-e0	-2.5384555568663814e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate	-6.275674424571775e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Glutamate-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Glutamine-e0	0.0	0.0		0		0		0
L-Histidine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Isoleucine	0.0	0.0		0		0		0
L-Lactate-e0	0.0	0.0		0		0		0
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Methionine-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Phenylalanine	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Proline	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Serine	-2.353672812205332e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Serine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Threonine	-2.7172708527700706e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Threonine-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Tryptophan	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0		0		0		0
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mg-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Mn2+	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Mn2+-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Na+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Neu5Ac-e0	-9.538966838640306e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0		0		0		0
Puryvate	0.0	0.0		0		0		0
Putrescine	-1.887379141862766e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Pyruvate-e0	0.0	1.5068848946420133e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Riboflavin	-1.2432763152325776e-12	126.68907411760752	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	3
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	-4.1025516317461097e-13	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	-4.1639608427956887e-13	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Sucrose	-1.5724505031400327e-12	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sulfate-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Thiamin-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0	Turicimonas_muris_YL45	1		0	Turicimonas_muris_YL45	1
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2		0	Muribaculum_intestinale_YL27.Turicimonas_muris_YL45	2
fucose	0.0	0.0		0		0		0
lactate	-3.284490734944967e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
