	Enterocloster_clostridioformis_YL32	Blautia_coccoides_YL58	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Acetate-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
CO2-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Ca2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Carnitine	0.0	0.0		0		0		0
Carnitine-e0	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl--e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Co2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Cytosine	0.0	0.0		0		0		0
Cytosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	4.159519950697188e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
D-Mannose-e0	3.271688475692258e-13	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
D-Ribose-e0	0.0	-4.156675004196586e-13	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Fe2+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Folate-e0	0.0	5.755118603900655e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
GTP-e0-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Galactose-e0	-8.465450562766819e-16	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glycerol-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Glycine-e0	-1.3014589406168398e-13	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
H2O-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Alanine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Arginine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	-4.5460857300838597e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Aspartate-e0	-1.3100631690576847e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Cysteine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	-2.845362834236198e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Glutamine-e0	-4.785893903402894e-13	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Histidine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	0.0	4.48474590797332e-13	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Enterocloster_clostridioformis_YL32	1		0	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Methionine-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Phenylalanine	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Proline-e0	0.0	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
L-Serine-e0	-7.747968933102811e-14	0.0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2		0	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
