	0.0000	Source	Target
PAN##Enterocloster_clostridioformis_YL32##Metabolite##None	-4.575895218295045e-11	PAN	Enterocloster_clostridioformis_YL32
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##Putrescine-e0	6.517564266061981e-13	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##Spermidine-e0	1.1851630787873546e-13	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##Thiamin-e0	-2.546407529280259e-12	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##Folate-e0	-2.0472512574087887e-12	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##O2-e0	-1.2000000000345064	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##PAN	0.6000000009057658	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##Puryvate	3.1089020247065946e-13	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Glycine-e0##Microbe##N-acetyl-D-gluosamine	-5.590528040499976e-13	Enterocloster_clostridioformis_YL32	Glycine-e0
Enterocloster_clostridioformis_YL32##Phosphate-e0##Microbe##PAN	4.594369329424808e-11	Enterocloster_clostridioformis_YL32	Phosphate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##Putrescine-e0	4.052314039881821e-15	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##Spermidine-e0	2.6423307986078726e-14	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##Thiamin-e0	-1.4632739464559563e-13	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##Folate-e0	-9.85878045867139e-14	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##O2-e0	1.599999999998908	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##PAN	-0.7999999999534708	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##Puryvate	7.993605777301127e-15	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe##N-acetyl-D-gluosamine	-1.1157741397482823e-14	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##Putrescine-e0	1.7946755193065655e-13	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##Spermidine-e0	2.90878432451791e-14	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##Thiamin-e0	-7.503997423441433e-13	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##Folate-e0	-6.213918268827001e-13	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##O2-e0	-0.6000000000099978	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##PAN	0.3000000002668912	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##Puryvate	8.727740752334512e-14	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##D-Glucose-e0##Microbe##N-acetyl-D-gluosamine	-1.6245338407827603e-13	Enterocloster_clostridioformis_YL32	D-Glucose-e0
Enterocloster_clostridioformis_YL32##Mn2+-e0##Microbe##PAN	3.6426417437951386e-13	Enterocloster_clostridioformis_YL32	Mn2+-e0
Enterocloster_clostridioformis_YL32##Zn2+-e0##Microbe##PAN	1.709743457922741e-14	Enterocloster_clostridioformis_YL32	Zn2+-e0
Enterocloster_clostridioformis_YL32##L-Lysine-e0##Microbe##PAN	1.6648016298859147e-11	Enterocloster_clostridioformis_YL32	L-Lysine-e0
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe##Putrescine-e0	4.8960835385969403e-14	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe##Spermidine-e0	1.0880185641326534e-14	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe##PAN	7.028688742138911e-11	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##Sulfate-e0##Microbe##PAN	7.30304705598428e-13	Enterocloster_clostridioformis_YL32	Sulfate-e0
Enterocloster_clostridioformis_YL32##L-Arginine-e0##Microbe##Putrescine-e0	1.176836406102666e-14	Enterocloster_clostridioformis_YL32	L-Arginine-e0
Enterocloster_clostridioformis_YL32##L-Arginine-e0##Microbe##Spermidine-e0	6.328271240363392e-15	Enterocloster_clostridioformis_YL32	L-Arginine-e0
Enterocloster_clostridioformis_YL32##L-Arginine-e0##Microbe##PAN	1.2661871551244985e-11	Enterocloster_clostridioformis_YL32	L-Arginine-e0
Enterocloster_clostridioformis_YL32##L-Leucine-e0##Microbe##PAN	2.5266899683629163e-11	Enterocloster_clostridioformis_YL32	L-Leucine-e0
Enterocloster_clostridioformis_YL32##Putrescine-e0##Microbe##Putrescine-e0	-9.992007221626409e-16	Enterocloster_clostridioformis_YL32	Putrescine-e0
Enterocloster_clostridioformis_YL32##L-Histidine-e0##Microbe##PAN	4.04298816647497e-12	Enterocloster_clostridioformis_YL32	L-Histidine-e0
Enterocloster_clostridioformis_YL32##L-Proline-e0##Microbe##PAN	9.258371846954105e-12	Enterocloster_clostridioformis_YL32	L-Proline-e0
Enterocloster_clostridioformis_YL32##Co2+-e0##Microbe##PAN	6.152856002472618e-13	Enterocloster_clostridioformis_YL32	Co2+-e0
Enterocloster_clostridioformis_YL32##L-Valine-e0##Microbe##PAN	1.6434853478131117e-11	Enterocloster_clostridioformis_YL32	L-Valine-e0
Enterocloster_clostridioformis_YL32##L-Threonine-e0##Microbe##PAN	2.999200887643383e-11	Enterocloster_clostridioformis_YL32	L-Threonine-e0
