	0.0000-0.0006	0.0006-0.0012	0.0012-0.0057	0.0057-0.0080	0.0080-0.0094	0.0094-0.0096	0.0110-0.0115	0.0118-0.0118	0.0118-0.0119	0.0119-0.0119	0.0119-0.0120	0.0120-0.0121	0.0121-0.0124	0.0124-0.0125	0.0125-0.0126	0.0131-0.0131	0.0291-0.0617	0.0617-0.0617	0.0617-0.0659	0.0724-0.0725	0.0729-0.0737	0.0737-0.0812	0.0812-0.1738	0.1738-0.2818	0.3446-0.3449	0.3449-0.3457	0.3457-0.4510	0.4510-0.5037	0.5038-0.5041	0.5048-0.5048	0.5048-0.5733	0.5733-0.7844	0.7844-0.7886	0.7886-0.7919	0.7919-0.7920	0.7920-0.7928	0.7928-0.7929	0.7929-1.0883	1.0935-1.7087	1.7087-3.7575	3.7575-6.3404	6.4575-20.0000	Source	Target
PAN##Bacteroides_caecimuris_I48##Metabolite##None	126.68907411729847	126.68907411729847	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.6890741173128	126.68907411597637	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	126.68907411586125	PAN	Bacteroides_caecimuris_I48
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe##PAN	-127.45775495898921	-127.45775495898921	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495902124	-127.45775495792181	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	-127.45775495793565	Bacteroides_caecimuris_I48	Phosphate-e0
Bacteroides_caecimuris_I48##Mn2+-e0##Microbe##PAN	-0.9241112603168885	-0.9241112603168885	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603170236	-0.9241112603074391	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	-0.9241112603065328	Bacteroides_caecimuris_I48	Mn2+-e0
Bacteroides_caecimuris_I48##Zn2+-e0##Microbe##PAN	-0.9241112603162648	-0.9241112603162648	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603161651	-0.9241112603065097	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	-0.9241112603054557	Bacteroides_caecimuris_I48	Zn2+-e0
Bacteroides_caecimuris_I48##Sulfate-e0##Microbe##PAN	-0.9241112602938009	-0.9241112602938009	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112602420382	-0.9241112596100296	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	-0.9241112592156671	Bacteroides_caecimuris_I48	Sulfate-e0
Bacteroides_caecimuris_I48##Co2+-e0##Microbe##PAN	-0.9241112603166932	-0.9241112603166932	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603166803	-0.9241112603062802	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	-0.924111260305141	Bacteroides_caecimuris_I48	Co2+-e0
Bacteroides_caecimuris_I48##Spermidine-e0##Microbe##Spermidine-e0	-1.0000000000000018	-1.0000000000000018	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	Bacteroides_caecimuris_I48	Spermidine-e0
Bacteroides_caecimuris_I48##fe3-e0##Microbe##PAN	-0.9241112603162324	-0.9241112603162324	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112602937493	-0.9241112600421205	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	-0.924111259888982	Bacteroides_caecimuris_I48	fe3-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Spermidine-e0	4.000000000006949	4.000000000006949	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	4.000000000003091	7.333333333305061	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	5.666666666661295	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Fumarate-e0	1.0000000000097033	1.0000000000097033	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	1.0000000000082263	-1.0000000000040332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
