	Limosilactobacillus_reuteri_I49	Blautia_coccoides_YL58	In	InAmount	Out	OutAmount	All	AllAmount
K+-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Alanine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Arginine-e0	1.7853774014753299e-13	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	2.2582491432387997e-12	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Aspartate-e0	2.363831352880652e-12	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Cysteine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	1.899591595133643e-12	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Glutamine-e0	2.149756067604258e-12	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Histidine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lactate-e0	0.0	1.256182657893845e-12	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Lysine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Malate-e0	0.0	-1.342051469954697e-12	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Methionine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Phenylalanine	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Phenylalanine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Proline-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Serine-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
L-Threonine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Tryptophan	0.0	0.0		0		0		0
L-Tryptophan-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
L-Tyrosine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
L-Valine-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Melitose-e0	6.689371279122724e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Mn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	-1.2959425199632335e-12	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
NH3-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Na+-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Niacin	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	96.79614652171485	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2	Blautia_coccoides_YL58	1	Blautia_coccoides_YL58Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	-2.4997851011399064e-12	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Putrescine-e0	0.0	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Pyridoxal	0.0	0.0		0		0		0
Pyruvate-e0	-7.470413176946522e-14	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Riboflavin	103.33991451960803	-1.759303813742008e-11	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	3
Selenium	0.0	0.0		0		0		0
Sorbitol-e0	0.0	0.0		0		0		0
Spermidine-e0	5.042161133061995e-12	2.3690216455207747e-12	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Sucrose	4.668487818548783e-13	0.0	Limosilactobacillus_reuteri_I49	1		0	Limosilactobacillus_reuteri_I49	1
Sulfate-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Thiamin-e0	0.0	-1.490599310649543e-11	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Thiamine	68.89327634641438	0.0	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49	1	Limosilactobacillus_reuteri_I49Limosilactobacillus_reuteri_I49	2
Uracil-e0	0.0	0.0	Blautia_coccoides_YL58	1		0	Blautia_coccoides_YL58	1
Urea-e0	2.1926904736346842e-14	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
Zn2+-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
acetylhexosamine	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2		0	Blautia_coccoides_YL58.Limosilactobacillus_reuteri_I49	2
fucose	0.0	0.0		0		0		0
