	0.0000-0.0000	0.0000-0.0006	0.0010-0.0049	0.0049-0.0060	0.0072-0.0108	0.0175-0.0333	0.0333-0.0378	0.0378-0.0379	0.0379-0.0395	0.0395-0.0408	0.0802-0.0989	0.0989-0.1172	0.1172-0.1174	0.1180-0.1216	0.1349-0.1862	0.1862-0.2181	0.2181-0.2247	0.2247-0.2268	0.2361-0.2617	0.2617-0.2985	0.2985-0.3608	0.3608-0.3747	0.3747-0.3855	0.3855-0.4670	0.4670-0.4712	0.4713-0.6562	0.6562-0.6563	0.6563-0.6565	0.6592-0.6592	0.6592-0.6597	0.6597-0.6641	0.6641-0.6641	0.6641-0.6649	0.6662-0.6662	0.6909-0.7248	0.7248-0.7258	0.7258-0.7273	0.7273-0.8530	0.8530-0.8969	0.8969-0.8983	0.8983-0.8983	0.8993-0.9006	0.9061-0.9513	0.9521-0.9766	0.9766-0.9767	0.9768-0.9769	0.9769-0.9769	0.9769-0.9880	1.0650-1.0664	1.0688-1.0689	1.0690-1.0692	1.0731-1.0790	1.0790-1.1222	1.1222-1.4591	1.4591-1.4944	1.4944-4.2531	4.2531-8.5218	8.5218-11.6128	11.6128-20.0000	Source	Target
Limosilactobacillus_reuteri_I49##L-Phenylalanine-e0##Microbe	-19.790702065760748	-19.790702065760748	-19.790702065766162	-19.790702065833987	-19.790702065606006	-19.79070206549711	-0.27134561407722024	-2.9349468052659966	-83.15106737126328	-83.15106737079182	-83.1510673709118	-83.1510673709118	-83.1510673709118	-83.1510673709118	-83.15106737252245	-83.15106737252245	-83.15106737252245	-83.15106737252245	-83.15106737386482	-83.15106736673877	-83.15106736673877	-0.9874223409655509	-0.5040472497027423	-83.1510673708	-83.1510673708	-83.1510673708	-83.15106737231362	-83.15106737228967	-83.1510673714402	-83.15106737039756	-83.15106737041317	-83.15106737159081	-83.1510673721013	-42.25724956165645	-42.25724956142174	-42.25724956170275	-42.25724956170275	-42.25724956170275	-42.25724956143931	-42.257249562510054	-42.25724956157855	-0.9225654497657224	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-19.790702065560687	-39.58140415041269	-39.58140408133426	-19.7907020655417	Limosilactobacillus_reuteri_I49	L-Phenylalanine-e0
Limosilactobacillus_reuteri_I49##Cytosine##Microbe	-12.165428977261746	-12.165428977261746	-12.165428977265709	-12.165428977319703	-12.165428977195562	-12.16542897709188	-0.1667973064010499	-1.804124320243851	-51.11331579487061	-51.113315794578035	-51.113315794649736	-51.113315794649736	-51.113315794649736	-51.113315794649736	-51.11331579564768	-51.11331579564768	-51.11331579564768	-51.11331579564768	-51.113315796493296	-51.11331579204902	-51.11331579204902	-0.6069727248522049	-0.309839994411291	-51.11331579458614	-51.11331579458614	-51.11331579458614	-51.113315795504185	-51.11331579548863	-51.11331579497168	-51.11331579433202	-51.113315794340465	1924.0007073885267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2465.2236783586704	-0.9999999999999998	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-0.9999999999999997	-1.0000000000000002	-0.9999999999999998	Limosilactobacillus_reuteri_I49	Cytosine
Muribaculum_intestinale_YL27##D-Glucose-e0##Microbe	-954.4316802314947	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-983.9846744296365	-1.0000000000000007	-1.0000000000000007	-1.0000000000000004	-1.000000000000001	-0.9999999999999996	-1.0	-1.0	-1.0000000000000007	-1.0000000000000004	-1.0000000000000004	-0.9999999999999999	-0.9999999999999999	-0.9999999999999999	-0.9999999999999999	-0.9999999999999998	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0000000000000009	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-1.0000000000000009	-0.9999999999999993	-0.9999999999999991	-0.9999999999999987	-1.0000000000000009	-0.9999999999999996	-1.0	-0.9999999999999998	-0.9999999999999989	-0.9999999999999998	-1.0000000000000007	-0.9999999999999996	-1.0	-1.0	-1.0	-1.0	Muribaculum_intestinale_YL27	D-Glucose-e0
Limosilactobacillus_reuteri_I49##L-Aspartate-e0##Microbe	-2606.597575520457	-2597.59757552044	-2677.0387764137436	-190.73175292073185	-190.7317529184296	-1599.8022748212602	5.352826669596912	-0.9999999999999999	-0.9999999999999994	-1.0000000000000004	-0.9999999999999979	-0.9999999999999979	-0.9999999999999979	-0.9999999999999979	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999996	-0.9999999999999994	-0.9999999999999994	-0.9999999999999997	-1.0	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-1.000000000000001	-1.0000000000000004	-1.0000000000000013	-1.0000000000000004	-1.0000000000000009	-0.999999999999999	-1.0000000000000002	-1.0	-1.0	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-0.9999999999999996	-1.0000000000000002	-0.9999999999999998	-1.000000000000001	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000018	-1.0000000000000002	-1.0000000000000007	-0.9999999999999996	Limosilactobacillus_reuteri_I49	L-Aspartate-e0
Limosilactobacillus_reuteri_I49##Phosphate-e0##Microbe	-129.8641856201801	-129.8641856201801	-129.864185620208	-129.86418562011283	-129.86418561862706	-129.86418561889116	-1.7805369954181218	-19.25876481978295	-545.6272148254614	-545.6272148224016	-545.6272148231677	-545.6272148231677	-545.6272148231677	-545.6272148231677	-545.6272148336752	-545.6272148336752	-545.6272148336752	-545.6272148336752	-545.6272148421583	-545.6272147957823	-545.6272147957823	-6.4793455909693005	-3.3074968931773876	-545.6272148224747	-545.6272148224747	-545.6272148224747	-545.6272148321974	-545.6272148320401	-545.6272148265525	-545.627214819875	-545.6272148199764	-545.6272148276598	-545.6272148308469	-277.28694427413785	-277.28694427263747	-277.28694427441184	-277.28694427441184	-277.28694427441184	-277.28694427276116	-277.2869442795866	-277.28694427351985	-6.053762540430198	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-129.8641856182837	-259.72837136315485	-259.72837091159477	-130.44234772681278	Limosilactobacillus_reuteri_I49	Phosphate-e0
Limosilactobacillus_reuteri_I49##L-Proline-e0##Microbe	-18.08778119033702	-18.08778119033702	-18.08778119034212	-18.08778119040783	-18.08778119020346	-18.0877811901041	-0.2479972705402703	-2.6824048708606156	-75.99620808586816	-75.99620808543733	-75.99620808554718	-75.99620808554718	-75.99620808554718	-75.99620808554718	-75.99620808702025	-75.99620808702025	-75.99620808702025	-75.99620808702025	-75.99620808825424	-75.9962080817352	-75.9962080817352	-0.9024580930222869	-0.4606757421702158	-75.99620808543557	-75.99620808543557	-75.99620808543557	-75.99620808682502	-75.9962080868033	-75.99620808601853	-75.99620808506721	-75.99620808508172	-75.99620808615991	-75.99620808662777	-38.621160645901746	-38.6211606456858	-38.62116064594458	-38.62116064594458	-38.62116064594458	-38.621160645701536	-38.621160646684004	-38.62116064582753	-0.8431819110651587	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-18.087781190162936	-36.17556239795652	-36.175562334822416	-18.08778119014549	Limosilactobacillus_reuteri_I49	L-Proline-e0
Muribaculum_intestinale_YL27##Mg-e0##Microbe	-0.924111260324689	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.9241112603251102	-0.924111260320722	-0.924111260320582	-0.9241112603145487	-0.9241112603192989	-0.9241112603196144	-0.9241112603093247	-0.9241112603158971	-0.9241112603214312	-0.9241112603149778	-0.9241112603149778	-0.9241112603148972	-0.9241112603148972	-0.9241112603148972	-0.9241112603148972	-0.924111260315644	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603150264	-0.9241112603158554	-0.9241112603157412	-0.9241112603157412	-0.9241112603157412	-0.9241112603157412	-0.9241112603157412	-0.9241112603157412	-0.9241112603144562	-0.9241112603142979	-0.9241112603153492	-0.924111260316808	-0.9241112603160883	-0.9241112603152863	-0.9241112603155748	-0.9241112603166215	-0.9241112603150312	-0.924111260314578	-0.9241112603152064	-0.9241112603180857	-0.9241112603087754	-0.9241112603087754	-0.9241112603087754	-0.9241112603087754	Muribaculum_intestinale_YL27	Mg-e0
Muribaculum_intestinale_YL27##L-Threonine##Microbe	-74.99313011412507	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011415876	-74.99313011382078	-74.99313011380728	-74.99313011333676	-74.9931301136918	-74.9931301137277	-74.99313011292288	-74.99313011343258	-74.99313011390336	-74.9931301133473	-74.9931301133473	-74.99313011334009	-74.99313011334009	-74.99313011334009	-74.99313011334009	-74.99313011340355	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011335937	-74.99313011342495	-74.99313011341633	-74.99313011341633	-74.99313011341633	-74.99313011341633	-74.99313011341633	-74.99313011341633	-1083.5895588876606	-0.9999999999999994	-1.0	-0.9999999999999996	-1.0000000000000022	-1.000000000000001	-1.000000000000001	-1.000000000000001	-1.0000000000000007	-1.0000000000000016	-1.0000000000000007	-0.9999999999999998	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	Muribaculum_intestinale_YL27	L-Threonine
Limosilactobacillus_reuteri_I49##Urea-e0##Microbe	-1.0000000000000002	-1.0000000000000002	-1.0000000000000004	-1.0	-0.9999999999999998	-1.0000000000000002	-1.0000000000000007	-1.0000000000000004	-1.0000000000000009	-1.0000000000000002	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000004	-1.0	-1.0	-1.0000000000000009	-0.9999999999999996	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-1.0000000000000016	-1.0000000000000009	-0.9999999999999984	-1.0	-0.9999999999999992	-1.0000000000000009	-0.9999999999999996	-1.0000000000000013	-1.0000000000000002	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999993	-1.0	-1.0000000000000007	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-0.9999999999999998	-1.0000000000000002	-0.9999999999999993	-0.9999999999999989	Limosilactobacillus_reuteri_I49	Urea-e0
Muribaculum_intestinale_YL27##K+-e0##Microbe	-0.9241112603229622	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603225655	-0.9241112603186288	-0.9241112603188884	-0.9241112603128528	-0.9241112603188446	-0.9241112603182449	-0.9241112603074283	-0.9241112603150459	-0.924111260319452	-0.9241112603145817	-0.9241112603145817	-0.9241112603145165	-0.9241112603145165	-0.9241112603145165	-0.9241112603145165	-0.9241112603152427	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.9241112603147885	-0.924111260315354	-0.9241112603152567	-0.9241112603152567	-0.9241112603152567	-0.9241112603152567	-0.9241112603152567	-0.9241112603152567	-0.9241112603143035	-0.9241112603133524	-0.924111260314545	-0.9241112603170051	-0.9241112603157986	-0.9241112603150239	-0.9241112603142606	-0.9241112603159349	-0.9241112603130526	-0.92411126031304	-0.9241112603141015	-0.924111260318846	-0.9241112603048719	-0.9241112603048719	-0.9241112603048719	-0.9241112603048719	Muribaculum_intestinale_YL27	K+-e0
