	Name	Type	In	InAmount	Out	OutAmount	All	AllAmount	IntrinsicGrowth
Adenine	Adenine	Metabolite		0		0		0	0.0
Adenosine	Adenosine	Metabolite		0		0		0	0.0
Ala-Ala	Ala-Ala	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
Arsenate	Arsenate	Metabolite		0		0		0	0.0
Arsenite	Arsenite	Metabolite		0		0		0	0.0
BET	BET	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
BIOT	BIOT	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
CMP	CMP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
CO2	CO2	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Ca2+	Ca2+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Cbl	Cbl	Metabolite		0		0		0	0.0
Chitobiose	Chitobiose	Metabolite	bc1016	1		0	bc1016	1	0.0
Chorismate	Chorismate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Citrate	Citrate	Metabolite	bc1016	1		0	bc1016	1	0.0
Cl-	Cl-	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Co2+	Co2+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
CoA	CoA	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Cu2+	Cu2+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Cytidine	Cytidine	Metabolite	bc1016	1		0	bc1016	1	0.0
D-Alanine	D-Alanine	Metabolite	bc1016	1		0	bc1016	1	0.0
D-Arabinose	D-Arabinose	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
D-Galacturonate	D-Galacturonate	Metabolite		0		0		0	0.0
D-Glucose	D-Glucose	Metabolite	bc1002.bc1003.bc1016	3	bc1002.bc1003.bc1016	3	bc1002.bc1003.bc1016bc1002.bc1003.bc1016	6	0.0
D-Serine	D-Serine	Metabolite		0		0		0	0.0
Deoxyadenosine	Deoxyadenosine	Metabolite		0		0		0	0.0
Deoxycytidine	Deoxycytidine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Deoxyguanosine	Deoxyguanosine	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
Deoxyinosine	Deoxyinosine	Metabolite		0		0		0	0.0
Deoxyuridine	Deoxyuridine	Metabolite		0		0		0	0.0
Enterobactin	Enterobactin	Metabolite		0		0		0	0.0
Fe-enterochlin	Fe-enterochlin	Metabolite		0		0		0	0.0
Folate	Folate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Formate	Formate	Metabolite	bc1003.bc1016	2		0	bc1003.bc1016	2	0.0
Fumarate	Fumarate	Metabolite		0		0		0	0.0
GTP	GTP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Galactose	Galactose	Metabolite		0		0		0	0.0
Glucose-1-phosphate	Glucose-1-phosphate	Metabolite	bc1016	1		0	bc1016	1	0.0
Glucuronate	Glucuronate	Metabolite		0		0		0	0.0
Glycerol	Glycerol	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Glycine	Glycine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
H+	H+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
H2O	H2O	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
HYXN	HYXN	Metabolite		0		0		0	0.0
Heme	Heme	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Inosine	Inosine	Metabolite		0		0		0	0.0
K+	K+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Alanine	L-Alanine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Arabinose	L-Arabinose	Metabolite		0		0		0	0.0
L-Arginine	L-Arginine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Ascorbate	L-Ascorbate	Metabolite		0		0		0	0.0
L-Asparagine	L-Asparagine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Aspartate	L-Aspartate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Cysteine	L-Cysteine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Glutamate	L-Glutamate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Glutamine	L-Glutamine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Histidine	L-Histidine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Inositol	L-Inositol	Metabolite		0		0		0	0.0
L-Isoleucine	L-Isoleucine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Lactate	L-Lactate	Metabolite	bc1016	1		0	bc1016	1	0.0
L-Leucine	L-Leucine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Lysine	L-Lysine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Malate	L-Malate	Metabolite		0		0		0	0.0
L-Methionine	L-Methionine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Phenylalanine	L-Phenylalanine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Proline	L-Proline	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Serine	L-Serine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Threonine	L-Threonine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Tryptophan	L-Tryptophan	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Tyrosine	L-Tyrosine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
L-Valine	L-Valine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Methanol	Methanol	Metabolite		0		0		0	0.0
Mg	Mg	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Mn2+	Mn2+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Myristic acid	Myristic acid	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
N-Acetyl-D-glucosamine	N-Acetyl-D-glucosamine	Metabolite	bc1003	1		0	bc1003	1	0.0
NADP	NADP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
NH3	NH3	Metabolite	bc1016	1		0	bc1016	1	0.0
Na+	Na+	Metabolite		0		0		0	0.0
Niacin	Niacin	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Nicotinamide ribonucleotide	Nicotinamide ribonucleotide	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
Nitrate	Nitrate	Metabolite		0		0		0	0.0
Nitrite	Nitrite	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
O2	O2	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Oxidized glutathione	Oxidized glutathione	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
PAN	PAN	Metabolite		0		0		0	0.0
PPi	PPi	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
Pimelate	Pimelate	Metabolite	bc1016	1		0	bc1016	1	0.0
Putrescine	Putrescine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Pyridoxal	Pyridoxal	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Riboflavin	Riboflavin	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
S-Adenosyl-L-methionine	S-Adenosyl-L-methionine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Spermidine	Spermidine	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Succinate	Succinate	Metabolite		0		0		0	0.0
Sulfate	Sulfate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
TRHL	TRHL	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
TTP	TTP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Thiamin	Thiamin	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
Thymidine	Thymidine	Metabolite		0		0		0	0.0
UMP	UMP	Metabolite	bc1002.bc1003	2		0	bc1002.bc1003	2	0.0
Uracil	Uracil	Metabolite		0		0		0	0.0
Uridine	Uridine	Metabolite	bc1016	1		0	bc1016	1	0.0
Xylose	Xylose	Metabolite		0		0		0	0.0
Zn2+	Zn2+	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
chromate	chromate	Metabolite		0		0		0	0.0
dATP	dATP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
dGTP	dGTP	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
ddca	ddca	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
fe3	fe3	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
hexadecenoate	hexadecenoate	Metabolite	bc1016	1		0	bc1016	1	0.0
meso-2,6-Diaminopimelate	meso-2,6-Diaminopimelate	Metabolite	bc1002.bc1003.bc1016	3		0	bc1002.bc1003.bc1016	3	0.0
