	Avg_Akkermansia_muciniphilaYL44	Var_Akkermansia_muciniphilaYL44	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Mn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Na+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Neu5Ac-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Niacin	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-6.194101563757238e-21	4.021013497895651e-34	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	1.1184733694769023e-13	5.418106238235858e-29	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Putrescine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pyridoxal	0.0	0.0	193.59229303369875	1.4604497331257386e-21	1.0	0.0	1.0	0.0	2.0	0.0	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	1
Riboflavin	126.68907411748881	7.526992884507265e-30	0.0	0.0	2.0	0.0	1.0	0.0	3.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1	Akkermansia_muciniphilaYL44	1	Akkermansia_muciniphilaYL44Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	0.0	0.0	1.2728845755205498e-13	2.855755998547466e-28	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
Thiamin-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Thiamine	0.0	0.0	-1.922906278650771e-14	4.95012190178448e-28	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Uracil	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Uracil-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgal-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgam-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core4-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	1.0000000954159705	9.541596137538503e-08	0.0	0.0	1.0000000954159705	9.541596137538503e-08	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44.Acutalibacter_muris_KB1	2		1	Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44.Acutalibacter_muris_KB1	2
fucose	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
galactose	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
lactate	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.999999809168059	3.8166384550154014e-07	0.0	0.0	1.999999809168059	3.8166384550154014e-07	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2		1	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2
Acetate-e0	0.0	0.0	0.0	0.0	1.999999809168059	3.8166384550154014e-07	0.0	0.0	1.999999809168059	3.8166384550154014e-07	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2		1	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2
Adenosine-e0	0.0	0.0	-7.63094366977612e-14	7.922697033766223e-28	1.999999809168059	3.8166384550154014e-07	0.0	0.0	1.999999809168059	3.8166384550154014e-07	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2		1	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2
CO2-e0	0.0	0.0	0.0	0.0	1.999999809168059	3.8166384550154014e-07	0.0	0.0	1.999999809168059	3.8166384550154014e-07	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2		1	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9999999045840295	9.541596137538503e-08	0.0	0.0	0.9999999045840295	9.541596137538503e-08	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
H2S-e0	0.0	0.0	0.0	0.0	1.999999809168059	3.8166384550154014e-07	0.0	0.0	1.999999809168059	3.8166384550154014e-07	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2		1	.Acutalibacter_muris_KB1.Akkermansia_muciniphilaYL44	2
Heme-e0	0.0	0.0	0.0	0.0	0.8999999045840296	0.09000007633276727	0.0	0.0	0.8999999045840296	0.09000007633276727	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
Succinate-e0	0.0	0.0	0.0	0.0	0.9999999045840295	9.541596137538503e-08	0.0	0.0	0.9999999045840295	9.541596137538503e-08	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
XAN-e0-e0	0.0	0.0	0.0	0.0	0.9999999045840295	9.541596137538503e-08	0.0	0.0	0.9999999045840295	9.541596137538503e-08	.Acutalibacter_muris_KB1	2		1	.Acutalibacter_muris_KB1	2
