	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_Blautia_coccoides_YL58	Var_Blautia_coccoides_YL58	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnitine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.00015983760158342448	0.00013832542138154236	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.00018466086831692708	0.0001846264227488915	1.9798951923775185	0.0005921887653662711	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1	.Enterocloster_clostridioformis_YL32	2	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	2
D-Mannose-e0	2.1863788785079833e-12	1.5053462385980317e-24	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.9797105315092016	0.0004074863246568333	0.0	0.0	1.9797105315092016	0.0004074863246568333	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1		1	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32	1
Folate-e0	-1.9979699869997757e-05	2.161334709117884e-06	1.2368788537706054e-05	4.3104782752321144e-05	1.0092420290749435	0.01911296584770919	0.00018821004073797285	0.0001881742583614199	1.0094302391156815	0.019663128983308648	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58	2	.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58	3	Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Enterocloster_clostridioformis_YL32Blautia_coccoides_YL58.Enterocloster_clostridioformis_YL32.Blautia_coccoides_YL58.Blautia_coccoides_YL58Blautia_coccoides_YL58	4
Galactose-e0	2.247245052305115e-12	2.2171547099999338e-24	0.0	0.0	0.9898552657546008	0.00010187158116420832	0.0	0.0	0.9898552657546008	0.00010187158116420832	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
