	0.0000-0.6605	0.6605-1.3458	1.3458-2.0000	Source	Target
bc1001##bc1016##D-Glucose	-0.03152386363816543	-0.0574532877055787	-0.0574532877055787	bc1001	bc1016
bc1003##bc1016##D-Glucose	-0.031547533749478725	-0.05745328770557894	-0.05745328770557894	bc1003	bc1016
bc1001##bc1003##O2	-0.15297633046741727	0.0	0.0	bc1001	bc1003
bc1016##bc1003##O2	-0.0034292762875456568	0.0	0.0	bc1016	bc1003
bc1003##bc1001##O2	-0.15236136794857968	0.0	0.0	bc1003	bc1001
bc1016##bc1001##O2	-0.0034154906490933665	0.0	0.0	bc1016	bc1001
bc1001##bc1003##D-Glucose	0.0	-0.27859525236686317	-0.27859525236686317	bc1001	bc1003
bc1016##bc1003##D-Glucose	0.0	-0.2785952523668641	-0.2785952523668641	bc1016	bc1003
bc1003##bc1001##D-Glucose	0.0	-0.27768364970870457	-0.27768364970870457	bc1003	bc1001
bc1016##bc1001##D-Glucose	0.0	-0.27768364970870435	-0.27768364970870435	bc1016	bc1001
