	0.0000	0.0012	0.0727	0.0728	0.0732	Source	Target
Turicimonas_muris_YL45##L-Aspartate-e0##Microbe	6.000000000441673	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	L-Aspartate-e0
Turicimonas_muris_YL45##Pyridoxal##Microbe	3.2795988147427124e-13	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	Pyridoxal
Turicimonas_muris_YL45##Phosphate-e0##Microbe	9.951861557055963e-11	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	Phosphate-e0
Turicimonas_muris_YL45##L-Proline-e0##Microbe	2.162181544917985e-11	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	L-Proline-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	7.4666666666432775	255.81662317293944	2093.2290240414477	-2087.6019188431733	-1.0743406164692715e-09	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	6.466666666658284	255.81662317302573	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Riboflavin##Turicimonas_muris_YL45##Metabolite	-9.626432984077837e-11	0.0	0.0	0.0	0.0	Riboflavin	Turicimonas_muris_YL45
Turicimonas_muris_YL45##carbonate##Microbe	1.9605295165092684e-10	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	carbonate
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	0.0	-6.920686246303376e-12	1.0535927685850766e-10	2.985345304296061e-11	-4.476419235288631e-11	Bacteroides_caecimuris_I48	L-Tyrosine
Turicimonas_muris_YL45##L-Asparagine-e0##Microbe	2.347988470319251e-11	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	L-Asparagine-e0
Turicimonas_muris_YL45##fe3-e0##Microbe	7.528866419193037e-12	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	fe3-e0
Turicimonas_muris_YL45##L-Threonine-e0##Microbe	3.0951241569709964e-11	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	L-Threonine-e0
Bacteroides_caecimuris_I48##Inosine-e0##Microbe	0.0	-1.361399881716352e-11	5.412417181105411e-10	1.5795365015947027e-10	-1.3807266441290267e-10	Bacteroides_caecimuris_I48	Inosine-e0
Turicimonas_muris_YL45##Sulfate-e0##Microbe	5.570210959149335e-12	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	Sulfate-e0
Turicimonas_muris_YL45##Cl--e0##Microbe	7.175371408152387e-13	0.0	0.0	0.0	0.0	Turicimonas_muris_YL45	Cl--e0
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe	0.0	-3.2031266528065316e-11	1.0938805417026742e-09	3.171294338244479e-10	-3.154951855321997e-10	Bacteroides_caecimuris_I48	Phosphate-e0
Bacteroides_caecimuris_I48##L-Glutamate-e0##Microbe	0.0	7.554490366601385e-11	1.6022312365748803e-09	2087.6019188436326	-2054.453913200625	Bacteroides_caecimuris_I48	L-Glutamate-e0
