	bc1001	bc1002	bc1003	bc1008	bc1009	bc1010	bc1011	bc1012	bc1015	bc1016
0.0000-0.2268	0	0	0	0	0	0	0	0.033998472221533266	0	0
0.2323-0.4202	0	0	0	0	0	0	0	0.0	0	0
0.4202-0.4202	0	0	0	0	0	0	0	0.0	0	0
0.4202-0.4203	0	0	0	0	0	0	0	0.0	0	0
0.4203-0.4217	0	0	0	0	0	0	0	0.0	0	0
0.4217-0.4217	0	0	0	0	0	0	0	0.0	0	0
0.4217-0.4218	0	0	0	0	0	0	0	0.0	0	0
0.4218-0.4222	0	0	0	0	0	0	0	0.0	0	0
0.4222-0.4229	0	0	0	0	0	0	0	0.0	0	0
0.4229-0.4234	0	0	0	0	0	0	0	0.0	0	0
0.4234-0.4235	0	0	0	0	0	0	0	0.0	0	0
0.4235-0.4236	0	0	0	0	0	0	0	0.0	0	0
0.4242-1.1763	0	0	0	0	0	0	0	0.0	0	0
1.1763-2.5000	0	0	0	0	0	0	0	0.0	0	0
Average	0	0	0	0	0	0	0	0.005899706655638311	0	0
