	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Acetate-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
D-Glucose-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
D-Mannose-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Folate-e0	0.0	0.0	2.414592814383388e-12	7.960148393179219e-27	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Galactose-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
H2-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
H2S-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Heme-e0	0.0	0.0	4.976668329209534e-12	3.4581105378607594e-23	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
K+-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Aspartate-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamate-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Histidine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lactate-e0	1.6314133357671688e-13	1.0505212289089548e-26	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	0.0	0.0	0.9999999999999999	1.2325951644078308e-32	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Methionine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Phenylalanine	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
L-Serine-e0	0.0	0.0	0.0	0.0	1.9999999999999998	4.930380657631323e-32	0.0	0.0	1.9999999999999998	4.930380657631323e-32	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1		1	Acutalibacter_muris_KB1.Enterocloster_clostridioformis_YL32	1
