	Avg_Acutalibacter_muris_KB1	Var_Acutalibacter_muris_KB1	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Cytosine	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
D-Glucose-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
D-Mannose-e0	0.0	0.0	2.949623265609311e-05	9.286825984567632e-06	0.9828416755590393	0.0002893565479642362	0.00010830122765369127	0.00010828929724511744	0.982949976786693	0.0003977096147261603	Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Fe2+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Folate-e0	0.0	0.0	52.17425292068515	597.9839681006313	0.9828416755590393	0.0002893565479642362	0.8086164849757386	0.14353671254796097	1.791458160534778	0.14430219557801904	Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Galactose-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	1.874541005700192e-05	4.914006583482716e-06	1.9484176180836015	0.018099606011124182	7.150549810868818e-05	7.150029734129338e-05	1.9484891235817103	0.018173702072495485	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	6.24839452531725e-06	5.460007324575202e-07	0.9828416755590393	0.0002893565479642362	7.150549810868818e-05	7.150029734129338e-05	0.9829131810571481	0.00036089894890086285	Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Inosine-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
K+-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Alanine-e0	0.0	0.0	1.699979206774156e-05	2.7349316514331265e-06	1.963755412746745	0.0030793134375826045	0.00010830122765369127	0.00010828929724511744	1.9638637139743986	0.0031881550352970732	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2	.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1.Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	3
L-Arginine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Aspartate-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Cysteine-e0	0.0	0.0	3.124238384807978e-05	1.365001828530669e-05	1.9656833511180787	0.0011574261918569449	7.150549810868818e-05	7.150029734129338e-05	1.9657548566161875	0.001229010696388897	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1	.Enterococcus_faecalis_KB1	2	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	2
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glutamate-e0	0.0	0.0	0.0	0.0	0.948039048381493	0.03383948596175646	0.0	0.0	0.948039048381493	0.03383948596175646	Enterococcus_faecalis_KB1.	2		1	Enterococcus_faecalis_KB1.	2
L-Glutamine-e0	0.0	0.0	-2.045887342083211e-11	9.18992871165976e-23	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Histidine-e0	0.0	0.0	0.0	0.0	1.9656833511180787	0.0011574261918569449	0.0	0.0	1.9656833511180787	0.0011574261918569449	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1		1	Acutalibacter_muris_KB1.Enterococcus_faecalis_KB1	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Lactate-e0	1.983283907862398e-14	4.0146096486587587e-29	0.0	0.0	0.9828416755590393	0.0002893565479642362	0.0	0.0	0.9828416755590393	0.0002893565479642362	Acutalibacter_muris_KB1	1		1	Acutalibacter_muris_KB1	1
