	Avg_Muribaculum_intestinale_YL27	Var_Muribaculum_intestinale_YL27	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Asparagine	5.792968561124102e-13	3.2784862332869434e-25	0.0	0.0	0.9425954235415641	0.040322117125177734	0.0	0.0	0.9425954235415641	0.040322117125177734	Muribaculum_intestinale_YL27.	2		1	Muribaculum_intestinale_YL27.	2
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9689647965660895	0.0009482375487858147	0.0	0.0	1.9689647965660895	0.0009482375487858147	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1		1	Enterocloster_clostridioformis_YL32.Muribaculum_intestinale_YL27	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
