	0.0000-0.0000	0.0000-0.0805	0.0805-0.0843	0.1213-0.1215	0.1215-0.1885	0.1885-0.2207	0.2207-0.2207	0.2273-0.2294	0.2294-0.4758	0.4758-0.4760	0.4760-0.4760	0.4802-0.4803	0.4803-0.4979	0.4979-0.7269	0.7269-0.7283	0.9461-0.9461	0.9706-0.9725	0.9725-0.9726	0.9726-0.9727	0.9727-0.9728	0.9808-1.0567	1.0567-1.3064	1.3064-1.3621	1.3629-1.6015	1.6015-1.6015	1.6015-1.6688	1.6688-1.6701	1.6701-1.6702	1.6702-1.6703	1.6703-1.6703	1.6876-1.6878	1.6878-1.6878	1.6878-1.7052	1.7052-1.7056	1.7056-1.7276	1.7276-1.7675	1.7675-1.7675	1.7675-1.7676	1.7676-6.3268	6.3268-6.5370	6.5370-10.2751	10.2751-12.9607	12.9607-16.6732	16.6732-20.0000	Source	Target
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.412125071952282	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-1.4121250719619256	-0.7060625359792008	-0.7060625359792008	-0.706062535974029	-0.706062535971769	-0.7060625359718695	Acutalibacter_muris_KB1	Ca2+-e0
Muribaculum_intestinale_YL27##D-Glucose-e0##Microbe	-954.4316802314947	-983.9846744290444	-1.0000000000000007	-0.9999999999999996	-1.0	-1.0000000000000007	-0.9999999999999993	-1.0000000000000009	-0.9999999999999984	-0.9999999999999993	-0.9999999999999993	-0.9999999999999987	-0.9999999999999997	-0.9999999999999993	-1.0000000000000002	-0.9999999999999998	-1.0000000000000009	-0.9999999999999991	-1.0000000000000007	-1.0000000000000004	-1.0000000000000013	-1.0	-1.0000000000000004	-1.0000000000000009	-0.9999999999999989	-0.9999999999999989	-1.0000000000000004	-1.0	-1.0000000000000013	-1.0000000000000009	-1.0000000000000002	-1.0000000000000009	-0.9999999999999993	-0.9999999999999998	-0.9999999999999998	-1.0	-1.0000000000000009	-0.9999999999999994	-1.0000000000000002	-1.0000000000000002	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	Muribaculum_intestinale_YL27	D-Glucose-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000076352	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-2.0000000000035927	-0.9999999999994992	-0.9999999999994992	-1.000000000000158	-0.9999999999998316	-0.9999999999998829	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178070191	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-4.246772178063989	-2.0400527556935146	-2.0400527556935146	-2.1233860890273197	-2.12338608902335	-2.1233860890236116	Acutalibacter_muris_KB1	Fe2+-e0
Muribaculum_intestinale_YL27##Mg-e0##Microbe	-0.924111260324689	-0.9241112603244762	-0.9241112603226412	-0.9241112603170468	-0.9241112603198668	-0.9241112603091536	-0.9241112603204812	-0.9241112603211693	-0.9241112603146523	-0.9241112603149004	-0.9241112603157298	-0.9241112603145282	-0.9241112603148399	-0.9241112603150382	-0.9241112603158915	-0.9241112603144186	-0.92411126031592	-0.9241112603142541	-0.9241112603151563	-0.9241112603166369	-0.9241112603139761	-0.9241112603153431	-0.9241112603151155	-0.9241112603153039	-0.9241112603145237	-0.9241112603145237	-0.9241112603110584	-0.9241112603152299	-0.9241112603098154	-0.924111260324165	-0.9241112603092284	-0.9241112603093696	-0.9241112603205881	-0.9241112603273577	-0.9241112603211704	-0.9241112603128191	-0.9241112603103541	-0.9241112603152845	-0.9241112603130034	-0.9241112603130034	-0.9241112603130973	-0.9241112603130973	-0.9241112603130973	-0.9241112603130973	Muribaculum_intestinale_YL27	Mg-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.7193238692557	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-72.71932386915957	-36.35966193448987	-36.35966193448987	-36.35966193451699	-36.35966193436727	-36.359661934370756	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-2.0000000000011053	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-1.9999999999984315	-0.9999999999967062	-0.9999999999967062	-0.9999999999974332	-1.000000000024199	-1.000000000024293	Acutalibacter_muris_KB1	Niacin
Muribaculum_intestinale_YL27##L-Threonine##Microbe	-74.99313011412507	-74.99313011411206	-74.99313011397238	-74.99313011350368	-74.99313011372632	-74.99313011287633	-74.99313011377566	-74.99313011386744	-74.99313011330207	-74.99313011333824	-74.99313011340644	-74.99313011330914	-74.99313011332224	-74.99313011334272	-74.9931301134147	-1015.5453733465654	-1.0	-1.0000000000000004	-1.0000000000000007	-0.999999999999999	-1.0000000000000004	-0.9999999999999998	-0.9999999999999987	-1.0000000000000013	-1.0000000000000007	-1.0000000000000007	-1.000000000000002	-0.9999999999999988	-1.0000000000000002	-1.0000000000000004	-0.9999999999999996	-0.9999999999999998	-1.0000000000000007	-0.9999999999999997	-0.9999999999999996	-0.9999999999999996	-1.0000000000000009	-1.0000000000000002	-1.0000000000000009	-1.0000000000000009	-1.0	-1.0	-1.0	-1.0	Muribaculum_intestinale_YL27	L-Threonine
Muribaculum_intestinale_YL27##K+-e0##Microbe	-0.9241112603229622	-0.9241112603219303	-0.9241112603196409	-0.9241112603215597	-0.9241112603234375	-0.9241112603130293	-0.9241112603191919	-0.9241112603213801	-0.9241112603201035	-0.9241112603204752	-0.9241112603212439	-0.9241112603199761	-0.9241112603200647	-0.9241112603201592	-0.9241112603204283	-0.9241112603194906	-0.9241112603211556	-0.9241112603184026	-0.9241112603194268	-0.9241112603218409	-0.9241112603200431	-0.9241112603213402	-0.9241112603221335	-0.9241112603198264	-0.9241112603194105	-0.9241112603194105	-0.9241112603172427	-0.9241112603194305	-0.924111260309283	-0.9241112603302621	-0.9241112603180589	-0.92411126031395	-0.9241112603237998	-0.924111260327982	-0.9241112603287456	-0.92411126031752	-0.9241112603159397	-0.9241112603225997	-0.9241112603210202	-0.9241112603210202	-0.9241112603211598	-0.9241112603211598	-0.9241112603211598	-0.9241112603211598	Muribaculum_intestinale_YL27	K+-e0
Muribaculum_intestinale_YL27##L-Methionine-e0##Microbe	-20.482435295204667	-20.4824352952001	-20.482435295161384	-20.482435295031948	-20.48243529510059	-20.482435294874517	-20.48243529510995	-20.482435295138306	-20.482435294986026	-20.482435294986075	-20.482435295016913	-20.482435294989166	-20.48243529499399	-20.482435295002208	-20.48243529501803	-20.482435294984562	-20.48243529502539	-20.48243529497562	-20.482435294995287	-20.4824352950346	-20.482435294987667	-20.48243529501159	-20.48243529501011	-20.48243529500762	-20.482435295006024	-20.482435295006024	-20.48243529492815	-20.4824352950166	-20.482435294862942	-20.48243529521793	-20.482435294905294	-20.482435294924233	-20.482435295131594	-20.482435295261144	-20.482435295133364	-20.48243529494442	-20.482435294899386	-20.482435294996613	-20.482435294964766	-20.482435294964766	-20.482435294966002	-20.482435294966002	-20.482435294966002	-20.482435294966002	Muribaculum_intestinale_YL27	L-Methionine-e0
