	Avg_Bacteroides_caecimuris_I48	Var_Bacteroides_caecimuris_I48	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.99101830665345	8.030853510862065e-05	0.0	0.0	1.99101830665345	8.030853510862065e-05	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1		1	Bacteroides_caecimuris_I48.Enterocloster_clostridioformis_YL32	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
