	0.0000-0.0020	0.0020-0.0084	0.0084-0.0085	0.0085-0.0252	0.0252-0.0253	0.0253-0.0411	0.0411-0.0414	0.0414-0.0416	0.0416-0.0419	0.0419-0.0419	0.0421-0.0421	0.0421-0.0423	0.0423-0.0423	0.0423-0.0426	0.0431-0.0431	0.0431-0.0463	0.0464-0.0464	0.0465-0.0469	0.0469-0.0536	0.0536-0.0538	0.0593-0.0593	0.0702-0.0756	0.0820-0.0884	0.0884-0.0986	0.1110-0.1819	0.1819-0.1833	0.1833-0.3447	0.3447-8.5368	8.5368-9.4824	9.4824-20.0000	Source	Target
Flavonifractor_plautii_YL31##fe3-e0##Microbe	-0.9241112603171797	-0.9241112603238139	-0.9241112603249905	-0.9241112603251331	-0.9241112603248633	-0.9241112603258397	-0.9241112603194984	-0.9241112603295234	-0.9241112603163663	-0.9241112603056839	-0.9241112603347054	-0.9241112603400977	-0.9241112603442222	-0.924111260347118	-0.9241112603476874	-0.9241112603233195	-0.9241112602928547	-0.9241112602906705	-0.9241112603094255	-0.9241112603147298	-0.9241112603250655	-0.9241112603221514	-0.92411126031213	-0.9241112603226518	-0.9241112603246012	-0.9241112603205224	-0.924111260321229	-0.9241112603244271	-0.9241112603503785	-0.9241112603503785	Flavonifractor_plautii_YL31	fe3-e0
Flavonifractor_plautii_YL31##Mn2+-e0##Microbe	-0.9241112603170308	-0.9241112603242833	-0.9241112603253171	-0.924111260326096	-0.9241112603281637	-0.9241112603272554	-0.9241112603222725	-0.9241112603287481	-0.9241112603168363	-0.9241112603086532	-0.9241112603368611	-0.9241112603405616	-0.9241112603452434	-0.9241112603456977	-0.9241112603515073	-0.9241112603226431	-0.9241112602905469	-0.9241112602871883	-0.9241112603100538	-0.9241112603132655	-0.9241112603264455	-0.9241112603238836	-0.9241112603129539	-0.9241112603229502	-0.9241112603252244	-0.92411126031956	-0.9241112603202536	-0.9241112603233625	-0.9241112603491234	-0.9241112603491234	Flavonifractor_plautii_YL31	Mn2+-e0
Flavonifractor_plautii_YL31##L-Methionine-e0##Microbe	-18.482435295042993	-18.482435295151205	-18.48243529517067	-18.482435295177055	-18.48243529516967	-18.48243529518949	-18.482435295059066	-18.482435295245907	-18.482435294983006	-18.482435294767278	-18.48243529537185	-18.482435295454238	-18.482435295576536	-19.482435295641977	-19.482435295627944	-19.482435295135083	-19.48243529451059	-19.48243529444	-19.482435294821936	-19.482435294964272	-18.482435295191657	-18.482435295108814	-18.482435294944988	-18.482435295141464	-18.482435295178536	-18.482435295075376	-18.48243529508481	-18.482435295164855	-19.482435295711255	-19.482435295711255	Flavonifractor_plautii_YL31	L-Methionine-e0
Enterocloster_clostridioformis_YL32##Putrescine-e0##Microbe	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	0.0	0.0	Enterocloster_clostridioformis_YL32	Putrescine-e0
Enterocloster_clostridioformis_YL32##Puryvate##Microbe	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-0.9999999999999986	Enterocloster_clostridioformis_YL32	Puryvate
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-204.40724161057327	-204.4072416106362	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##Inosine-e0##Microbe	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777631959	Enterocloster_clostridioformis_YL32	Inosine-e0
Enterocloster_clostridioformis_YL32##Phosphate-e0##Microbe	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496150733	Enterocloster_clostridioformis_YL32	Phosphate-e0
Flavonifractor_plautii_YL31##L-Threonine-e0##Microbe	-37.099336467438114	-37.09933646766688	-37.09933646771524	-37.09933646771875	-37.09933646771212	-37.09933646774613	-37.09933646750574	-37.099336467898766	-37.09933646739911	-37.09933646702054	-1785.6771797181257	-110.60318382905969	-110.60318382969575	-110.60318383000886	-110.60318383001717	-110.60318382726173	-3775.4896385173147	-3775.489638506979	-3775.4896385806414	2399.5603912064353	-1.000000000000001	-0.9999999999999993	-1.0	-0.9999999999999991	-0.9999999999999997	-0.9999999999999998	-1.0000000000000007	-0.9999999999999998	-0.9999999999999999	-0.9999999999999999	Flavonifractor_plautii_YL31	L-Threonine-e0
Flavonifractor_plautii_YL31##Sulfate-e0##Microbe	-0.9241112603194997	-0.9241112603228655	-0.9241112603236513	-0.9241112603238009	-0.9241112603234158	-0.9241112603244942	-0.9241112603170439	-0.9241112603284627	-0.9241112603139967	-0.9241112603087744	-0.9241112603333412	-0.9241112603326487	-0.9241112603421056	-0.9241112603465064	-0.924111260346202	-0.9241112603204251	-0.9241112602837679	-0.9241112602814017	-0.9241112602997447	-0.9241112603120045	-0.9241112603240175	-0.9241112603217994	-0.9241112603118723	-0.9241112603227563	-0.924111260323973	-0.9241112603185122	-0.924111260319293	-0.9241112603224818	-0.9241112603484342	-0.9241112603484342	Flavonifractor_plautii_YL31	Sulfate-e0
