	0.0000-0.0000	0.0000-0.0012	0.0067-0.0082	0.0082-0.0089	0.0090-0.0091	0.0091-0.0091	0.0091-0.0112	0.0112-0.0112	0.0112-0.0138	0.0138-0.0551	0.0729-0.0824	0.0824-0.0990	0.1049-0.2063	0.2063-0.2063	0.2063-0.2325	0.2325-0.2377	0.2377-0.2392	0.2403-0.2407	0.2407-0.3009	0.3009-0.3009	0.3009-0.3179	0.3181-10.5962	10.5962-20.0000	Source	Target
Akkermansia_muciniphilaYL44##L-Asparagine-e0##Microbe	-28.989573168290903	-28.989573168273548	-28.98957316797824	-28.989573168159502	-28.98957317038294	-28.9895731705208	-28.98957316833854	-28.989573169239193	-28.989573168364583	-28.989573168353136	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.989573168557847	-28.98957316848044	-28.98957316848044	-28.98957316844345	-28.98957316844345	Akkermansia_muciniphilaYL44	L-Asparagine-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	-798.8186188976163	-798.8186188976163	-541.8686623914626	-541.8686623914626	-541.8686623914626	-541.8686623914626	-541.8686623914626	-541.8686623914626	-541.8686623914626	-541.8686623914626	-2633.0976864127	-2633.0976864156655	-1.0	-1.0	-0.9999999999999996	-0.9999999999999996	-0.9999999999999998	-1.000000000000001	-0.9999999999999996	-0.9999999999999996	-1.0	-1.0	-1.0	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	-256.9499565063422	-256.9499565063422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Akkermansia_muciniphilaYL44##fe3-e0##Microbe	3.0758887397169885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Akkermansia_muciniphilaYL44	fe3-e0
Akkermansia_muciniphilaYL44##Mn2+-e0##Microbe	-0.9241112603184295	-0.9241112603179015	-0.9241112603118058	-0.9241112603147539	-0.9241112603530603	-0.924111260357404	-0.9241112603184518	-0.9241112603591708	-0.9241112603208	-0.9241112603207977	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603265024	-0.9241112603253954	-0.9241112603253954	-0.9241112603230477	-0.9241112603230477	Akkermansia_muciniphilaYL44	Mn2+-e0
Akkermansia_muciniphilaYL44##K+-e0##Microbe	-0.9241112603178396	-0.9241112603174798	-0.9241112603088149	-0.9241112603147661	-0.9241112603763696	-0.9241112603780831	-0.9241112603169351	-0.9241112603562136	-0.9241112603209134	-0.9241112603200534	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603271172	-0.9241112603251017	-0.9241112603251017	-0.9241112603240355	-0.9241112603240355	Akkermansia_muciniphilaYL44	K+-e0
Akkermansia_muciniphilaYL44##L-Methionine-e0##Microbe	-19.98243529507667	-19.98243529507062	-19.982435294872182	-19.982435294980515	-19.98243529639998	-19.982435296481498	-19.98243529518122	-19.982435295821897	-19.98243529510175	-19.982435295087058	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295224874	-19.982435295202748	-19.982435295202748	-19.982435295180718	-19.982435295180718	Akkermansia_muciniphilaYL44	L-Methionine-e0
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	-17.08355495650353	-17.08355495650353	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.08355495651354	-17.083554956347495	-17.083554956348596	-17.083554956498524	-17.083554956651046	-0.13792993624584526	-0.09904224355661134	-0.04767367063910109	-0.05375515267393366	-34.167109902704	-34.167109902704	-34.16710990268805	-34.16710990268805	-0.3929827449518377	Bacteroides_caecimuris_I48	L-Tyrosine
Akkermansia_muciniphilaYL44##L-Alanine-e0##Microbe	164.6969236487934	164.6969236486832	164.69692364691664	164.69692364843084	15846.054324110126	15846.054324188499	292.03230689248477	-7313.464806266733	293.24134195641557	-31.483738565131976	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.3496079248225	-1986.349607922507	-1986.349607922507	-2004.3276989961983	-2004.3276989961983	Akkermansia_muciniphilaYL44	L-Alanine-e0
Akkermansia_muciniphilaYL44##L-Threonine-e0##Microbe	-74.9931301135713	-74.99313011352243	-74.99313011272903	-74.99313011325825	-74.993130119232	-74.99313011960312	-74.99313011365153	-74.99313011589813	-74.99313011378369	-74.99313011375743	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011431495	-74.99313011408502	-74.99313011408502	-74.99313011397487	-74.99313011397487	Akkermansia_muciniphilaYL44	L-Threonine-e0
