	Avg_Turicimonas_muris_YL45	Var_Turicimonas_muris_YL45	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.970419535310897	0.0008620623803696858	0.0	0.0	1.970419535310897	0.0008620623803696858	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1		1	Enterocloster_clostridioformis_YL32.Turicimonas_muris_YL45	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.9852097676554485	0.00021551559509242144	0.0	0.0	0.9852097676554485	0.00021551559509242144	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
