	Avg_Bifidobacterium_animalis_YL2	Var_Bifidobacterium_animalis_YL2	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ca2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Co2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Cytosine	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
D-Glucose-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
D-Mannose-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Fe2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Folate	-1.898980972470099e-12	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Folate-e0	0.0	0.0	5.536193725674821e-12	9.752100458733881e-26	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Galactose-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
K+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Alanine-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
L-Arginine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Aspartate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Cysteine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glutamate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Histidine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Lactate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Lysine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Methionine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Proline-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Serine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Threonine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1		1	Bifidobacterium_animalis_YL2.Enterococcus_faecalis_KB1	1
