	0.0000-0.0000	0.0000-0.0007	0.0007-0.0009	0.0013-0.0017	0.0017-0.0069	0.0069-0.0111	0.0111-0.0111	0.0111-0.0185	0.0185-0.0232	0.0232-0.0242	0.0244-0.0246	0.0246-0.0415	0.0415-0.0416	0.0417-0.0562	0.0562-0.0562	0.0562-0.0563	0.0563-0.0564	0.0564-0.0564	0.0565-0.0907	0.0907-0.1180	0.1180-11.2878	11.2878-13.6805	13.6805-14.1362	14.1362-20.0000	Source	Target
Enterococcus_faecalis_KB1##N-Acetyl-D-glucosamine-e0##Microbe	-0.9999999999999999	-0.9999999999999999	-1.0	-1.0000000000000002	-1.0000000000000002	-1.0000000000000009	-0.9999999999999999	-0.999999999999999	-0.999999999999999	-0.999999999999999	-0.999999999999999	-0.999999999999999	-1.0000000000000004	-1.0000000000000002	-0.9999999999999993	-0.9999999999999991	-0.9999999999999994	-0.9999999999999992	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999996	-0.9999999999999994	-0.9999999999999994	Enterococcus_faecalis_KB1	N-Acetyl-D-glucosamine-e0
Enterococcus_faecalis_KB1##Cl--e0##Microbe	-0.7060625360033397	-0.7060625360033397	-0.7060625361689155	-0.7060625358331987	-0.7060625358331987	-0.706062534682633	-0.7060625347021199	-0.7060625345037279	-0.7060625345037279	-0.7060625345037279	-0.7060625345037279	-0.7060625345037279	-0.7060625352683085	-0.7060625360741843	-0.7060625360589817	-0.7060625360635537	-0.7060625360568141	-0.7060625360727707	-0.7060625360827572	-0.7060625360827572	-0.7060625360827572	-0.7060625360827572	-0.706062531904062	-0.706062531904062	Enterococcus_faecalis_KB1	Cl--e0
Muribaculum_intestinale_YL27##D-Glucose-e0##Microbe	-954.8990341832588	-983.984674429473	-983.984674429473	-944.2435985597602	-1255.5472599479997	-1255.5472599479997	-1255.5472599479997	-1255.5472599479997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Muribaculum_intestinale_YL27	D-Glucose-e0
Muribaculum_intestinale_YL27##Mg-e0##Microbe	-0.9241112603247265	-0.9241112603249386	-0.9241112603249386	-0.9241112603249736	-0.9241112603254704	-0.9241112603254704	-0.9241112603254704	-0.9241112603254704	-0.9241112603201047	-0.9241112603213473	-0.9241112603183372	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.9241112603197398	-0.005977078193569205	-0.9241112603192709	-0.9241112603191639	-0.9241112603191639	-0.924111260320144	Muribaculum_intestinale_YL27	Mg-e0
Enterococcus_faecalis_KB1##D-Glucose-e0##Microbe	-31.321767710909228	-31.321767710909228	-31.321767719315496	-31.321767702192023	-31.321767702192023	-31.32176764402317	-31.321767644988917	-31.32176763496639	-31.32176763496639	-31.32176763496639	-31.32176763496639	-31.32176763496639	-31.32176767365977	-31.321767713987775	-31.321767713302656	-31.32176771351618	-31.321767713212786	-31.321767713925585	-31.32176771435147	-31.32176771435147	-31.32176771435147	-31.32176771435147	-31.321767552822642	-31.321767552822642	Enterococcus_faecalis_KB1	D-Glucose-e0
Enterococcus_faecalis_KB1##L-Isoleucine-e0##Microbe	-38.57060811413316	-38.57060811413316	-38.57060812322204	-38.57060810478978	-38.57060810478978	-38.570608041799105	-38.57060804285173	-38.57060803201674	-38.57060803201674	-38.57060803201674	-38.57060803201674	-38.57060803201674	-38.57060807382706	-38.57060811779928	-38.57060811700096	-38.57060811723107	-38.570608116867845	-38.570608117715665	-38.57060811824859	-38.57060811824859	-38.57060811824859	-38.57060811824859	-38.570607889965935	-38.570607889965935	Enterococcus_faecalis_KB1	L-Isoleucine-e0
Muribaculum_intestinale_YL27##L-Threonine##Microbe	-74.99313011411748	-74.99313011415107	-74.99313011415107	-74.99313011415455	-74.99313011418616	-74.99313011418616	-74.99313011418616	-74.99313011418616	-74.99313011376235	-74.99313011387129	-74.99313011362838	-74.99313011373256	-74.99313011373256	-74.99313011373256	-74.99313011373256	-74.99313011373256	-74.99313011373256	-74.99313011373256	-74.99313011373256	-0.4850496059480761	-74.99313011375888	-74.99313011375234	-74.99313011375234	-74.99313011379341	Muribaculum_intestinale_YL27	L-Threonine
Muribaculum_intestinale_YL27##K+-e0##Microbe	-0.9241112603220244	-0.9241112603221182	-0.9241112603221182	-0.9241112603221202	-0.9241112603225453	-0.9241112603225453	-0.9241112603225453	-0.9241112603225453	-0.924111260319157	-0.9241112603208701	-0.9241112603175532	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.9241112603183973	-0.005977078193553698	-0.924111260316964	-0.9241112603169157	-0.9241112603169157	-0.9241112603179458	Muribaculum_intestinale_YL27	K+-e0
Muribaculum_intestinale_YL27##L-Methionine-e0##Microbe	-20.482435295202386	-20.4824352952114	-20.4824352952114	-20.482435295213403	-20.482435295218373	-20.482435295218373	-20.482435295218373	-20.482435295218373	-20.48243529507561	-20.482435295104786	-20.482435295034378	-20.482435295067113	-20.482435295067113	-20.482435295067113	-20.482435295067113	-20.482435295067113	-20.482435295067113	-20.482435295067113	-20.482435295067113	-0.13247876377044607	-20.482435295034843	-20.482435295033273	-20.482435295033273	-20.482435295075536	Muribaculum_intestinale_YL27	L-Methionine-e0
Enterococcus_faecalis_KB1##Mg-e0##Microbe	-0.7060625360036463	-0.7060625360036463	-0.7060625361699816	-0.7060625358323354	-0.7060625358323354	-0.7060625346784757	-0.706062534697832	-0.7060625344993914	-0.7060625344993914	-0.7060625344993914	-0.7060625344993914	-0.7060625344993914	-0.7060625352648378	-0.7060625360700249	-0.7060625360554698	-0.7060625360594176	-0.7060625360527154	-0.7060625360685556	-0.7060625360781979	-0.7060625360781979	-0.7060625360781979	-0.7060625360781979	-0.7060625318992898	-0.7060625318992898	Enterococcus_faecalis_KB1	Mg-e0
