	Avg_Limosilactobacillus_reuteri_I49	Var_Limosilactobacillus_reuteri_I49	Avg_Enterocloster_clostridioformis_YL32	Var_Enterocloster_clostridioformis_YL32	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
CO2-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Cl--e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
Co2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.7740792670598564	0.045274660408957106	0.0	0.0	1.7740792670598564	0.045274660408957106	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1		1	Enterocloster_clostridioformis_YL32.Limosilactobacillus_reuteri_I49	1
Cytosine	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Limosilactobacillus_reuteri_I49	1		1	Limosilactobacillus_reuteri_I49	1
Cytosine-e0	0.0	0.0	0.0	0.0	0.8870396335299282	0.011318665102239276	0.0	0.0	0.8870396335299282	0.011318665102239276	Enterocloster_clostridioformis_YL32	1		1	Enterocloster_clostridioformis_YL32	1
