	Clostridium_innocuum_I46	Bacteroides_caecimuris_I48	In	InAmount	Out	OutAmount	All	AllAmount
Glycine-e0	0.0	0.0		0		0		0
Glycolaldehyde-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
H2-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
H2O-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
H2S-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine	2.063238468963391e-12	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Inosine-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
K+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Alanine	0.0	0.0		0		0		0
L-Alanine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Arginine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Ascorbate	0.0	0.0		0		0		0
L-Ascorbate-e0	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Aspartate-e0	9.003648521188623e-15	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Cysteine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Glutamine-e0	-1.7646821504069266e-13	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Glycine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Histidine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Lysine-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Malate-e0	0.0	1.3929829512093761e-14	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Methionine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Phenylalanine	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Proline	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Proline-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Serine	0.0	-2.7522038467675536e-14	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Serine-e0	0.0	0.0		0		0		0
L-Threonine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Threonine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
L-Tryptophan	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Tyrosine	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Mn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	-4.1645159543080013e-13	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
N-Acetyl-D-glucosamine-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NAD-e0-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
NH3-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Na+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Neu5Ac-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	-2.0208834605739412e-13	-9.661715871800425e-14	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Oleic acid	0.0	0.0		0		0		0
PAN	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	0.0		0		0		0
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	126.68907411869344	126.68907411756285	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	4
Selenium	0.0	0.0		0		0		0
Sorbitol-e0-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Spermidine-e0	1.722844089613318e-12	-1.6911645694950295e-13	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Sucrose-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Sulfate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Thiamin-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Uracil-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Clostridium_innocuum_I46	1		0	Clostridium_innocuum_I46	1
Zn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
acetylhexosamine	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2		0	Bacteroides_caecimuris_I48.Clostridium_innocuum_I46	2
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0		0		0		0
