	Muribaculum_intestinale_YL27	Acutalibacter_muris_KB1	In	InAmount	Out	OutAmount	All	AllAmount
Hypoxanthine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
K+-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Alanine-e0	3.4146817318170264e-13	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Arginine-e0	7.491784970170556e-13	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Aspartate-e0	5.332574659622225e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Cysteine-e0	5.272882824813863e-13	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate	4.029777474711359e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Glutamate-e0	0.0	0.0		0		0		0
L-Glutamine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Histidine-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Isoleucine	0.0	0.0		0		0		0
L-Lactate-e0	0.0	-3.039235529911366e-15	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Methionine-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Phenylalanine	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
L-Proline	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Proline-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Serine	4.49293380277993e-16	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Serine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Threonine	2.696957240866382e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Threonine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Tryptophan	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Tyrosine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Mn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Na+-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Neu5Ac-e0	7.264484153113315e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Nickel	0.0	0.0		0		0		0
O2-e0	-1.162993312764371e-13	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907411628241	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27	1	Muribaculum_intestinale_YL27Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Puryvate	0.0	5.660055757417126e-14	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Putrescine	-3.5416114485542494e-14	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	193.59229303344998	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1	1	Acutalibacter_muris_KB1Acutalibacter_muris_KB1	2
Riboflavin	1.6274481762224013e-12	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	-1.7794793416570087e-14	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sucrose	7.608687985216633e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sulfate-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Thiamine	0.0	2.957634137601417e-13	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0-e0	0.0	0.0	Acutalibacter_muris_KB1	1		0	Acutalibacter_muris_KB1	1
Zn2+-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2		0	Acutalibacter_muris_KB1.Muribaculum_intestinale_YL27	2
fucose	0.0	0.0		0		0		0
lactate	-4.8927875639925844e-14	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
