	0.17335	0.34975	0.39155	0.4328	0.4333	0.4339	0.43495	0.8229	1.6052	Source	Target
bc1003##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-1.57565239	-0.23734199	-0.13435606	-0.10089574	-0.10089574	-0.10089574	-0.10089574	-6.16e-06	0.0	bc1003	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1003##Metabolite	1.57565239	0.23734199	0.13435606	0.10089574	0.10089574	0.10089574	0.10089574	6.16e-06	0.0	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1003
bc1003##4-Hydroxybenzoate##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	4-Hydroxybenzoate	bc1003
bc1003##5-Aminolevulinate##Microbe	-0.28392888	-0.04276847	-0.02421065	-0.01818118	-0.01818118	-0.01818118	-0.01818118	-1.11e-06	0.0	bc1003	5-Aminolevulinate
5-Aminolevulinate##bc1003##Metabolite	0.28392888	0.04276847	0.02421065	0.01818118	0.01818118	0.01818118	0.01818118	1.11e-06	0.0	5-Aminolevulinate	bc1003
bc1003##AMP##Microbe	-1.35796482	-0.20455151	-0.11579381	-0.08695628	-0.08695628	-0.08695628	-0.08695628	-5.31e-06	0.0	bc1003	AMP
AMP##bc1003##Metabolite	1.35796482	0.20455151	0.11579381	0.08695628	0.08695628	0.08695628	0.08695628	5.31e-06	0.0	AMP	bc1003
bc1003##Acetate##Microbe	73.55274783	11.07931912	6.27185102	4.70989593	4.70989593	4.70989593	4.70989593	0.00028737	0.0	bc1003	Acetate
bc1003##Ala-Ala##Microbe	-0.31632342	-0.04764809	-0.02697293	-0.02025554	-0.02025554	-0.02025554	-0.02025554	-1.24e-06	0.0	bc1003	Ala-Ala
Ala-Ala##bc1003##Metabolite	0.31632342	0.04764809	0.02697293	0.02025554	0.02025554	0.02025554	0.02025554	1.24e-06	0.0	Ala-Ala	bc1003
bc1003##BET##Microbe	-0.07098222	-0.01069212	-0.00605266	-0.00454529	-0.00454529	-0.00454529	-0.00454529	-2.8e-07	0.0	bc1003	BET
BET##bc1003##Metabolite	0.07098222	0.01069212	0.00605266	0.00454529	0.00454529	0.00454529	0.00454529	2.8e-07	0.0	BET	bc1003
bc1003##BIOT##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	BIOT
BIOT##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	BIOT	bc1003
bc1003##CMP##Microbe	-1.06370682	-0.16022715	-0.0907024	-0.06811368	-0.06811368	-0.06811368	-0.06811368	-4.16e-06	0.0	bc1003	CMP
CMP##bc1003##Metabolite	1.06370682	0.16022715	0.0907024	0.06811368	0.06811368	0.06811368	0.06811368	4.16e-06	0.0	CMP	bc1003
bc1003##CO2##Microbe	91.00613256	13.70833877	7.76010308	5.82751054	5.82751054	5.82751054	5.82751054	0.00035556	1e-08	bc1003	CO2
bc1003##Ca2+##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Ca2+
Ca2+##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Ca2+	bc1003
bc1003##Chorismate##Microbe	-0.07098222	-0.01069212	-0.00605266	-0.00454529	-0.00454529	-0.00454529	-0.00454529	-2.8e-07	0.0	bc1003	Chorismate
Chorismate##bc1003##Metabolite	0.07098222	0.01069212	0.00605266	0.00454529	0.00454529	0.00454529	0.00454529	2.8e-07	0.0	Chorismate	bc1003
bc1003##Cl-##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Cl-
Cl-##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Cl-	bc1003
bc1003##Co2+##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Co2+
Co2+##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Co2+	bc1003
bc1003##CoA##Microbe	-0.07098222	-0.01069212	-0.00605266	-0.00454529	-0.00454529	-0.00454529	-0.00454529	-2.8e-07	0.0	bc1003	CoA
CoA##bc1003##Metabolite	0.07098222	0.01069212	0.00605266	0.00454529	0.00454529	0.00454529	0.00454529	2.8e-07	0.0	CoA	bc1003
bc1003##Cu2+##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Cu2+
Cu2+##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Cu2+	bc1003
bc1003##D-Arabinose##Microbe	-0.94897026	-0.14294428	-0.0809188	-0.06076661	-0.06076661	-0.06076661	-0.06076661	-3.71e-06	0.0	bc1003	D-Arabinose
D-Arabinose##bc1003##Metabolite	0.94897026	0.14294428	0.0809188	0.06076661	0.06076661	0.06076661	0.06076661	3.71e-06	0.0	D-Arabinose	bc1003
bc1003##D-Glucose##Microbe	-45.39767023	-6.83829348	-3.87106441	-2.90700631	-2.90700631	-2.90700631	-2.90700631	-0.00017737	0.0	bc1003	D-Glucose
D-Glucose##bc1003##Metabolite	45.39767023	6.83829348	3.87106441	2.90700631	2.90700631	2.90700631	2.90700631	0.00017737	0.0	D-Glucose	bc1003
bc1003##Deoxycytidine##Microbe	-0.26199192	-0.03946409	-0.02234008	-0.01677646	-0.01677646	-0.01677646	-0.01677646	-1.02e-06	0.0	bc1003	Deoxycytidine
Deoxycytidine##bc1003##Metabolite	0.26199192	0.03946409	0.02234008	0.01677646	0.01677646	0.01677646	0.01677646	1.02e-06	0.0	Deoxycytidine	bc1003
bc1003##Deoxyguanosine##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Deoxyguanosine
Deoxyguanosine##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Deoxyguanosine	bc1003
bc1003##Folate##Microbe	-0.10647333	-0.01603818	-0.00907899	-0.00681794	-0.00681794	-0.00681794	-0.00681794	-4.2e-07	0.0	bc1003	Folate
Folate##bc1003##Metabolite	0.10647333	0.01603818	0.00907899	0.00681794	0.00681794	0.00681794	0.00681794	4.2e-07	0.0	Folate	bc1003
bc1003##Formate##Microbe	-0.03549111	-0.00534606	-0.00302633	-0.00227265	-0.00227265	-0.00227265	-0.00227265	-1.4e-07	0.0	bc1003	Formate
Formate##bc1003##Metabolite	0.03549111	0.00534606	0.00302633	0.00227265	0.00227265	0.00227265	0.00227265	1.4e-07	0.0	Formate	bc1003
bc1003##GTP##Microbe	-1.71256798	-0.25796571	-0.14603086	-0.10966303	-0.10966303	-0.10966303	-0.10966303	-6.69e-06	0.0	bc1003	GTP
