	0.0000-0.0012	0.0728-0.0746	0.0751-0.0835	0.0835-0.0991	0.0991-0.1234	0.1234-0.1246	0.1246-0.1247	0.1247-0.2303	0.2303-0.2303	0.2303-0.2355	0.2355-0.2366	0.2366-5.0797	5.0797-12.5617	12.5617-14.4252	14.4252-20.0000	Source	Target
Enterocloster_clostridioformis_YL32##Putrescine-e0##Microbe	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-0.9999999999999992	-1.0000000000000013	0.0	0.0	Enterocloster_clostridioformis_YL32	Putrescine-e0
Enterocloster_clostridioformis_YL32##Puryvate##Microbe	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0	-1.0	-0.9999999999999989	Enterocloster_clostridioformis_YL32	Puryvate
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.40724161061257	-201.4072416105177	-204.40724161051287	-204.40724161050014	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	-798.8186188976163	-2634.097686431968	-2600.9496807700816	-2600.9496807731334	-0.9999999999999991	-0.9999999999999998	-0.9999999999999992	-0.9999999999999991	-1.0000000000000004	-1.0000000000000004	-1.0000000000000007	-1.0000000000000002	-1.0000000000000002	-0.9999999999999991	-0.9999999999999991	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	-256.9499565063422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Enterocloster_clostridioformis_YL32##Inosine-e0##Microbe	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777631127	-110.21788777625444	-110.21788777625444	-110.21788777623749	Enterocloster_clostridioformis_YL32	Inosine-e0
Enterocloster_clostridioformis_YL32##Phosphate-e0##Microbe	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496150274	-127.45775496143675	-127.45775496143675	-127.45775496140595	Enterocloster_clostridioformis_YL32	Phosphate-e0
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	-17.08355495650353	-17.083554956450335	-17.083554956358704	-17.083554956356426	-0.10016041906389153	-17.083554956625253	-17.083554956554753	-17.083554956615153	-17.083554956516938	-0.06230551980651498	-11.38903663348119	-11.38903663448681	-11.38903663448681	-17.083554956440693	-17.083554956440693	Bacteroides_caecimuris_I48	L-Tyrosine
Enterocloster_clostridioformis_YL32##L-Valine-e0##Microbe	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307371503	-50.88999307368934	-50.88999307368934	-50.88999307371525	Enterocloster_clostridioformis_YL32	L-Valine-e0
Enterocloster_clostridioformis_YL32##L-Glutamate-e0##Microbe	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-93.87155105137845	-95.61003806105563	-97.61003806105317	-99.60760373625097	Enterocloster_clostridioformis_YL32	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##L-Asparagine-e0##Microbe	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168851216	-28.989573168835005	-28.989573168835005	-28.989573168864872	Enterocloster_clostridioformis_YL32	L-Asparagine-e0
Enterocloster_clostridioformis_YL32##fe3-e0##Microbe	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603364698	-0.9241112603359937	-0.9241112603359937	-0.924111260335761	Enterocloster_clostridioformis_YL32	fe3-e0
Enterocloster_clostridioformis_YL32##Mn2+-e0##Microbe	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603364866	-0.9241112603360371	-0.9241112603360371	-0.9241112603357	Enterocloster_clostridioformis_YL32	Mn2+-e0
Enterocloster_clostridioformis_YL32##Formate-e0##Microbe	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-0.9999999999999993	-7.084704534156334	-7.084704534156334	-7.084704534155927	Enterocloster_clostridioformis_YL32	Formate-e0
Enterocloster_clostridioformis_YL32##Neu5Ac-e0##Microbe	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.992697026239526	-5.99269702623205	-5.99269702623205	0.0	Enterocloster_clostridioformis_YL32	Neu5Ac-e0
Enterocloster_clostridioformis_YL32##L-Serine-e0##Microbe	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237135155	-34.532865237113	-34.532865237113	-34.532865237011336	Enterocloster_clostridioformis_YL32	L-Serine-e0
Bacteroides_caecimuris_I48##Inosine-e0##Microbe	-58.08478561389631	-58.0847856135422	-58.084785613147346	-58.08478561322032	1.647724532641392	-58.08478561411534	-58.08478561396475	-58.084785614107396	-58.084785613952945	0.7845115791356374	-38.38985706110853	-38.38985706469589	-38.38985706469589	-57.58478561292203	-57.58478561292203	Bacteroides_caecimuris_I48	Inosine-e0
Enterocloster_clostridioformis_YL32##Co2+-e0##Microbe	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603364029	-0.9241112603359763	-0.9241112603359763	-0.9241112603357137	Enterocloster_clostridioformis_YL32	Co2+-e0
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe	-127.457754958994	-127.45775495832397	-127.45775495752858	-127.45775495765135	-0.7472813581324577	-127.45775495950835	-127.4577549591436	-127.45775495945524	-127.45775495909699	-0.4648518236573811	-84.97183660747264	-84.97183661517838	-84.97183661517838	-127.45775495791167	-127.45775495791167	Bacteroides_caecimuris_I48	Phosphate-e0
Enterocloster_clostridioformis_YL32##Acetate-e0##Microbe	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3624.361173996328	3623.4919304895634	3621.4919304894765	3619.4943648133667	Enterocloster_clostridioformis_YL32	Acetate-e0
Enterocloster_clostridioformis_YL32##Cl--e0##Microbe	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.9241112603360669	-0.924111260335589	-0.924111260335589	-0.924111260335356	Enterocloster_clostridioformis_YL32	Cl--e0
Bacteroides_caecimuris_I48##L-Glutamate-e0##Microbe	-66.04418554084184	-66.0441855395195	-32.89617989661936	-32.89617989720054	-0.19286940994578355	-32.89617989709615	-2218.7814472153577	-66.0441855398892	-66.04418554106175	0.7554828113505592	-43.696123674922234	-43.696123679592574	-43.696123679592574	-65.54418553746159	-65.54418553746159	Bacteroides_caecimuris_I48	L-Glutamate-e0
Enterocloster_clostridioformis_YL32##Cu2+-e0##Microbe	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603353088	-0.9241112603351018	-0.9241112603351018	-0.9241112603349073	Enterocloster_clostridioformis_YL32	Cu2+-e0
Bacteroides_caecimuris_I48##L-Asparagine-e0##Microbe	-28.989573168201265	-28.989573167216975	-28.98957316675025	-28.989573167132214	-0.1699650807103702	-28.989573167189803	-28.989573167907913	-28.989573167286196	-28.989573168357243	-0.10572801912681194	-19.326382103047266	-19.32638210529214	-19.32638210529214	-28.989573165931752	-28.989573165931752	Bacteroides_caecimuris_I48	L-Asparagine-e0
Bacteroides_caecimuris_I48##NH3-e0##Microbe	1531.9387736699198	1274.9888171567034	1274.9888171494963	2486.378104740155	-0.6658670679608047	-113.57157603512866	-113.57157603376265	962.7970548050017	-413.0806252100457	0.48615734950328093	-274.7204167025897	-274.7204167280872	-274.7204167280872	-410.08062520543007	-410.08062520543007	Bacteroides_caecimuris_I48	NH3-e0
Enterocloster_clostridioformis_YL32##Folate-e0##Microbe	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000004	-1.0000000000000004	-1.0000000000000016	Enterocloster_clostridioformis_YL32	Folate-e0
Bacteroides_caecimuris_I48##L-Glycine##Microbe	-77.0494519422868	969.0650600783357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	L-Glycine
Bacteroides_caecimuris_I48##fe3-e0##Microbe	-0.9241112603157624	-0.9241112600716321	-0.9241112599965823	-0.9241112600911651	-0.0054180392387695574	-0.9241112599950455	-0.9241112602129324	-0.9241112600232968	-0.9241112603552109	-0.003370330857605368	-0.6160741728172411	-0.6160741729924061	-0.6160741729924061	-0.9241112597431123	-0.9241112597431123	Bacteroides_caecimuris_I48	fe3-e0
Bacteroides_caecimuris_I48##Folate##Microbe	-1.0000000000000004	-1.0000000000000007	-1.0000000000000007	-1.0	-1.0	-1.0000000000000013	-1.0000000000000009	-0.9999999999999993	-0.9999999999999984	-0.999999999999998	-0.9999999999999384	-1.0000000000000684	-1.0000000000000684	-1.5000000004137193	-1.5000000004137193	Bacteroides_caecimuris_I48	Folate
Bacteroides_caecimuris_I48##Formate-e0##Microbe	1.4999999999699751	1047.6145120217632	78.54945194343303	78.54945194280712	-3.5160148036463355	78.54945194479699	78.54945194303218	78.5494519445591	78.54945194216975	-0.7098747909182876	52.03296794504903	52.03296794903624	52.03296794903624	78.04945194507634	78.04945194507634	Bacteroides_caecimuris_I48	Formate-e0
