	0.0000-0.0012	0.0728-0.0746	0.0751-0.0835	0.0835-0.0991	0.0991-0.1234	0.1234-0.1246	0.1246-0.1247	0.1247-0.2303	0.2303-0.2303	0.2303-0.2355	0.2355-0.2366	0.2366-5.0797	5.0797-12.5617	12.5617-14.4252	14.4252-20.0000	Source	Target
PAN##Bacteroides_caecimuris_I48##Metabolite##None	126.68907411730311	126.68907411644406	126.68907411552685	126.68907411572773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.68907411573066	126.68907411573066	PAN	Bacteroides_caecimuris_I48
Bacteroides_caecimuris_I48##Phosphate-e0##Microbe##PAN	-127.457754958994	-127.45775495832397	-127.45775495752858	-127.45775495765135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-127.45775495791167	-127.45775495791167	Bacteroides_caecimuris_I48	Phosphate-e0
Bacteroides_caecimuris_I48##Mn2+-e0##Microbe##PAN	-0.9241112603169239	-0.9241112603106484	-0.9241112603042145	-0.9241112603058097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603052924	-0.9241112603052924	Bacteroides_caecimuris_I48	Mn2+-e0
Bacteroides_caecimuris_I48##Zn2+-e0##Microbe##PAN	-0.9241112603160194	-0.9241112603099716	-0.9241112603029121	-0.924111260304708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603043602	-0.9241112603043602	Bacteroides_caecimuris_I48	Zn2+-e0
Bacteroides_caecimuris_I48##Sulfate-e0##Microbe##PAN	-0.9241112602928861	-0.9241112596823061	-0.9241112594696628	-0.9241112597285149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112588373059	-0.9241112588373059	Bacteroides_caecimuris_I48	Sulfate-e0
Bacteroides_caecimuris_I48##Co2+-e0##Microbe##PAN	-0.9241112603165806	-0.9241112603082581	-0.9241112603017192	-0.9241112603037696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112603038362	-0.9241112603038362	Bacteroides_caecimuris_I48	Co2+-e0
Bacteroides_caecimuris_I48##Spermidine-e0##Microbe##Spermidine-e0	-1.0000000000000022	-0.9999999999999996	-1.0000000000000004	-0.9999999999999984	-0.9999999999999986	-1.0000000000000007	-0.9999999999999996	-0.9999999999999984	-0.9999999999999994	-0.9999999999999999	-0.9999999999999994	-1.0	-1.0	0.0	0.0	Bacteroides_caecimuris_I48	Spermidine-e0
Bacteroides_caecimuris_I48##fe3-e0##Microbe##PAN	-0.9241112603157624	-0.9241112600716321	-0.9241112599965823	-0.9241112600911651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.9241112597431123	-0.9241112597431123	Bacteroides_caecimuris_I48	fe3-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##Spermidine-e0	4.000000000007177	4.833333333338277	5.666666666658324	5.666666666659966	5.467305707739708	6.000000000004022	6.333333333338123	6.000000000003902	4.999999999997061	6.98362772927439	7.666666666331283	7.666666666398461	7.666666666398461	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
Bacteroides_caecimuris_I48##H+-e0##Microbe##O2-e0	2.0000000000224594	1.0000000000027893	0.0	0.0	0.5980828767816604	-0.999999999995139	-1.9999999999838658	-0.9999999999944673	1.999999999993911	0.5122792030399115	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H+-e0
