	Bacteroides_caecimuris_I48	Flavonifractor_plautii_YL31	In	InAmount	Out	OutAmount	All	AllAmount
5'-Deoxyadenosine-e0	0.0	-4.434669865211408e-13	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
5-Methylthio-D-ribose-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Acetate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Adenine	0.0	0.0		0		0		0
Anserine	0.0	0.0		0		0		0
BIOT-e0	0.0	0.0		0		0		0
Biotin	0.0	0.0		0		0		0
Butyrate-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
CO2-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Ca2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Carnitine	0.0	0.0		0		0		0
Carnosine	0.0	0.0		0		0		0
Cd2+-e0	0.0	0.0		0		0		0
Cellulose	0.0	0.0		0		0		0
Cholesterol	0.0	0.0		0		0		0
Choline	0.0	0.0		0		0		0
Choline-e0	0.0	0.0		0		0		0
Chromium	0.0	0.0		0		0		0
Citrulline	0.0	0.0		0		0		0
Cl--e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Co2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Creatine	0.0	0.0		0		0		0
Creatinine	0.0	0.0		0		0		0
Cu2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Cytosine	0.0	0.0		0		0		0
Cytosine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
D-Glucose-e0	0.09189418282513442	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	3
D-Mannose-e0	0.0	1.2482766556520808e-13	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Fe2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Folate	0.3828924284376435	0.0	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
Folate-e0	0.0	-1.0267342531733448e-12	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Formate-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Fumarate-e0	1.1742343208887007e-14	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Galactose-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Gamma-Tocopherol	0.0	0.0		0		0		0
Glutamine	0.0	0.0		0		0		0
Glycerol-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Glycine-e0	0.0	0.0		0		0		0
Glycolaldehyde-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
H2-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
H2O-e0	0.0	0.0		0		0		0
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine-e0	0.0	-5.465627950229646e-13	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
K+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Alanine	0.0	0.0		0		0		0
L-Alanine-e0	0.0	0.0		0		0		0
L-Arginine-e0	0.0	-1.4560574967958928e-13	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.13784127423744513	0.0	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
L-Aspartate-e0	0.09189418282499125	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	3
L-Cysteine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Cystine	0.0	0.0		0		0		0
L-Fucose-e0	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Glutamine-e0	0.0	0.0		0		0		0
L-Glycine	0.0	0.0		0		0		0
L-Histidine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Isoleucine	0.0	0.0		0		0		0
L-Isoleucine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Leucine	0.0	0.0		0		0		0
L-Leucine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Lysine-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Methionine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Phenylalanine	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Proline	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Proline-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Serine	0.045947091412506094	0.0	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
L-Serine-e0	0.0	9.472977957614148e-14	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Threonine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Threonine-e0	0.0	-4.232725281383409e-15	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Tryptophan	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
L-Tyrosine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Tyrosine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Flavonifractor_plautii_YL31	1		0	Flavonifractor_plautii_YL31	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Mn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-acetyl-D-galactosamine	0.0	0.0		0		0		0
N-acetyl-D-gluosamine	0.0	0.0		0		0		0
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
Na+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2		0	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
