	Bacteroides_caecimuris_I48	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
L-Methionine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
L-Phenylalanine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Phenylalanine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Proline	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Proline-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Serine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Serine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Threonine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Threonine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Tryptophan	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Tryptophan-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Tyrosine	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Tyrosine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Mn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-Acetyl-D-glucosamine-e0	0.0	-1.4428344803640858e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Na+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Neu5Ac-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Niacin	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0		0		0		0
O2-e0	2.4111268537296837e-12	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907411723146	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2	Bacteroides_caecimuris_I48	1	Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Phosphoethanolamine	0.0	0.0		0		0		0
Puryvate	0.0	0.0		0		0		0
Putrescine-e0	0.0	-3.6375289065582184e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Pyridoxal	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Riboflavin	3.0164759579065503e-13	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Riboflavin-e0	0.0	96.79614652206305	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0		0		0		0
Sorbitol-e0-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Spermidine-e0	5.869731783958443e-13	-5.288569582262426e-11	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Sucrose-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Sulfate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Thiamin-e0	0.0	-8.999023748401669e-11	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Uracil-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2		0	Bacteroides_caecimuris_I48.Enterococcus_faecalis_KB1	2
acetylhexosamine	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0		0		0		0
