	0.0000-0.0006	0.0022-0.0057	0.0080-0.0094	0.0098-0.0098	0.0098-0.0111	0.0116-0.0119	0.0119-0.0119	0.0119-0.0120	0.0120-0.0120	0.0120-0.0121	0.0124-0.0125	0.0125-0.0125	0.0125-0.0152	0.0153-0.0154	0.0154-0.1650	0.1650-0.2723	0.2723-0.2725	0.2725-0.2739	0.2739-0.3731	0.3731-0.3813	0.5883-0.5964	0.5964-7.5314	7.5314-8.2204	8.2756-10.5441	10.5441-18.5801	Source	Target
Limosilactobacillus_reuteri_I49##L-Phenylalanine-e0##Microbe	-19.79070206575427	-19.79070206574431	-0.35905358730089953	-83.15106737348827	-83.15106737348827	-83.15106737629168	-83.1510673750403	-83.15106737501704	-83.15106737680637	-83.1510673751396	-0.11268339276922609	-0.9821716039505185	-0.5939739872220052	-83.15106737161486	-83.15106738371423	-83.15106735999386	-83.15106735367021	-83.15106734779414	-83.15106735826399	-0.5295002141610953	-42.25724955692404	-42.25724955692404	-19.790702065304846	-19.790702065302252	-19.79070206530197	Limosilactobacillus_reuteri_I49	L-Phenylalanine-e0
Enterocloster_clostridioformis_YL32##Putrescine-e0##Microbe	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000002	-1.0000000000000009	-1.0000000000000009	-1.0000000000000009	0.0	0.0	Enterocloster_clostridioformis_YL32	Putrescine-e0
Limosilactobacillus_reuteri_I49##Cytosine##Microbe	-12.165428977275381	-12.165428977268723	-0.2207117716608814	-51.11331579638248	-51.11331579638248	-51.1133157980608	-51.1133157972516	-51.11331579723678	-51.113315798369285	-51.11331579732552	-0.0692669621873536	-21.894258738883643	0.0	-4656.201597837309	-51.113315802570014	-51.11331578811494	-51.11331578393187	-51.11331578032821	-51.11331578713732	-0.32548604023429467	-25.97571155146897	-25.97571155146897	-12.165428977029809	-12.165428977027629	-12.16542897702773	Limosilactobacillus_reuteri_I49	Cytosine
Enterocloster_clostridioformis_YL32##Puryvate##Microbe	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-1.0000000000000004	-0.9999999999999996	-1.0000000000000013	-1.0000000000000013	-1.0000000000000007	-1.0000000000000007	Enterocloster_clostridioformis_YL32	Puryvate
Enterocloster_clostridioformis_YL32##L-Aspartate-e0##Microbe	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161057824	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161054536	-201.40724161062002	-201.40724161026804	-201.40724161026804	-204.40724161023664	-204.40724161023664	Enterocloster_clostridioformis_YL32	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##Inosine-e0##Microbe	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777629665	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.21788777626966	-110.2178877763144	-110.21788777613509	-110.21788777613509	-110.21788777613182	-110.21788777613182	Enterocloster_clostridioformis_YL32	Inosine-e0
Limosilactobacillus_reuteri_I49##L-Aspartate-e0##Microbe	-2597.5975755200175	-2597.5975755187224	-2.478500836235352	-5883.152547393232	-5883.152547393232	-4502.952668619035	-2917.7480008334096	-2917.7480008325874	-4316.944269459338	-2935.547223918357	0.0	0.0	0.0	0.0	0.0	-29411.266586443446	-1.0	-0.9999999999999994	-1.0000000000000013	-1.0000000000000009	-1.0000000000000002	-1.0000000000000002	-0.9999999999999996	-1.0000000000000016	-1.0000000000000002	Limosilactobacillus_reuteri_I49	L-Aspartate-e0
Enterocloster_clostridioformis_YL32##Phosphate-e0##Microbe	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496147854	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496145366	-127.45775496150543	-127.4577549612804	-127.4577549612804	-127.45775496127003	-127.45775496127003	Enterocloster_clostridioformis_YL32	Phosphate-e0
Limosilactobacillus_reuteri_I49##Phosphate-e0##Microbe	-129.86418562011391	-129.86418562005164	-2.3560660735311374	-545.627214840021	-545.627214840021	-545.6272148579552	-545.627214849738	-545.6272148495863	-545.6272148612708	-545.6272148505284	-0.7394147507276965	-6.444890891784498	-3.897585233376585	-545.6272148276587	-545.6272149057829	-545.6272147536089	-545.6272147124835	-545.6272146743465	-545.6272147411904	-3.4745161575828005	-277.28694424373896	-277.28694424373896	-129.8641856170691	-129.86418561704798	-129.86418561704036	Limosilactobacillus_reuteri_I49	Phosphate-e0
Limosilactobacillus_reuteri_I49##Succinate-e0##Microbe	1.4999999999968725	1.4999999999940248	0.027213808745264065	6.302282791496671	6.302282791496671	6.302282791764121	6.30228279167134	6.302282791671757	6.30228279180293	6.302282791673476	-12.990271542695698	-1.3408965688402312	-0.02042662189492389	-280.8417300602347	4324.2465526105225	-25087.020035066867	4323.246551048221	4323.246550742845	4323.246551286943	1.1988835336160675	-140.7397492305654	-140.7397492305654	-64.3188762115704	-64.31887621155995	-64.31887621155632	Limosilactobacillus_reuteri_I49	Succinate-e0
