	Avg_Turicimonas_muris_YL45	Var_Turicimonas_muris_YL45	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Mn2+	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Na+-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Niacin	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pyridoxal	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Pyruvate-e0	1.5355997723398574e-13	1.765243620688587e-30	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Riboflavin	126.68907411747742	8.340139806738962e-22	1.0	0.0	1.0	0.0	2.0	0.0	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45Turicimonas_muris_YL45	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-4.0128109168868773e-13	2.8554511912448164e-29	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Thiamin-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Uracil-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
fe3-e0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
5'-Deoxyadenosine-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Acetate-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
CO2-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
D-Glyceraldehyde-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Formate-e0-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Fumarate-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Glycolaldehyde-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
O2-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
Succinate-e0	0.0	0.0	0.09999999999999994	0.08999999999999994	0.0	0.0	0.09999999999999994	0.08999999999999994	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
