	Bacteroides_caecimuris_I48	Muribaculum_intestinale_YL27	In	InAmount	Out	OutAmount	All	AllAmount
D-Glucose-e0	1.3239617735472109e-12	3.9497571879820725e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
D-Mannose-e0	0.0	1.6872614416740817e-13	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Fe2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Folate	2.1129226840388426e-12	2.041256053075813e-12	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Formate-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Formate-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
GABA-e0-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Galactose-e0	0.0	2.60735877333218e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Gamma-Tocopherol	0.0	0.0		0		0		0
Glutamine	0.0	2.0372592501871623e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Glycerol-e0	0.0	-1.153799278341694e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Glycine-e0	0.0	6.52811138479592e-14	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Glycolaldehyde-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Guanidine	0.0	0.0		0		0		0
Guanine	0.0	0.0		0		0		0
H+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
H2-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
H2O-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
H2S-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Hemin	0.0	0.0		0		0		0
Hydrocortisone	0.0	0.0		0		0		0
Hypoxanthine	0.0	0.0		0		0		0
Inosine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
K+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Alanine	0.0	0.0		0		0		0
L-Alanine-e0	0.0	1.5931700403370996e-13	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Arginine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Ascorbate	0.0	0.0		0		0		0
L-Asparagine-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Aspartate-e0	0.0	3.3986702341337605e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Cysteine-e0	0.0	8.462675005205256e-14	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Cystine	0.0	0.0		0		0		0
L-Glutamate	0.0	0.0		0		0		0
L-Glutamate-e0	0.0	0.0		0		0		0
L-Glycine	0.0	0.0		0		0		0
L-Histidine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Isoleucine	0.0	0.0		0		0		0
L-Leucine	0.0	0.0		0		0		0
L-Lysine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Methionine-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Phenylalanine	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Proline	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Serine	-2.039601126879731e-13	-2.0961010704922955e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Threonine	0.0	-8.325978795298283e-14	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Tryptophan	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
L-Tyrosine	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
L-Valine	0.0	0.0		0		0		0
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Mn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Molybdenum	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Na+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Neu5Ac-e0	0.0	2.469136006766348e-13	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Niacin	0.0	0.0		0		0		0
Nickel	0.0	0.0		0		0		0
O2-e0	0.0	7.205347429817266e-14	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907411617695	126.68907411700044	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	4
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propionate-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Puryvate	0.0	0.0		0		0		0
Putrescine	0.0	0.0		0		0		0
Putrescine-e0	0.0	0.0		0		0		0
Pyridoxal	0.0	0.0		0		0		0
Riboflavin	2.9194006153504537e-12	1.028954699222595e-12	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Selenium	0.0	0.0		0		0		0
Sorbitol-e0-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	1.5026946700857913e-12	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Sucrose	0.0	1.0539347172766611e-12	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sucrose-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Sulfate-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Bacteroides_caecimuris_I48	1		0	Bacteroides_caecimuris_I48	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
Zn2+-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2		0	Bacteroides_caecimuris_I48.Muribaculum_intestinale_YL27	2
fucose	0.0	0.0		0		0		0
lactate	0.0	6.601056506960745e-14	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
