	Avg_Bacteroides_caecimuris_I48	Var_Bacteroides_caecimuris_I48	Avg_Flavonifractor_plautii_YL31	Var_Flavonifractor_plautii_YL31	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Acetate-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Butyrate-e0	0.0	0.0	0.0	0.0	1.8704749413263766	0.0671967769303996	0.0	0.0	1.8704749413263766	0.0671967769303996	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31.Bacteroides_caecimuris_I48	2		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31.Bacteroides_caecimuris_I48	2
CO2-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Ca2+-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Co2+-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Cytosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cytosine-e0	0.0	0.0	4.809062184614872e-13	7.889824593113313e-26	0.9696054880873207	0.0008957471032756407	0.0	0.0	0.9696054880873207	0.0008957471032756407	Flavonifractor_plautii_YL31	1		1	Flavonifractor_plautii_YL31	1
D-Glucose-e0	0.00022353687816981137	2.0490243039854293e-05	7.605819744847641e-13	1.7185202086901943e-25	1.9392109761746414	0.0035829884131025626	0.0024325455874224895	0.0024264484566098783	1.9416435217620638	0.0060184258686003175	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	2
D-Mannose-e0	0.0	0.0	8.425412187595459e-13	1.7492555852503532e-25	0.9696054880873207	0.0008957471032756407	0.0	0.0	0.9696054880873207	0.0008957471032756407	Flavonifractor_plautii_YL31	1		1	Flavonifractor_plautii_YL31	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
Folate	8.446869588072786	639.8208325569004	0.0	0.0	0.9696054880873207	0.0008957471032756407	0.10243254558742251	0.09162120701283158	1.0720380336747433	0.09270621388643316	Bacteroides_caecimuris_I48	1	.Bacteroides_caecimuris_I48	2	Bacteroides_caecimuris_I48.Bacteroides_caecimuris_I48Bacteroides_caecimuris_I48	2
Folate-e0	0.0	0.0	-5.142851364079271e-14	6.463679012271986e-25	0.9696054880873207	0.0008957471032756407	0.0	0.0	0.9696054880873207	0.0008957471032756407	Flavonifractor_plautii_YL31	1		1	Flavonifractor_plautii_YL31	1
Formate-e0	0.0	0.0	0.0	0.0	0.9696054880873207	0.0008957471032756407	0.0	0.0	0.9696054880873207	0.0008957471032756407	Bacteroides_caecimuris_I48	1		1	Bacteroides_caecimuris_I48	1
Fumarate-e0	3.4590145351614506e-12	1.0897488916533997e-22	0.0	0.0	1.9392109761746414	0.0035829884131025626	0.0	0.0	1.9392109761746414	0.0035829884131025626	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1		1	Bacteroides_caecimuris_I48.Flavonifractor_plautii_YL31	1
