	0.0000-0.0009	0.0009-0.0010	0.0010-0.0017	0.0017-0.0019	0.0019-0.0025	0.0029-0.0030	0.0030-0.0031	0.0031-0.0031	0.0031-0.0043	0.0043-0.0044	0.0045-0.0321	0.0321-0.4541	0.4541-0.9787	0.9787-5.1447	5.1447-6.3270	6.3270-6.5371	6.5371-7.3519	7.3519-7.9983	7.9983-10.2915	10.2915-17.3043	17.3043-19.8381	19.8381-20.0000	Source	Target
Clostridium_innocuum_I46##Inosine##Microbe	-95.47884223468283	-95.47884223643932	-95.47884223679873	-95.47884223114264	-95.47884223696678	-95.47884223559595	-95.47884223554877	-95.4788422356007	-95.47884223565914	-95.47884223469771	-95.47884223454102	-93.47884223513518	-93.47884223513518	-93.47884223513518	-93.47884223513518	-93.47884223513518	-93.47884223515203	-93.47884223515271	-95.478842235156	-95.478842235156	-96.47884223531801	0.0	Clostridium_innocuum_I46	Inosine
Acutalibacter_muris_KB1##Ca2+-e0##Microbe	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.412125071949708	-1.4121250719508698	-1.41212507195188	-1.41212507195188	-0.7060625359713072	-0.7060625359713072	-0.7060625359713072	-0.7060625359713072	-0.7060625359711655	-0.7060625359711655	0.0	Acutalibacter_muris_KB1	Ca2+-e0
Clostridium_innocuum_I46##L-Asparagine-e0##Microbe	-2560.611705824241	-96.50044303230113	-96.50044303286961	-96.5004430276515	-96.50044303288594	-96.50044303151643	-96.50044303146922	-96.5004430315086	-96.50044303156368	-5060.921737759711	2972.8929127446067	-100.5004430312925	-100.5004430312925	-100.5004430312925	-100.5004430312925	-100.5004430312925	-100.50044303128776	-106.4931400574419	-104.49314005743496	-104.49314005743496	-104.49314005751687	1.9999999999999774	Clostridium_innocuum_I46	L-Asparagine-e0
Clostridium_innocuum_I46##fe3-e0##Microbe	-0.9241112603170715	-0.9241112603245972	-0.9241112603366867	-0.9241112602834655	-0.9241112603359335	-0.9241112603234503	-0.924111260323025	-0.9241112603234178	-0.9241112603239485	-0.9241112603186874	-0.9241112603097527	-0.9241112603205431	-0.9241112603205431	-0.9241112603205431	-0.9241112603205431	-0.9241112603205431	-0.9241112603204932	-0.9241112603205063	-0.9241112603205284	-0.9241112603205284	-0.9241112603205613	0.0	Clostridium_innocuum_I46	fe3-e0
Clostridium_innocuum_I46##Mn2+-e0##Microbe	-0.9241112603139331	-0.9241112603280061	-0.9241112603346658	-0.9241112602860033	-0.924111260334317	-0.9241112603225309	-0.9241112603221038	-0.9241112603224932	-0.9241112603230042	-0.9241112603136306	-0.9241112603156415	-0.9241112603199919	-0.9241112603199919	-0.9241112603199919	-0.9241112603199919	-0.9241112603199919	-0.9241112603199427	-0.9241112603199493	-0.9241112603199733	-0.9241112603199733	-0.9241112603200057	0.0	Clostridium_innocuum_I46	Mn2+-e0
Acutalibacter_muris_KB1##PAN##Microbe	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-2.000000000002119	-1.9999999999998532	-2.000000000013137	-2.0000000000131832	-1.0000000000000218	-1.0000000000000218	-1.0000000000000218	-1.0000000000000218	-0.9999999999998854	-0.9999999999998854	0.0	Acutalibacter_muris_KB1	PAN
Acutalibacter_muris_KB1##Fe2+-e0##Microbe	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178060455	-4.246772178061394	-4.246772178190021	-4.246772178188731	-2.0400527557465242	-2.0400527557465242	-2.0400527557465242	-2.0400527557465242	-2.123386089024846	-2.123386089024846	0.0	Acutalibacter_muris_KB1	Fe2+-e0
Acutalibacter_muris_KB1##L-Lysine-e0##Microbe	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909808	-72.71932386909258	-72.71932386915219	-72.71932386916033	-36.359661934341666	-36.359661934341666	-36.359661934341666	-36.359661934341666	-36.35966193433462	-36.35966193433462	0.0	Acutalibacter_muris_KB1	L-Lysine-e0
Acutalibacter_muris_KB1##Niacin##Microbe	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999966593	-1.9999999999979259	-2.0000000000923874	-2.000000000091296	-1.000000000039084	-1.000000000039084	-1.000000000039084	-1.000000000039084	-1.0000000000388236	-1.0000000000388236	0.0	Acutalibacter_muris_KB1	Niacin
Clostridium_innocuum_I46##Co2+-e0##Microbe	-0.9241112603152363	-0.9241112603343157	-0.9241112603362953	-0.9241112602805106	-0.924111260337208	-0.9241112603213596	-0.9241112603210091	-0.9241112603213041	-0.9241112603217704	-0.924111260317065	-0.9241112603121658	-0.9241112603202741	-0.9241112603202741	-0.9241112603202741	-0.9241112603202741	-0.9241112603202741	-0.9241112603202315	-0.924111260320248	-0.9241112603202599	-0.9241112603202599	-0.9241112603202999	0.0	Clostridium_innocuum_I46	Co2+-e0
