,Species,Name,File
Clostridium_innocuum_I46.xml,Clostridium_innocuum_I46,Clostridium_innocuum_I46,OMM12_20210804_gapseq_full_models/Clostridium_innocuum_I46.xml
Bacteroides_caecimuris_I48.xml,Bacteroides_caecimuris_I48,Bacteroides_caecimuris_I48,OMM12_20210804_gapseq_full_models/Bacteroides_caecimuris_I48.xml
Limosilactobacillus_reuteri_I49.xml,Limosilactobacillus_reuteri_I49,Limosilactobacillus_reuteri_I49,OMM12_20210804_gapseq_full_models/Limosilactobacillus_reuteri_I49.xml
Flavonifractor_plautii_YL31.xml,Flavonifractor_plautii_YL31,Flavonifractor_plautii_YL31,OMM12_20210804_gapseq_full_models/Flavonifractor_plautii_YL31.xml
Muribaculum_intestinale_YL27.xml,Muribaculum_intestinale_YL27,Muribaculum_intestinale_YL27,OMM12_20210804_gapseq_full_models/Muribaculum_intestinale_YL27.xml
Akkermansia_muciniphilaYL44.xml,Akkermansia_muciniphilaYL44,Akkermansia_muciniphilaYL44,OMM12_20210804_gapseq_full_models/Akkermansia_muciniphilaYL44.xml
Turicimonas_muris_YL45.xml,Turicimonas_muris_YL45,Turicimonas_muris_YL45,OMM12_20210804_gapseq_full_models/Turicimonas_muris_YL45.xml
Acutalibacter_muris_KB1.xml,Acutalibacter_muris_KB1,Acutalibacter_muris_KB1,OMM12_20210804_gapseq_full_models/Acutalibacter_muris_KB1.xml
Enterocloster_clostridioformis_YL32.xml,Enterocloster_clostridioformis_YL32,Enterocloster_clostridioformis_YL32,OMM12_20210804_gapseq_full_models/Enterocloster_clostridioformis_YL32.xml
Bifidobacterium_animalis_YL2.xml,Bifidobacterium_animalis_YL2,Bifidobacterium_animalis_YL2,OMM12_20210804_gapseq_full_models/Bifidobacterium_animalis_YL2.xml
Enterococcus_faecalis_KB1.xml,Enterococcus_faecalis_KB1,Enterococcus_faecalis_KB1,OMM12_20210804_gapseq_full_models/Enterococcus_faecalis_KB1.xml
Blautia_coccoides_YL58.xml,Blautia_coccoides_YL58,Blautia_coccoides_YL58,OMM12_20210804_gapseq_full_models/Blautia_coccoides_YL58.xml
