	Muribaculum_intestinale_YL27	Enterococcus_faecalis_KB1	In	InAmount	Out	OutAmount	All	AllAmount
L-Tyrosine	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
L-Tyrosine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
L-Valine	0.0	0.0		0		0		0
L-Valine-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0		0		0		0
Melitose	0.0	0.0		0		0		0
Methylguanidine	0.0	0.0		0		0		0
Methylhistidine	0.0	0.0		0		0		0
Mg-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Mn2+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Molybdenum	0.0	0.0		0		0		0
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0		0		0		0
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0		0		0		0
N-Acetyl-D-chondrosamine-e0	0.0	0.0		0		0		0
N-Acetyl-D-glucosamine-e0	0.0	6.586736711611252e-11	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
N-acetylneuraminate (as sialic residue)	0.0	0.0		0		0		0
NH3-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Na+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Neu5Ac-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Niacin	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Nickel	0.0	0.0		0		0		0
O2-e0	4.126837760409785e-13	4.1047637511226753e-10	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Oleic acid	0.0	0.0		0		0		0
PAN	126.68907411771707	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2	Muribaculum_intestinale_YL27	1	Muribaculum_intestinale_YL27Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	3
Pb-e0	0.0	0.0		0		0		0
Pectin	0.0	0.0		0		0		0
Phosphate-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Phosphoethanolamine	0.0	0.0		0		0		0
Propanal-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Puryvate	0.0	0.0		0		0		0
Putrescine	0.0	0.0		0		0		0
Putrescine-e0	0.0	3.1860512839099187e-10	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Pyridoxal	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Riboflavin	-3.637090628672013e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Riboflavin-e0	0.0	96.79614631476632	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0		0		0		0
Spermidine	0.0	0.0		0		0		0
Spermidine-e0	0.0	9.225402664014837e-10	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Stachyose	0.0	0.0		0		0		0
Starch	0.0	0.0		0		0		0
Succinate-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Sucrose	8.289688380180849e-13	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
Sucrose-e0	0.0	0.0		0		0		0
Sulfate-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Thiamin-e0	0.0	1.140754983530723e-09	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
Uracil	0.0	0.0		0		0		0
Uracil-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Urea-e0	0.0	0.0		0		0		0
VitA Retinol	0.0	0.0		0		0		0
Vitamin K1	0.0	0.0		0		0		0
Vitamin K3	0.0	0.0		0		0		0
XAN-e0	0.0	0.0	Enterococcus_faecalis_KB1	1		0	Enterococcus_faecalis_KB1	1
Zn2+-e0	0.0	0.0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2		0	Enterococcus_faecalis_KB1.Muribaculum_intestinale_YL27	2
acetylhexosamine	0.0	0.0		0		0		0
acgal-e0	0.0	0.0		0		0		0
acgam-e0	0.0	0.0		0		0		0
carbonate	0.0	0.0		0		0		0
core3-e0	0.0	0.0		0		0		0
core4-e0	0.0	0.0		0		0		0
fe3-e0	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
fucose	0.0	0.0		0		0		0
lactate	0.0	0.0	Muribaculum_intestinale_YL27	1		0	Muribaculum_intestinale_YL27	1
