	0.0000-0.0012	0.0012-0.0020	0.0084-0.0251	0.0251-0.0259	0.0260-0.0306	0.0398-0.0400	0.0400-0.0405	0.0405-0.0408	0.0408-0.0517	0.0517-0.0519	0.0519-0.0521	0.0521-0.0730	0.0737-0.0738	0.0738-0.0749	0.0749-0.0835	0.0991-0.1051	0.1051-0.1064	0.1064-0.1065	0.1066-0.1076	0.1078-0.1624	0.1624-0.1624	0.1625-0.2068	0.2068-0.2069	0.2071-0.2071	0.2071-0.2138	0.2139-0.2140	0.2140-0.2146	0.2146-0.2147	0.2147-0.2225	0.2225-0.2229	0.2229-0.2232	0.2232-0.2233	0.2237-0.2409	0.4494-0.4495	0.4495-0.4498	0.4498-0.4545	0.4545-0.5826	0.5827-0.5954	0.5954-0.7580	0.7601-0.9046	0.9046-0.9046	0.9046-1.0088	1.0088-1.0089	1.0089-1.0089	1.0877-1.0879	1.0879-1.0879	1.0879-1.0881	1.0881-1.2949	1.2949-1.3095	1.3095-9.0913	9.0913-9.5517	9.5517-20.0000	Source	Target
Flavonifractor_plautii_YL31##fe3-e0##Microbe	-0.9241112603171603	-0.9241112603171603	-0.9241112603249109	-0.9241112603233964	-0.92411126032351	-0.924111260355069	-0.9241112603404421	-0.9241112603200147	-0.9241112603236856	-0.924111260323652	-0.9241112603236918	-0.9241112603229449	-0.9241112603212086	-0.9241112603243957	-0.9241112603243957	-0.9241112603243957	-0.9241112603243957	-0.9241112603285728	-0.9241112603281916	-0.9241112603227987	-0.924111260331714	-0.9241112603244503	-0.9241112603244503	-0.9241112603244503	-0.9241112603244503	-0.9241112603247932	-0.924111260325084	-0.9241112603249241	-0.9241112603249241	-0.9241112603214049	-0.9241112603258609	-0.924111260324265	-0.9241112603254605	-0.9241112603235887	-0.9241112603233615	-0.924111260323081	-0.9241112603201277	-0.9241112603211487	-0.9241112603196608	-0.9241112603193475	-0.9241112603216292	-0.9241112603281946	-0.9241112603284156	-0.9241112603254434	-0.9241112603230867	-0.924111260322924	-0.9241112603222368	-0.9241112603150812	-0.9241112603234763	-0.9241112603230914	-0.9241112603229736	-0.9241112603229736	Flavonifractor_plautii_YL31	fe3-e0
Flavonifractor_plautii_YL31##Mn2+-e0##Microbe	-0.9241112603169802	-0.9241112603169802	-0.9241112603257554	-0.924111260323842	-0.9241112603239748	-0.9241112603576728	-0.9241112603439919	-0.9241112603220586	-0.9241112603259302	-0.9241112603263111	-0.9241112603255551	-0.9241112603224992	-0.9241112603212883	-0.9241112603260224	-0.9241112603260224	-0.9241112603260224	-0.9241112603260224	-0.9241112603283589	-0.9241112603276804	-0.9241112603232371	-0.9241112603344609	-0.9241112603254482	-0.9241112603254482	-0.9241112603254482	-0.9241112603254482	-0.9241112603234769	-0.9241112603245841	-0.9241112603227195	-0.9241112603227195	-0.9241112603218387	-0.9241112603282018	-0.9241112603284964	-0.9241112603251419	-0.9241112603249144	-0.9241112603234284	-0.9241112603239242	-0.924111260320795	-0.9241112603232544	-0.9241112603197855	-0.9241112603194818	-0.9241112603197434	-0.9241112603286782	-0.9241112603278138	-0.9241112603274508	-0.9241112603231927	-0.9241112603222639	-0.9241112603214481	-0.9241112603145399	-0.9241112603222308	-0.9241112603221028	-0.9241112603240899	-0.9241112603240899	Flavonifractor_plautii_YL31	Mn2+-e0
Flavonifractor_plautii_YL31##L-Methionine-e0##Microbe	-18.482435295042507	-18.482435295042507	-18.482435295173804	-18.4824352951483	-18.482435295148193	-18.4824352958143	-18.482435295494835	-18.482435295104647	-18.482435295153838	-18.482435295152854	-18.482435295153795	-18.48243529513233	-18.482435295089942	-18.482435295171015	-18.482435295171015	-18.482435295171015	-18.482435295171015	-18.482435295269635	-18.48243529524158	-18.482435295130443	-18.482435295321494	-18.48243529517416	-18.48243529517416	-18.48243529517416	-18.48243529517416	-18.482435295173588	-18.482435295178753	-18.482435295169747	-18.482435295169747	-18.482435295113767	-18.48243529519366	-18.482435295157675	-18.482435295194946	-18.48243529513563	-18.482435295146015	-18.482435295135232	-18.482435295079455	-18.482435295098192	-18.482435295062317	-18.48243529505519	-929.9125507327154	-19.48243529526366	-18.482435295243935	-421.90951205798973	-19.48243529514351	-19.482435295139595	-19.482435295125033	-19.48243529497346	-19.48243529515299	-19.482435295144654	-19.482435295141645	-19.482435295141645	Flavonifractor_plautii_YL31	L-Methionine-e0
Flavonifractor_plautii_YL31##XAN-e0##Microbe	1572.3212686299617	1572.3212686299617	-54.584785614281465	-54.5847856142121	-54.58478561422064	-54.58478561611253	-54.58478561524019	-54.58478561411296	-54.584785614232935	-54.5847856142313	-54.5847856142337	-54.58478561418691	-54.58478561403089	-54.58478561427506	-54.58478561427506	-54.58478561427506	-54.58478561427506	-54.58478561458745	-54.58478561453825	-54.58478561417848	-54.58478561473939	-54.58478561425202	-54.58478561425202	-54.58478561425202	-54.58478561425202	-54.58478561430685	-54.58478561432699	-54.584785614302916	-54.584785614302916	-54.58478561407794	-54.58478561435225	-54.58478561423793	-54.58478561432422	-54.58478561420226	-54.58478561420613	-54.584785614168695	-54.58478561397821	-54.5847856140742	-54.58478561398183	-54.58478561395991	-54.58478561411789	-54.584785614512015	-54.58478561452651	-54.58478561435039	-54.584785614181456	-54.58478561416861	-54.5847856141283	-54.584785613688204	-54.58478561418919	-54.58478561417141	-54.08478561416815	-54.08478561416815	Flavonifractor_plautii_YL31	XAN-e0
Bacteroides_caecimuris_I48##L-Serine##Microbe	-796.6852855638768	-540.8686623913269	-540.8686623913269	-540.8686623913269	-540.8686623913269	-540.8686623913269	-540.8686623913269	-540.8686623913269	-540.8686623913778	-540.8686623913778	-540.8686623913778	-540.8686623913778	-2634.0976864328522	-2634.0976864328522	-2634.097686414771	-1.0	-1.0000000000000013	-1.0000000000000013	-1.0000000000000013	-1.0000000000000013	-1.0000000000000013	-1.0000000000000013	-0.9999999999999996	-0.9999999999999998	-0.9999999999999993	-1.0000000000000013	-1.0000000000000013	-1.0000000000000013	-0.9999999999999991	-0.9999999999999991	-0.9999999999999991	-0.9999999999999991	-0.9999999999999991	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-1.0000000000000007	-0.9999999999999991	Bacteroides_caecimuris_I48	L-Serine
Bacteroides_caecimuris_I48##H2O-e0##Microbe	-255.81662317282198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bacteroides_caecimuris_I48	H2O-e0
Flavonifractor_plautii_YL31##L-Threonine-e0##Microbe	-37.09933646743834	-37.09933646743834	-37.09933646771308	-37.09933646766415	-37.09933646765704	-37.09933646880153	-37.09933646829676	-37.09933646751647	-37.09933646767138	-47.78210590814395	-243.9561315874894	-37.09933646763108	-37.099336467507946	-37.09933646769054	-37.09933646769054	-37.09933646769054	-37.09933646769054	-37.099336467917645	-37.09933646785874	-105.64878841016683	-1872.5444691395267	-1872.5444691244188	-1872.5444691244188	-1872.5444691244188	-1872.5444691244188	-0.9999999999999996	-1.0000000000000007	-1.0	-1.0	-1.0000000000000002	-0.9999999999999999	-0.9999999999999989	-1.0	-1.0000000000000007	-1.0	-0.9999999999999998	-0.9999999999999996	-1.0000000000000004	-0.9999999999999991	-1.0	-1.0000000000000004	-0.9999999999999998	-0.9999999999999993	-0.9999999999999994	-1.000000000000001	-1.0000000000000007	-0.9999999999999989	-1.0000000000000009	-1.0000000000000007	-0.9999999999999999	-0.9999999999999996	-0.9999999999999996	Flavonifractor_plautii_YL31	L-Threonine-e0
Bacteroides_caecimuris_I48##L-Tyrosine##Microbe	-17.083554956496936	-17.083554956509996	-17.083554956509996	-17.083554956509996	-17.083554956509996	-17.083554956509996	-17.083554956509996	-17.083554956509996	-17.08355495650972	-17.08355495650972	-17.08355495650972	-17.08355495650972	-17.08355495645338	-17.08355495645338	-17.083554956355922	-17.083554956463008	-17.083554956505598	-17.083554956505598	-17.083554956505598	-17.083554956505598	-17.083554956505598	-17.083554956505598	-17.083554956548042	-17.08355495654456	-17.083554956459555	-17.083554956141086	-17.083554956141086	-17.083554956141086	-0.13217698176770798	-0.13217698176770798	-0.13217698176770798	-0.13217698176770798	-0.13217698176770798	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-17.083554956724385	-11.389036517675645	Bacteroides_caecimuris_I48	L-Tyrosine
Flavonifractor_plautii_YL31##Acetate-e0##Microbe	1534.9235605221047	1534.9235605221047	-92.98249372255613	-92.98249372239647	-92.9824937224027	3407.298861878471	2361.6020584443527	45.07636349172324	45.07636349164785	37.95451719799788	-27.436824695134916	24.277374084813093	674.2897766086735	674.2897766115467	674.2897766115467	674.2897766115467	674.2897766115467	674.2897766152354	674.2897766148267	-15.676242991659615	3508.2291299221365	865.3172019482707	865.3172019482707	865.3172019482707	865.3172019482707	137.49435284448037	137.49435284450777	137.49435284445144	137.49435284445144	-1056.3648299879594	-120.83995248351565	-120.83995248334185	-120.83995248358652	-120.83995248322712	-120.83995248328574	-120.83995248322364	-120.83995248288761	-474.4685391539078	-738.0840102621611	-839.2196454775637	-384.0045877611556	526.4255276800961	527.4255276802476	123.99845091584366	-851.2331514445724	-851.2331514443954	-851.2331514437824	-2261.8325690507572	-715.9281020267845	-715.9281020265723	-714.1781020265047	-714.1781020265047	Flavonifractor_plautii_YL31	Acetate-e0
Flavonifractor_plautii_YL31##Sulfate-e0##Microbe	-0.9241112603194807	-0.9241112603194807	-0.924111260323585	-0.9241112603230721	-0.9241112603230445	-0.9241112603549123	-0.9241112603408467	-0.9241112603236622	-0.9241112603240005	-0.9241112603239687	-0.9241112603239631	-0.9241112603232386	-0.9241112603227477	-0.9241112603244541	-0.9241112603244541	-0.9241112603244541	-0.9241112603244541	-0.9241112603270238	-0.9241112603259036	-0.9241112603235792	-0.9241112603332199	-0.9241112603200248	-0.9241112603200248	-0.9241112603200248	-0.9241112603200248	-0.9241112603255992	-0.9241112603257237	-0.924111260324404	-0.924111260324404	-0.9241112603167206	-0.9241112603261923	-0.9241112603253929	-0.9241112603234973	-0.924111260324005	-0.9241112603233912	-0.9241112603235634	-0.9241112603162555	-0.9241112603208904	-0.9241112603181992	-0.9241112603176438	-0.9241112603209332	-0.9241112603283415	-0.9241112603285322	-0.9241112603251417	-0.9241112603219648	-0.9241112603217352	-0.9241112603208795	-0.9241112603136155	-0.9241112603218202	-0.9241112603212777	-0.9241112603211815	-0.9241112603211815	Flavonifractor_plautii_YL31	Sulfate-e0
