	Avg_Turicimonas_muris_YL45	Var_Turicimonas_muris_YL45	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Tyrosine-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Valine-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Mg-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Mn2+	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-chondrosamine-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-Acetyl-D-glucosamine-e0	0.0	0.0	-1.0207462890569154e-11	2.872878039413389e-23	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Na+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Niacin	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	0.0	0.0	-3.061523505227229e-11	2.72529440739939e-22	1.0	0.0	0.0	0.0	1.0	0.0	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Pyridoxal	47.95659616879277	9851.318416923485	44.135339697897635	6596.333405674534	2.0	0.0	0.4172497430421406	0.6216901378876067	2.4172497430421407	0.621690137887607	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1	.Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	3	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45.Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1.Turicimonas_muris_YL45.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	3
Pyruvate-e0	1.2111874652610336e-13	2.6765406777517e-27	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
Riboflavin	102.71077603341291	2462.8296041868316	0.0	0.0	1.0	0.0	0.8107311285429007	0.15344616575445535	1.8107311285429006	0.15344616575445535	Turicimonas_muris_YL45	1	Turicimonas_muris_YL45.	2	Turicimonas_muris_YL45Turicimonas_muris_YL45.Turicimonas_muris_YL45	2
Riboflavin-e0	0.0	0.0	74.72847667230583	1649.0833516200032	1.0	0.0	0.7720191284149588	0.17600559377636618	1.7720191284149587	0.17600559377636615	Enterococcus_faecalis_KB1	1	Enterococcus_faecalis_KB1.	2	Enterococcus_faecalis_KB1Enterococcus_faecalis_KB1.Enterococcus_faecalis_KB1	2
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	-5.839173190981367e-13	1.415661185585923e-25	-4.408528776964089e-11	5.775949786759115e-22	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sulfate-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Thiamin-e0	0.0	0.0	-7.22025503080095e-11	1.5638203273027876e-21	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Uracil-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	Turicimonas_muris_YL45	1		1	Turicimonas_muris_YL45	1
fe3-e0	0.0	0.0	0.0	0.0	1.0000000930386188	9.303861022931345e-08	0.0	0.0	1.0000000930386188	9.303861022931345e-08	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45.Turicimonas_muris_YL45	2		1	Enterococcus_faecalis_KB1.Turicimonas_muris_YL45.Turicimonas_muris_YL45	2
lactate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Acetate-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
CO2-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
D-Glyceraldehyde-e0	0.0	0.0	6.8570732687577945e-12	1.4083627579367106e-23	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
Ethanol-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Formate-e0-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
Fumarate-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Turicimonas_muris_YL45	2		1	.Turicimonas_muris_YL45	2
H2-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
O2-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
Propanal-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
Succinate-e0	0.0	0.0	0.0	0.0	1.9999998139227624	3.721544409172538e-07	0.0	0.0	1.9999998139227624	3.721544409172538e-07	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2		1	.Enterococcus_faecalis_KB1.Turicimonas_muris_YL45	2
XAN-e0	0.0	0.0	0.0	0.0	0.9999999069613812	9.303861022931345e-08	0.0	0.0	0.9999999069613812	9.303861022931345e-08	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
L-Rhamnose-e0	0.0	0.0	0.0	0.0	0.09999999999999995	0.08999999999999996	0.0	0.0	0.09999999999999995	0.08999999999999996	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
LACT-e0	0.0	0.0	0.0	0.0	0.09999999999999995	0.08999999999999996	0.0	0.0	0.09999999999999995	0.08999999999999996	.Enterococcus_faecalis_KB1	2		1	.Enterococcus_faecalis_KB1	2
