	Avg_Akkermansia_muciniphilaYL44	Var_Akkermansia_muciniphilaYL44	Avg_Enterococcus_faecalis_KB1	Var_Enterococcus_faecalis_KB1	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
Adenine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Anserine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
BIOT-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Biotin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Ca2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Carnitine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Carnosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cd2+-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cellulose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cholesterol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Choline-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Chromium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Citrulline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cl--e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Co2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Creatine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Creatinine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Cu2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Cytosine	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
D-Glucose-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
D-Mannose-e0	0.0	0.0	-2.1857626819610222e-12	4.2997390715044996e-23	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Fe2+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Folate	-1.5141886642866834e-13	5.293456411268821e-31	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Folate-e0	0.0	0.0	-1.1335063786797434e-10	1.5661933392595295e-20	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Galactose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Gamma-Tocopherol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Glycine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Guanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Guanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
H+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
H2O-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
Hemin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hydrocortisone	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Hypoxanthine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Inosine	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
Inosine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
K+-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Alanine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
L-Arginine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Ascorbate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Ascorbate-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Asparagine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Aspartate-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Cysteine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Cystine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Fucose-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Glutamate-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Glutamine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Histidine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
L-Isoleucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Isoleucine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Leucine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Leucine-e0	0.0	0.0	0.0	0.0	0.999866919131235	1.7708160700162933e-08	0.0	0.0	0.999866919131235	1.7708160700162933e-08	Enterococcus_faecalis_KB1	1		1	Enterococcus_faecalis_KB1	1
L-Lysine-e0	0.0	0.0	0.0	0.0	1.99973383826247	7.083264280065173e-08	0.0	0.0	1.99973383826247	7.083264280065173e-08	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1		1	Akkermansia_muciniphilaYL44.Enterococcus_faecalis_KB1	1
