	Avg_Akkermansia_muciniphilaYL44	Var_Akkermansia_muciniphilaYL44	Avg_Bifidobacterium_animalis_YL2	Var_Bifidobacterium_animalis_YL2	Avg_InAmount	Var_InAmount	Avg_OutAmount	Var_OutAmount	Avg_AllAmount	Var_AllAmount	In	InAmount	Out	OutAmount	All	AllAmount
L-Phenylalanine-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
L-Proline-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
L-Serine-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
L-Threonine-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
L-Tryptophan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
L-Tryptophan-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
L-Tyrosine	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
L-Tyrosine-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
L-Valine-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Linolenic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Melitose-e0	0.0	0.0	-4.329177375968797e-13	9.470533814284849e-27	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Methylguanidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Methylhistidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mg-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Mn2+-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Molybdenum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 3 (GlcNAcβ1,3GalNAcαSer/Thr-PROTEIN)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Mucin core 4 [GlcNAcβ1,6(GlcNAcβ1,3)GalNAcαSer/Thr-PROTEIN]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-galactosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetyl-D-gluosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
N-acetylneuraminate (as sialic residue)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
NH3-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Na+-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Neu5Ac-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Niacin	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Nickel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
O2-e0	-1.1281163913086499e-20	6.8860379432226475e-34	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Oleic acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
PAN	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Pb-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Phosphate-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Phosphoethanolamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Puryvate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Putrescine-e0	0.0	0.0	-1.2157518659130627e-13	2.983358179577987e-28	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Pyridoxal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Pyruvate-e0	0.0	0.0	0.0	0.0	0.10774509173203682	0.09610069377642898	0.0	0.0	0.10774509173203682	0.09610069377642898	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Riboflavin	126.30282851207674	0.14873083517196017	96.50103751535045	0.08682380783263598	1.9939024638380458	3.7066594209921936e-05	1.9939024638380458	3.7066594209921936e-05	3.9878049276760916	0.00014826637683968774	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Selenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Spermidine-e0	0.0	0.0	-3.6695711238909896e-13	1.2244809624391526e-26	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Stachyose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Starch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Sucrose-e0	0.0	0.0	-4.2500993233036436e-13	9.475983079749445e-27	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Sulfate-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Thiamin-e0	0.0	0.0	-1.726150843478362e-12	3.4145338548442357e-25	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
Uracil	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
Uracil-e0	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Bifidobacterium_animalis_YL2	1		1	Bifidobacterium_animalis_YL2	1
Urea-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
VitA Retinol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Vitamin K3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
Zn2+-e0	0.0	0.0	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	0.0	0.0	1.9939024638380458	3.7066594209921936e-05	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	1
acetylhexosamine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgal-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
acgam-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
carbonate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core3-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
core4-e0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		1		1		1
fe3-e0	0.0	0.0	0.0	0.0	0.9969514167344954	9.451467426476505e-06	0.0	0.0	0.9969514167344954	9.451467426476505e-06	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2.Bifidobacterium_animalis_YL2	2		1	Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2.Bifidobacterium_animalis_YL2	2
fucose	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
galactose	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
lactate	0.0	0.0	0.0	0.0	0.9969512319190229	9.266648552480484e-06	0.0	0.0	0.9969512319190229	9.266648552480484e-06	Akkermansia_muciniphilaYL44	1		1	Akkermansia_muciniphilaYL44	1
2-Oxoglutarate-e0-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
5'-Deoxyadenosine-e0	0.0	0.0	0.0	0.0	1.9939020942071006	3.780584222018771e-05	0.0	0.0	1.9939020942071006	3.780584222018771e-05	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2		1	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2
5-Methylthio-D-ribose-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Acetate-e0	0.0	0.0	0.0	0.0	1.9939020942071006	3.780584222018771e-05	0.0	0.0	1.9939020942071006	3.780584222018771e-05	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2		1	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2
Adenosine-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
CO2-e0	0.0	0.0	0.0	0.0	1.9939020942071006	3.780584222018771e-05	0.0	0.0	1.9939020942071006	3.780584222018771e-05	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2		1	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2
D-Lactate-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Formate-e0-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
Fumarate-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Glycerol-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
Glycolaldehyde-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Bifidobacterium_animalis_YL2	2		1	.Bifidobacterium_animalis_YL2	2
H2-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
H2S-e0	0.0	0.0	0.0	0.0	1.9939020942071006	3.780584222018771e-05	0.0	0.0	1.9939020942071006	3.780584222018771e-05	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2		1	.Akkermansia_muciniphilaYL44.Bifidobacterium_animalis_YL2	2
Succinate-e0	0.0	0.0	0.0	0.0	0.9969510471035503	9.451460555046928e-06	0.0	0.0	0.9969510471035503	9.451460555046928e-06	.Akkermansia_muciniphilaYL44	2		1	.Akkermansia_muciniphilaYL44	2
